Nome: BOA ESPERANCA
Codigo Estacao: 83557
Latitude: -18.53722221
Longitude: -40.27222221
Altitude: 100
Situacao: Operante
Data Inicial: 1985-10-22
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1985-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-08-31;null;115.8;null;null;null;null;null;null;null;27.945161;null;18.612903;null;null;null;null;null;
1986-09-30;null;117.4;null;null;null;null;null;null;null;27.243333;null;17.87;null;null;null;null;null;
1986-10-31;null;120.2;null;null;null;null;null;null;null;28.583871;null;20.548387;null;null;null;null;null;
1986-11-30;null;103.4;null;null;null;null;null;null;null;29.39;null;21;null;null;null;null;null;
1986-12-31;null;100.6;null;null;null;null;null;null;null;31.383871;null;21.441935;null;null;null;null;null;
1987-01-31;null;129.7;null;null;null;null;null;null;null;33.212903;null;23.041935;null;null;null;null;null;
1987-02-28;null;127.5;null;null;null;null;null;null;null;33.082143;null;23.482143;null;null;null;null;null;
1987-03-31;null;93.5;null;null;null;null;null;null;null;31.96129;null;23.532258;null;null;null;null;null;
1987-04-30;null;88.3;null;null;null;null;null;null;null;31.45;null;23;null;null;null;null;null;
1987-05-31;null;122.8;null;null;null;null;null;null;null;31.009677;null;22.267742;null;null;null;null;null;
1987-06-30;null;103.9;null;null;null;null;null;null;null;28.88;null;20.32;null;null;null;null;null;
1987-07-31;null;103.3;null;null;null;null;null;null;null;29.283871;null;18.190323;null;null;null;null;null;
1987-08-31;null;120;null;null;null;null;null;null;null;29.458065;null;17.403226;null;null;null;null;null;
1987-09-30;null;118.8;null;null;null;null;null;null;null;29.373333;null;21.64;null;null;null;null;null;
1987-10-31;null;168.3;null;null;null;null;null;null;null;32.722581;null;23.358065;null;null;null;null;null;
1987-11-30;null;96.7;null;null;null;null;null;null;null;30.15;null;23.413333;null;null;null;null;null;
1987-12-31;null;85.1;null;null;null;null;null;null;null;30.8;null;21.851613;null;null;null;null;null;
1988-01-31;null;117.9;null;null;null;null;null;null;null;33.409677;null;24.3;null;null;null;null;null;
1988-02-29;null;154.6;null;null;null;null;null;null;null;35.251724;null;24.703448;null;null;null;null;null;
1988-03-31;null;110.9;null;null;null;null;null;null;null;32.8;null;23.783871;null;null;null;null;null;
1988-04-30;null;90.8;null;null;null;null;null;null;null;31.606667;null;23.333333;null;null;null;null;null;
1988-05-31;null;99.9;null;null;null;null;null;null;null;31.751613;null;22.487097;null;null;null;null;null;
1988-06-30;null;83.4;null;null;null;null;null;null;null;27.823333;null;17.286667;null;null;null;null;null;
1988-07-31;null;99.2;null;null;null;null;null;null;null;26.696774;null;15.635484;null;null;null;null;null;
