Nome: FRUTAL
Codigo Estacao: 83574
Latitude: -20.034803
Longitude: -48.930435
Altitude: 547.09
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2013-09-08
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;null;null;null;null;6.193548;17;119.7;950.137634;31.625806;25.414194;21.248387;78.798387;3;2.290323;null;null;
1970-02-28;9;null;null;null;null;7.047619;14;63.6;951.685714;30.714286;24.622857;20.685714;81.857143;5;2.392857;null;null;
1970-03-31;9;null;null;null;null;4.731183;12;31.8;952.286022;33.903226;25.959355;20.770968;73.903226;5;2.096774;null;null;
1970-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-05-31;9;null;null;null;null;3.804348;5;11.7;952.88587;30.806452;22.925806;17.212903;69.733871;5;2.217391;null;null;
1970-06-30;9;null;null;null;null;3.911111;5;11.7;953.991111;30.43;22.382;16.91;70.116667;3;2.111111;null;null;
1970-07-31;9;null;null;null;null;4.301075;5;10.7;957.1;28.974194;20.875484;14.73871;67.403226;5;2.387097;null;null;
1970-08-31;9;null;null;null;null;2.88172;2;1.8;956.690323;31.522581;21.856774;14.916129;58.459677;7;2.655914;null;null;
1970-09-30;9;null;null;null;null;5.288889;4;10.7;954.698889;32.493333;24.148;18;62.175;5;2.511111;null;null;
1970-10-31;9;null;null;null;null;5.397849;8;56.4;952.646237;32.574194;25.062581;19.377419;66.919355;5;2.473118;null;null;
