Nome: FLORESTAL
Codigo Estacao: 83581
Latitude: -19.885422
Longitude: -44.416889
Altitude: 753.51
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2018-07-04
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;45.7;null;null;156.4;7.655914;23;294.5;927.282796;28.729032;22.570323;18.590323;81.435484;5;1.27957;67.258065;null;
1970-02-28;5;59.8;null;null;185.6;6.083333;8;150.3;928.894048;29.364286;22.131429;16.617857;75.651786;3;1.059524;68.392857;null;
1970-03-31;5;71.6;null;null;238.9;5.27957;4;97.6;929.145161;30.309677;22.589032;16.432258;72.709677;3;1.096774;70;null;
1970-04-30;14;54.8;null;null;229.3;4.688889;7;82.3;929.428889;28;20.406667;14.466667;77.05;3;1.055556;70;null;
1970-05-31;5;61.6;null;null;253.7;2.989247;0;0;930.416129;28.26129;18.045161;10.603226;73.548387;3;1.064516;70;null;
1970-06-30;14;56.3;null;null;228.4;3.722222;3;19.3;930.963333;27.12;17.078667;9.99;73.608333;3;1.078889;70;null;
1970-07-31;5;56.2;null;null;249.8;3.956989;3;12.4;933.735484;25.419355;15.985161;8.622581;72.645161;5;1.290323;70;null;
1970-08-31;14;78.2;null;null;264.2;3.580645;4;23.3;931.673118;26.877419;17.387097;9.245161;65.379032;5;1.301075;70;null;
1970-09-30;5;62.7;null;null;178.1;6.344444;7;39.1;928.676667;27.433333;20.018;13.363333;70.508333;5;1.4;68.333333;null;
1970-10-31;5;54.2;null;null;183.7;6.880435;12;223;926.11828;28.590323;21.419355;15.958065;74.919355;5;1.247312;69.83871;null;
1970-11-30;5;54.6;null;null;203.4;6.377778;11;150.3;924.822222;27.99;21.031333;15.39;76.316667;5;1.277778;70;null;
1970-12-31;5;75.9;null;null;261.4;5.634409;11;102.7;925.92043;31.387097;23.234194;17.070968;71.362903;5;1.44086;69.83871;null;
1971-01-31;5;104.3;null;null;252.1;5.311828;6;52.8;926.549462;31.329032;23.168387;16.474194;69.080645;5;1.354839;69.032258;null;
1971-02-28;5;94.4;null;null;235.6;5.535714;9;59.1;926.127381;31.882143;23.675;16.639286;67.258929;7;1.404762;70;null;
1971-03-31;14;78.3;null;null;235.5;5.451613;8;237.6;926.580645;30.712903;22.985161;16.709677;73.991935;3;1.16129;68.870968;null;
