Nome: C. DO MATO DENTRO
Codigo Estacao: 83589
Latitude: -19.020355
Longitude: -43.433948
Altitude: 663.02
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;56.4;null;null;148.4;8.419355;24;415.4;936.484946;28.651613;23.023871;18.793548;81.91129;7;1.075269;67.096774;null;
1970-02-28;0;73.4;null;null;187;6.583333;8;57;938.247619;29.475;23.235714;17.7;70.9375;7;1.583333;68.571429;null;
1970-03-31;14;82.7;null;null;215;5.333333;10;66.1;938.435484;30.529032;22.963226;16.36129;70.790323;7;1.182796;69.677419;null;
1970-04-30;0;55.2;null;null;165.4;6.122222;9;71.5;939.117778;27.406667;20.738;14.82;78.125;5;.588889;68.333333;null;
1970-05-31;0;72;null;null;223.9;4.580645;2;4.4;940.077419;27.874194;19.174839;11.680645;75.637097;7;1.053763;69.193548;null;
1970-06-30;0;68.7;null;null;170.4;5.366667;2;.8;941.72;26.563333;17.859333;10.266667;73.95;7;.811111;68.516667;null;
1970-07-31;14;74.1;null;null;159.9;6.182796;12;15.4;944.062366;24.306452;16.899355;10.270968;71.290323;7;1.516129;67.935484;null;
1970-08-31;0;99.5;null;null;202.9;5.806452;5;14;941.9;25.970968;18.569032;11.164516;62.524194;7;1.784946;70;null;
1970-09-30;0;72.7;null;null;127.6;7.377778;10;73.2;939.483333;26.556667;20.345333;15.243333;74.216667;7;1.222222;58.4;null;
1970-10-31;0;60.8;null;null;126.5;8.215054;20;311.5;936.562366;27.851613;21.665161;17.167742;77.16129;9;1.075269;67.096774;null;
1970-11-30;5;77.9;null;null;185.1;7;15;223.1;934.52;28.743333;22.42;17.84;73.291667;7;1.411111;67.333333;null;
1970-12-31;0;92.3;null;null;271.9;5.172043;14;113.5;935.105376;31.719355;24.179355;17.741935;67.41129;5;1.001075;70;null;
1971-01-31;0;96.7;null;null;258;5.290323;8;87.3;936.445161;31.396774;24.048387;16.716129;63.620968;5;1.365591;64.354839;null;
1971-02-28;0;90;null;null;245;5.095238;11;72.6;936.236905;32.307143;24.083571;17.296429;66.080357;5;.845238;68.035714;null;
1971-03-31;0;77.6;null;null;222.1;5.698925;12;88.8;936.701075;30.470968;23.727742;17.803226;71.330645;5;1.236559;66.774194;null;
1971-04-30;14;64.1;null;null;184.1;6.455556;8;81.5;937.302222;29.75;22.156667;16.003333;73.775;7;1.1;69.166667;null;
1971-05-31;0;69.4;null;null;197;5.516129;1;4.1;940.354839;27.077419;18.725161;12.23871;74.741935;5;.924731;67.419355;null;
1971-06-30;0;57.9;null;null;173.8;6.166667;7;67.8;940.684444;26.263333;18.494;12.723333;76.025;5;.8;64.55;null;
1971-07-31;0;61.2;null;null;201.9;5.16129;7;5.6;941.933333;25.354839;16.896774;9.964516;71.354839;5;.88172;65.741935;null;
1971-08-31;0;93.7;null;null;240;4.397849;1;.4;941.847312;26.774194;18.710323;11.270968;61.258065;9;1.752688;69.032258;null;
1971-09-30;0;87.3;null;null;167.1;6.088889;9;49.7;939.851111;27.36;20.104;13.603333;64;5;1.333333;61.016667;null;
1971-10-31;5;62.3;null;null;101.7;8.408602;17;210.2;939.056989;25.587097;20.526452;16.125806;74.741935;7;1.408602;65.322581;null;
1971-11-30;0;44;null;null;86.7;8.911111;25;475.4;936.232222;25.916667;21.082;17.566667;82.583333;5;1.055556;58.333333;null;
1971-12-31;0;66.7;null;null;152.9;7.978495;21;224.6;935.275269;29.177419;23.130323;18.470968;75.080645;7;1.44086;68.387097;null;
1972-01-31;0;81.5;null;null;261.7;5.763441;13;75.9;936.350538;31.016129;23.543226;16.954839;68.862903;5;1.086022;70;null;
1972-02-29;14;56.8;null;null;181.3;6.609195;12;122.3;936.478161;29.7;23.396552;18.158621;74.689655;5;.954023;68.965517;null;
1972-03-31;0;58.4;null;null;217.3;6.526882;10;91.4;936.547312;30.306452;23.31871;17.764516;75.846774;5;1.043011;69.83871;null;
