Nome: JOAO MONLEVADE
Codigo Estacao: 83591
Latitude: -19.82388888
Longitude: -43.14416666
Altitude: 859.84
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2019-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-03-31;0;null;null;null;151.4;5.549296;5;101.6;914.440845;28.454167;22.769167;19.154167;94.708333;3;.760563;60;null;
1970-04-30;0;47.8;null;null;168;5.422222;7;131;915.026667;25.746667;20.337333;17.326667;94.066667;3;.733333;57.583333;null;
1970-05-31;14;50.7;null;null;227.5;3.731183;0;0;915.139785;26.43871;20.231613;16.732258;90.951613;5;1.16129;59.83871;null;
1970-06-30;0;45.3;null;null;186.7;4.566667;0;0;915.353333;25.466667;18.942667;15.086667;87.041667;3;.633333;57.5;null;
1970-07-31;0;38.1;null;null;158.8;5.685393;7;27;915.677528;21.97931;15.774483;9.543333;86.646552;7;.808989;60;null;
1970-08-31;14;48.4;null;null;192;4.849462;5;19.9;915.567742;23.874194;17.164516;10.325806;82.717742;5;1.053763;60;null;
1970-09-30;14;35;null;null;125.2;7;8;50.9;915.467778;23.856667;17.992;12.15;86.475;5;1.066667;55.616667;null;
1970-10-31;14;29.8;null;null;114;7.494624;15;196.5;915.204301;26.096774;19.482581;13.6;89.282258;3;.849462;60;null;
1970-11-30;14;34.9;null;null;158.2;6.288889;13;164.3;914.812222;26.406667;20.041333;13.98;87.291667;9;1.188889;60;null;
1970-12-31;0;51.4;null;null;271.8;3.860215;7;132.2;915.272043;30.306667;22.63;15.348387;82.166667;9;.935484;60;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
