Nome: VOTUPORANGA
Codigo Estacao: 83623
Latitude: -20.43972221
Longitude: -49.9836111
Altitude: 510.41
Situacao: Operante
Data Inicial: 1976-07-04
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-10-31;14;192.7;null;null;254.5;5.235294;6;63.4;null;954.104348;null;null;12.329032;91.572581;9;1.23913;59.677419;
1976-11-30;14;null;null;null;232.4;7.155556;10;139;null;952.822222;null;null;13.34;78.741667;7;1.901111;56.333333;
1976-12-31;32;null;null;null;166.7;8.065217;16;340.4;null;951.879348;null;null;15.712903;79.85;8.6;2.43913;55.322581;
1977-01-31;36;153.3;null;null;172.5;8.236559;19;259.1;null;951.703226;null;null;20.209677;79.443548;7.1;2.562366;54.83871;
1977-02-28;0;164.2;null;null;262.7;5.833333;9;44.3;null;955.359524;null;null;14.628571;62.741071;6.6;1.985714;59.464286;
1977-03-31;0;137.1;null;null;218.9;6.569892;11;114.9;null;953.772043;null;null;16.916129;69.870968;8.3;1.734409;58.870968;
1977-04-30;0;119.1;null;null;204.8;5.722222;6;117.5;null;955.272222;null;null;18.47;74.05;5.3;2.064444;57;
1977-05-31;0;157.5;null;null;243.7;4.311828;3;31.9;null;957.611828;null;null;14.309677;62.66129;6.8;1.912903;56.129032;
1977-06-30;27;116.2;null;null;207.3;5.511111;7;42.3;null;958.61;null;null;16.076667;69.441667;5.5;1.823333;54.166667;
1977-07-31;5;238.8;null;null;284.3;3.27957;1;1.1;null;957.547312;null;null;17.290323;48.814516;6.6;2.002151;54.83871;
1977-08-31;0;259.5;null;null;251.5;4.021505;2;9.8;null;956.374194;null;null;16.983871;48.346774;5.3;1.636559;49.354839;
1977-09-30;14;175.2;null;null;211.9;4.888889;11;158.4;null;956.394444;null;null;18.75;60.916667;4.5;1.501111;52.166667;
1977-10-31;0;196.7;null;null;248.5;5.72043;8;73.4;null;954.662366;null;null;20.4;60.766129;5.3;1.670968;55.322581;
1977-11-30;0;98.1;null;null;170.7;7.655556;18;213.9;null;952.851111;null;null;20.263333;78.325;5.6;1.148889;55.833333;
1977-12-31;5;125.1;null;null;172.5;7.365591;16;350.4;null;953.263441;null;null;20.135484;75.467742;5;1.670968;53.064516;
1978-01-31;0;124.1;null;null;203.3;7.290323;21;248.8;null;953.731183;null;null;21.396774;74.016129;4.1;1.289247;55.483871;
1978-02-28;0;136.7;null;null;245.1;5.738095;10;151;null;952.942857;null;null;21;66.910714;4.3;1.34881;57.5;
1978-03-31;0;140.1;null;null;234.2;5.548387;9;166;null;954.546237;null;null;20.780645;70.879032;4.3;1.663441;57.096774;
1978-04-30;23;168.3;null;null;248.8;4.033333;4;38.7;null;955.24;null;null;18.053333;62.841667;3.6;.943333;57.666667;
1978-05-31;0;124.8;null;null;217.2;4.55914;10;152.4;null;955.847312;null;null;15.777419;67.677419;5.8;1.558065;55;
1978-06-30;0;141.8;null;null;239.9;3.811111;2;31.3;null;958.915556;null;null;15.65;63.191667;4;1.62;57.333333;
1978-07-31;0;177.5;null;null;241.5;4.333333;7;130.5;null;957.391398;null;null;16.474194;60.16129;5;1.851613;56.790323;
1978-08-31;0;259;null;null;264.2;3.301075;0;0;null;959.355914;null;null;14.670968;48.193548;6;2;47.903226;
1978-09-30;0;196.8;null;null;202.3;5.177778;7;31.3;null;956.844444;null;null;17.003333;55.591667;5.6;2.43;51.666667;
1978-10-31;18;250.9;null;null;228.5;5.397849;9;109;null;953.641935;null;null;19.667742;56.572581;5.5;1.846237;52.419355;
1978-11-30;0;127.5;null;null;227.4;7.055556;11;186.2;null;953.157778;null;null;20.23;69.925;6.3;2.108889;57;
1978-12-31;9;141.6;null;null;207.9;6.645161;16;370.5;null;952.922581;null;null;20.603226;72.201613;5.3;2.121505;56.129032;
1979-01-31;0;123.5;null;null;189.6;7.301075;13;264.6;null;952.041935;29.274194;24.131613;20.003226;75.919355;3.8;1.37957;56.290323;
1979-02-28;0;null;null;null;null;6.08;9;74.1;null;946.566667;30.7;25.4888;21.328;71.19;5;1.497333;57;
1979-03-31;0;null;null;null;null;4.805556;5;20.1;null;947.9625;30.458333;24.494167;19.541667;69.25;3.8;1.188889;48.541667;
1979-04-30;0;null;null;null;null;3.981818;2;73;null;949.02;29.168;24.294444;17.612;62.694444;3.8;null;47.222222;
1979-05-31;0;125.2;null;null;162.6;5.293333;4;42.8;null;950.349333;27.485185;22.076;17.318519;67.58;5.3;1.436;49.2;
1979-06-30;0;181;null;null;199.8;2.7;null;0;null;954.92375;27.02963;20.287407;14.462963;55.481481;4.6;1.4875;47.811321;
1979-07-31;9;null;null;null;null;3.222222;1;.7;null;959.737778;27.39375;20.521333;15.7;56.133333;6.5;2.904444;49.333333;
1979-08-31;9;null;null;null;null;2.891304;1;36.4;null;957.452174;30.347059;23.504;17.817647;46.233333;5;null;48;
1979-09-30;null;null;null;null;null;null;3;32.2;null;null;null;null;null;null;null;null;null;
1979-10-31;23;null;null;null;null;6.658537;5;50.1;null;953.709756;32.345455;null;20.781818;null;5.3;null;null;
