Nome: FRANCA
Codigo Estacao: 83630
Latitude: -20.584314
Longitude: -47.382427
Altitude: 1003.55
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;36;59.2;null;null;null;8.193548;20;307.8;null;896.395699;26.809677;21.430323;17.248387;82.935484;10;4.526882;52.451613;
1970-02-28;0;52.6;null;null;null;8.02381;22;388.7;null;897.917857;25.917857;20.520714;16.821429;84.491071;12;3.916667;46.785714;
1970-03-31;5;94.2;null;null;null;6;12;99.3;null;898.534783;27.816129;21.685161;16.754839;73.741667;12;3.673913;57.213115;
1970-04-30;0;96.5;null;null;null;5.644444;11;107.9;null;898.835556;26.766667;20.441333;15.57;71.108333;12;3.6;57.116667;
1970-05-31;14;108.2;null;null;null;5.096774;6;20.1;null;899.766667;25.706452;19.718065;14.932258;65.709677;12;3.021505;55.080645;
1970-06-30;5;106.5;null;null;null;5.277778;5;46;null;900.664444;25.646667;18.886667;13.813333;64.891667;9;3.533333;57.033333;
1970-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-08-31;5;165.4;null;null;null;3.173913;5;15.4;null;901.454348;24.970968;17.870323;12.003226;53.806452;12;5.141304;52.419355;
1970-09-30;18;104.2;null;null;null;5.455556;13;97.6;null;899.027778;26.493333;19.754667;14.366667;68.175;12;4.688889;42.833333;
1970-10-31;23;105.6;null;null;null;6.913978;14;143.5;null;896.849462;27.690323;21.301935;16.109677;69.306452;12;4.344086;50.516129;
