Nome: OLIVEIRA
Codigo Estacao: 83637
Latitude: -20.699773
Longitude: -44.819903
Altitude: 991.23
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2017-10-18
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;57.3;null;null;184.8;7.827957;20;325.3;906.054839;26.751613;21.283226;17.974194;88.395161;3;1.247312;48.548387;null;
1970-02-28;0;77.6;null;null;171.1;6.892857;9;167.4;907.57619;27.121429;21.470714;17.189286;82.616071;3;1.297619;46.607143;null;
1970-03-31;0;72.5;null;null;226.6;5.978495;14;100;908.170968;27.887097;21.722581;17.487097;82.879032;3;1.107527;49.354839;null;
1970-04-30;14;62.5;null;null;220.3;4.755556;8;78.3;908.533333;26.05;19.774;15.173333;82.875;3;.933333;49.333333;null;
1970-05-31;14;75.6;null;null;250.1;3.290323;2;3.1;909.336559;25.451613;18.772903;13.454839;77.177419;3;.978495;50;null;
1970-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-07-31;0;76.5;null;null;241.3;4.130435;5;36.6;912.71087;22.651613;16.199355;11.454839;78.177419;4;1.445652;50;null;
1970-08-31;14;127.4;null;null;269.9;3.526882;5;73.1;910.719355;24.248387;17.294194;11.919355;73.637097;3;1.569892;50;null;
1970-09-30;23;88;null;null;194.6;7.044444;9;58.2;908.385556;25.343333;19.006;14.703333;82.641667;3;1.233333;49.333333;null;
1970-10-31;14;85.1;null;null;188.5;7.064516;15;159.8;905.75914;26.487097;20.274194;15.870968;82.540323;3;1.268817;49.274194;null;
1970-11-30;14;93.9;null;null;208.3;6.066667;12;242.3;904.653333;26.103333;19.998667;15.473333;81.258333;3;1.477778;48.5;null;
1970-12-31;23;116.6;null;null;null;4.580645;12;171.3;905.001075;29.903226;22.9;17.880645;77.580645;3;1.204301;50;null;
1971-01-31;23;138.4;null;null;268.1;4.817204;8;175.9;906.276344;29.187097;22.572903;17.654839;75.612903;3;1.139785;48.064516;null;
1971-02-28;0;113.3;null;null;248;4.619048;11;92.1;906.246429;29.703571;22.886429;17.892857;76.598214;3;1.047619;50;null;
1971-03-31;14;89.9;null;null;243.1;5.268817;13;116.3;906.551613;28.712903;22.116129;17.587097;81.056452;3;.956989;49.032258;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
