Nome: CAPARAO
Codigo Estacao: 83639
Latitude: -20.526119
Longitude: -41.90913
Altitude: 836.25
Situacao: Operante
Data Inicial: 1972-11-16
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-02-28;null;null;null;null;null;null;3;18.5;null;null;null;null;null;null;null;null;null;
1973-03-31;0;63.6;null;null;157.8;7.010753;19;277.8;918.780645;26.925806;21.269677;16.474194;84.314516;6.2;1.619355;28.935484;null;
1973-04-30;0;64.8;null;null;227.5;4.711111;8;28.3;921.038889;28.33;21.206667;15.12;81.3;4.1;1.263333;44.033333;null;
1973-05-31;0;68.8;null;null;212;4;4;11.7;922.212903;24.835484;16.990323;10.012903;80.919355;6.2;1.797849;44.193548;null;
1973-06-30;0;72.9;null;null;210.4;3.9;2;24.1;922.404444;25.703333;17.148667;9.83;80.15;8;1.386667;44.7;null;
1973-07-31;0;75.9;null;null;218.2;4.086022;4;9;923.766667;24.496774;16.388387;10.993548;79.572581;5.1;1.236559;42.66129;null;
1973-08-31;0;97.8;null;null;238.8;4.193548;3;23.7;922.812903;25.76129;17.272903;11.993548;74.717742;5.1;1.829032;42.258065;null;
1973-09-30;32;99.1;null;null;162.5;5.833333;4;6.4;923.49;24.303333;17.997333;13.916667;73.825;5.1;1.977778;38.5;null;
1973-10-31;27;92.4;null;null;128.2;7.666667;14;167.8;919.687097;24.8;18.481935;12.016129;77.435484;7.2;2.008602;40.080645;null;
1973-11-30;0;74.6;null;null;129.9;7.977778;14;130.3;919.365556;24.536667;18.963333;12.553333;80.133333;6.2;1.756667;43.5;null;
1973-12-31;32;84.3;null;null;180.7;7.516129;16;216.6;918.798925;27.6;20.974839;13.183871;78.540323;5.7;1.949462;42.258065;null;
1974-01-31;0;82;null;null;225.8;6.268817;16;211;918.833333;28.096774;21.157419;13.909677;80.322581;6.7;1.939785;44.83871;null;
1974-02-28;0;72.8;null;null;233;4.869048;9;74.6;919.453571;29.103571;21.834286;16.753571;77.892857;5.7;1.771429;46.785714;null;
1974-03-31;36;68.4;null;null;181.3;6.902174;13;139.5;918.305376;27.564516;21.192258;15.641935;81.379032;6.7;2;42.622951;null;
1974-04-30;23;63;null;null;181.9;6.111111;9;132.9;920.712222;25.433333;19.664667;15.796667;82.208333;6.2;1.938889;43.916667;null;
1974-05-31;0;53.5;null;null;198.1;4.935484;8;71.9;922.850538;24.764516;17.651613;10.983871;83.193548;4.6;1.468817;45;null;
1974-06-30;0;67.3;null;null;213;4.411111;4;26.5;923.064444;23.023333;15.046667;8.706667;80.416667;7.7;1.511111;49;null;
1974-07-31;0;74.3;null;null;236.7;3.150538;0;0;926.348387;23.7;13.876129;6.687097;78.169355;4.6;1.330108;48.790323;null;
1974-08-31;0;94.9;null;null;227.4;4.817204;3;3.4;923.14086;24.773333;16.576667;10.374194;74.427419;5.2;1.692473;43.870968;null;
1974-09-30;36;118.3;null;null;236.9;3.977778;2;2.5;922.711111;27.483333;19.416667;13.556667;69.366667;5.1;1.793333;46.5;null;
1974-10-31;0;85.9;null;null;154.9;7.27957;18;268;919.310753;25.848387;19.558065;14.480645;78.701613;6.2;1.555914;41.290323;null;
1974-11-30;0;101.1;null;null;247.2;5.311111;8;115.6;918.786667;27.013333;20.124;14.416667;73.225;8.2;1.888889;46;null;
1974-12-31;0;76.3;null;null;142.4;7.731183;16;148;918.834409;25.609677;20.014194;14.393548;79.959677;6.2;1.858065;41.774194;null;
1975-01-31;27;76.4;null;null;175.6;6.860215;17;274.4;919.749462;26.9;21.321429;17.514286;80.943548;4.1;1.67957;41.774194;null;
1975-02-28;32;73.6;null;null;215.6;6;13;110.3;918.830952;28.828571;22.133333;16.933333;79.303571;4.6;1.946429;43.571429;null;
1975-03-31;0;76.2;null;null;215.6;5.602151;14;77.4;921.072043;27.990323;21.401429;16.885714;80.024194;5.1;1.358065;43.225806;null;
1975-04-30;23;74.4;null;null;207.9;5.233333;6;69.4;920.297778;25.036667;18.592143;13.642857;79.508333;6.2;1.543333;44;null;
1975-05-31;23;78.9;null;null;209.5;4.473118;6;31.2;923.031183;23.3;16.548387;10.396774;79.540323;4.6;1.488172;44.193548;null;
1975-06-30;0;68.7;null;null;185.6;4.333333;3;12.7;924.695556;23.24;15.67;9.343333;80.158333;7.2;1.301111;47.416667;null;
1975-07-31;0;67.4;null;null;197.2;4;6;86.2;924.874194;21.854839;14.487143;9.385714;79.177419;4.1;1.254839;46.016667;null;
1975-08-31;0;90.7;null;null;265.1;3.172043;1;1.3;924.632258;25.180645;16.005333;8.376667;74.483871;5.1;1.987097;46.451613;null;
1975-09-30;0;103.3;null;null;203.2;4.811111;6;44.9;924.066667;25.003333;18.201429;13.564286;71.925;5.7;2.446667;40;null;
1975-10-31;0;75.6;null;null;171.7;7.11828;14;139.8;919.208602;26.167742;19.917931;14.224138;80.225806;5.7;1.843011;39.83871;null;
1975-11-30;32;71.4;null;null;142.5;8.044444;17;279.9;919.016667;25.31;20.05037;14.685185;80.091667;7.2;2.192222;41.583333;null;
1975-12-31;0;89.7;null;null;246;6.064516;10;133;919.244086;27.706452;21.1;14.460714;76.322581;9.8;1.844086;42.741935;null;
1976-01-31;0;105.4;null;null;276.2;5.172043;10;54.9;919.156989;29.322581;21.660645;15.096774;73.387097;6.2;1.887097;47.580645;null;
1976-02-29;32;106.4;null;null;239.2;6.091954;8;56.5;919.077011;28.437931;21.382069;14.717241;71.482759;5.7;2.393103;47.413793;null;
1976-03-31;0;94.4;null;null;221.5;5.817204;13;59.6;919.815054;28.112903;21.076774;14.867742;76.056452;6.2;1.573118;42.258065;null;
