Nome: VITORIA
Codigo Estacao: 83648
Latitude: -20.31583333
Longitude: -40.31694443
Altitude: 36.2
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;62.7;null;null;197.3;6.247312;20;177.9;null;1008.824731;30.090323;25.639355;22.46129;79.806452;8;2.419355;50;
1970-02-28;5;81.3;null;null;239.7;5.333333;6;47.7;null;1011.290476;31.403571;26.51;23.446429;77.428571;9;2.940476;50;
1970-03-31;5;91.4;null;null;278.2;2.989247;6;61.8;null;1010.250538;31.835484;26.699355;23.432258;76.75;6;2.537634;50;
1970-04-30;0;68.7;null;null;191.4;4.651685;15;90.6;null;1011.683333;29.48;24.902667;21.806667;78.358333;6;1.888889;49.9;
1970-05-31;23;84.1;null;null;244.5;2.304348;4;31.9;null;1012.01828;29.480645;24.345806;20.954839;77.153226;8;2.236559;50;
1970-06-30;23;90.9;null;null;215.9;3.688889;9;22.8;null;1014.828889;28.213333;23.484;20.25;75.158333;8;2.244444;50;
1970-07-31;23;77.1;null;null;173.7;5.655914;18;210.1;null;1018.488172;24.967742;21.054839;18.267742;79.435484;8;2.129032;50;
1970-08-31;23;71.3;null;null;188.1;5.376344;18;72.1;null;1016.553763;25.419355;21.633548;18.922581;80.524194;6;2.16129;50;
1970-09-30;23;75.4;null;null;148.4;6.355556;11;92.6;null;1014.643333;26.496667;22.644;19.753333;78.8;6;2.333333;47.333333;
1970-10-31;23;63.4;null;null;100.3;8.236559;18;228.7;null;1010.52043;26.73871;23.230968;20.535484;81.709677;10;2.365591;48.709677;
1970-11-30;23;56.6;null;null;146.5;7.344444;21;208.6;null;1008.341111;27.503333;23.870667;20.846667;80.7;6;2.266667;47.333333;
1970-12-31;5;99.4;null;null;281.2;4.032258;11;42.7;null;1008.719355;31.870968;26.673548;22.980645;73.177419;8;2.548387;50;
1971-01-31;5;102.7;null;null;320.8;3.271739;9;16.5;null;1010.348913;33;27.319333;23.606452;71.733333;6;2.76087;50;
1971-02-28;5;93.3;null;null;277.4;2.797619;7;36.7;null;1008.316667;33.503571;27.410714;24.55;75.910714;6;2.630952;50;
1971-03-31;5;79.5;null;null;236.7;4.193548;11;79.9;null;1009.462366;32.196774;27.241935;23.967742;79.169355;6;2.268817;49.354839;
1971-04-30;23;89.6;null;null;197.6;5.255556;15;53.1;null;1010.463333;30.33;25.500667;22.733333;78.516667;8;2.7;50;
1971-05-31;23;88.2;null;null;242.2;4.096774;9;50.1;null;1013.368817;28.470968;23.687742;21.064516;77.169355;9;2.387097;50;
