Nome: DOURADOS
Codigo Estacao: 83659
Latitude: -22.23
Longitude: -54.98
Altitude: 452
Situacao: Desativada
Data Inicial: 1971-12-03
Data Final: 2000-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1971-12-31;18;133.9;null;null;203.2;5.819277;null;162.8;null;30.589286;24.295714;18.532143;78.544643;7;2.662651;47.142857;null;
1972-01-31;0;148;null;null;235.1;5.731183;null;100;null;30.935484;24.325806;18.241935;77.6;7;2.365591;47.322581;null;
1972-02-29;5;82.5;null;null;158;7.172414;19;197.5;null;29.258621;23.486207;18.672414;null;7;2.172414;44.482759;null;
1972-03-31;0;127;null;null;235.5;5.537634;null;176.4;null;31.290323;24.387097;18.532258;82.75;7;1.88172;48.064516;null;
1972-04-30;0;133.9;null;null;263.5;3.955556;null;90.2;null;27.216667;20.106667;13.15;78.966667;7;2.277778;48;null;
1972-05-31;0;104.1;null;null;211.9;4.591398;null;188.2;null;27.112903;20.412903;14.064516;81.201613;7;2.258065;48.064516;null;
1972-06-30;5;139.5;null;null;254;2.977778;null;16.6;null;28.633333;20.446667;12.483333;74.275;7;2.5;48.666667;null;
1972-07-31;5;130.4;null;null;189.8;5.537634;null;100;null;25.129032;17.475556;10.548387;77.37963;7;3.107527;45.403226;null;
1972-08-31;5;143.3;null;null;178;5.817204;null;173.5;null;25.564516;18.215294;11.596774;75.088235;7;2.903226;46.129032;null;
1972-09-30;23;140;null;null;175.1;4.888889;null;64.3;null;27.65;20.882667;14.013333;76.266667;7;2.833333;46.166667;null;
1972-10-31;5;168.7;null;null;242.5;5.666667;null;170.8;null;29.758065;22.187097;14.112903;72.354839;7;2.956989;47.419355;null;
1972-11-30;0;118;null;null;197.1;7.222222;null;353.2;null;29.683333;23.47;16.55;80.458333;7;2.522222;47.333333;null;
1972-12-31;5;143.3;null;null;210.4;6.311828;null;133.1;null;30.548387;24.012903;17.645161;77.548387;7;2.193548;48.709677;null;
1973-01-31;0;149.7;null;null;215.1;6.387097;null;84.2;963.770968;33.145161;26.687097;21.290323;76.677419;7;2.311828;48.064516;null;
1973-02-28;0;122.8;null;null;212.4;6.035714;null;136.5;963.567857;33.053571;26.403571;21.214286;76.401786;7;2.238095;49.285714;null;
1973-03-31;0;116.6;null;null;225;5.55914;null;126.7;963.566667;31.33871;24.487097;18.806452;77.733871;7;1.88172;48.064516;null;
1973-04-30;0;110.7;null;null;200.6;4.922222;null;28.4;965.09;31.883333;24.873333;19.8;77.525;7;2.177778;48.666667;null;
1973-05-31;36;109.6;null;null;204.8;5.032609;null;153;967.477419;26.516129;19.704516;14.845161;77.830645;7;2.655914;48.709677;null;
1973-06-30;0;99.4;null;null;196.3;4.544444;null;174.2;966.706667;25.533333;18.744;13.653333;77.95;7;2.744444;46.666667;null;
1973-07-31;5;122.5;null;null;185.9;4.913978;null;9.1;968.741935;24.241935;17.343871;12.13871;73.935484;7;3.096774;47.741935;null;
1973-08-31;0;139.6;null;null;164.2;5.419355;null;56.9;968.063441;24.854839;17.86129;12.83871;73.741935;7;2.602151;43.387097;null;
1973-09-30;14;152.6;null;null;132.3;5.288889;null;60.7;966.591111;28.066667;20.82;15.733333;74.316667;7;3.144444;35;null;
1973-10-31;0;181.5;null;null;202.3;5.236559;null;122.7;962.503226;29.419355;22.929032;17.693548;72.290323;7;2.935484;45.403226;null;
1973-11-30;14;162.9;null;null;230.5;4.977778;null;151.1;963.188889;29.45;23.306667;18.233333;74.133333;7;2.544444;48;null;
1973-12-31;0;125.8;null;null;192.5;5.763441;17;189.8;961.863441;30.596774;24.596774;20.032258;79.08871;5;2.150538;47.419355;null;
1974-01-31;32;92.9;null;null;null;7.075269;22;264.8;961.958065;30.467742;24.951613;21.209677;82.814516;5;2.387097;47.419355;null;
1974-02-28;5;102.2;null;null;210;5.428571;15;141.6;962.859524;31.464286;24.910714;20.339286;80.330357;7;2.142857;45;null;
1974-03-31;18;96.6;null;null;187.5;5.935484;null;101.9;961.76129;30.080645;23.864516;19.274194;82.959677;10;2.602151;43.548387;null;
1974-04-30;0;121;null;null;211.5;5.255556;null;24.8;965.826667;29.416667;22.113333;16.85;76.566667;7;2.688889;45.333333;null;
1974-05-31;23;149.1;null;null;270.9;2.268817;null;59.6;967.784946;27.241935;19.245161;13.274194;73.959677;7;3.064516;49.354839;null;
1974-06-30;5;119.9;null;null;179;5.466667;null;35.6;967.044444;24.483333;18.086667;13.366667;76.616667;7;3.833333;48;null;
1974-07-31;5;185.2;null;null;246.4;3.365591;null;12.4;970.004301;26.596774;18.780645;12.629032;65.314516;7;3.236559;34.693548;null;
1974-08-31;5;224.8;null;null;215.5;4.516129;null;33.2;966.973118;28;19.700645;13.325806;63.169355;9.9;3.719355;30.193548;null;
1974-09-30;32;262.6;null;null;178.7;4.833333;null;40.7;966.828889;29.933333;22.043333;15.5;57.825;9;3.711111;24.694915;null;
1974-10-31;0;220.9;null;null;204.7;5.354839;null;281;964.349462;28.758065;21.997333;15.616667;69.451613;12;3.263043;40.564516;null;
1974-11-30;14;245.3;null;null;290.5;3.433333;null;82.3;962.492222;30.666667;23.326667;16.683333;64.941667;12;3.355556;50;null;
1974-12-31;5;131.3;null;null;179.2;7.311828;null;261.3;961.704301;30.209677;24.419355;20.5;79.217742;7;3.086022;50;null;
1975-01-31;14;161;null;null;251.1;5.236559;null;97.3;963.317204;31.387097;24.793333;19.766667;73.612903;7;2.752688;50;null;
1975-02-28;23;118.4;null;null;186.8;6.392857;null;134.9;962.229762;31.482143;25.52963;21.185185;81.133929;7;2.940476;47.678571;null;
1975-03-31;5;118.5;null;null;192.8;5.88172;null;74;964.556989;30.66129;24.583333;20.133333;77.153226;7;2.72043;50;null;
1975-04-30;0;109.7;null;null;199;5.222222;null;271.3;964.293333;28.071429;22.392;17.326923;79.025;7;2.833333;47.033333;null;
