Nome: MARAMBAIA
Codigo Estacao: 83660
Latitude: -23.05
Longitude: -43.6
Altitude: 16
Situacao: Desativada
Data Inicial: 1984-03-31
Data Final: 1998-08-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1984-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-01-31;null;154.2;null;null;236.1;null;null;null;null;31.012903;null;22.203226;null;null;null;null;null;
1986-02-28;null;125.5;null;null;133.4;null;null;null;null;31.464286;null;23.221429;null;null;null;null;null;
1986-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-04-30;null;124;null;null;196;null;null;null;null;29.373333;null;21.453333;null;null;null;null;null;
1986-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-06-30;null;123.9;null;null;190.1;null;null;null;null;26.316667;null;16.896667;null;null;null;null;null;
1986-07-31;null;103.5;null;null;157.4;null;null;null;null;24;null;15.577419;null;null;null;null;null;
1986-08-31;null;105.9;null;null;155.7;null;null;null;null;25.532258;null;18.032258;null;null;null;null;null;
1986-09-30;null;120.2;null;null;134.1;null;null;null;null;25.376667;null;17.05;null;null;null;null;null;
1986-10-31;null;120.4;null;null;154.2;null;null;null;null;26.983871;null;18.477419;null;null;null;null;null;
1986-11-30;null;154.8;null;null;201.6;null;null;null;null;29.76;null;20.356667;null;null;null;null;null;
1986-12-31;null;97.8;null;null;100.7;null;null;null;null;29.706452;null;21.916129;null;null;null;null;null;
1987-01-31;null;123.8;null;null;190.5;null;null;null;null;31.725806;null;22.751613;null;null;null;null;null;
1987-02-28;null;98.9;null;null;175.3;null;null;null;null;31.421429;null;22.646429;null;null;null;null;null;
1987-03-31;null;75.4;null;null;179.1;null;null;null;null;28.254839;null;21.267742;null;null;null;null;null;
1987-04-30;null;97.2;null;null;159.4;null;null;null;null;29.32;null;22.036667;null;null;null;null;null;
1987-05-31;null;134.6;null;null;105.9;null;null;null;null;26.467742;null;19.016129;null;null;null;null;null;
1987-06-30;null;100;null;null;152.8;null;null;null;null;25.326667;null;16.393333;null;null;null;null;null;
1987-07-31;null;164.8;null;null;190;null;null;null;null;28.480645;null;17.703226;null;null;null;null;null;
1987-08-31;null;190;null;null;null;null;null;null;null;26.048387;null;16.164516;null;null;null;null;null;
1987-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-10-31;null;80;null;null;null;null;null;null;null;25.912903;null;18.529032;null;null;null;null;null;
1987-11-30;null;97.7;null;null;null;null;null;null;null;27.533333;null;19.736667;null;null;null;null;null;
1987-12-31;null;133;null;null;null;null;null;null;null;30.603226;null;21.780645;null;null;null;null;null;
1988-01-31;null;153.4;null;null;null;null;null;null;null;33.819355;null;23.825806;null;null;null;null;null;
1988-02-29;null;87.4;null;null;null;null;null;null;null;29.806897;null;22.77931;null;null;null;null;null;
1988-03-31;null;113.3;null;null;null;null;null;null;null;30.1;null;21.564516;null;null;null;null;null;
1988-04-30;null;101;null;null;null;null;null;null;null;29.36;null;20.323333;null;null;null;null;null;
1988-05-31;null;85;null;null;null;null;null;null;null;25.803226;null;18.264516;null;null;null;null;null;
1988-06-30;null;119.4;null;null;null;null;null;null;null;25.226667;null;16.406667;null;null;null;null;null;
1988-07-31;null;146.2;null;null;null;null;null;null;null;24.022581;null;13.987097;null;null;null;null;null;
1988-08-31;null;155.7;null;null;null;null;null;null;null;26.574194;null;16.164516;null;null;null;null;null;
1988-09-30;null;118.9;null;null;null;null;null;null;null;null;null;16.72;null;null;null;null;null;
1988-10-31;null;97.6;null;null;null;null;null;null;null;null;null;17.612903;null;null;null;null;null;
1988-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1988-12-31;null;119;null;null;null;null;null;null;null;null;null;20.516667;null;null;null;null;null;
1989-01-31;null;108;null;null;null;null;null;null;null;null;null;21.351613;null;null;null;null;null;
1989-02-28;null;109.3;null;null;null;null;null;null;null;null;null;22.117857;null;null;null;null;null;
1989-03-31;null;107;null;null;197.4;null;null;null;null;null;null;22.216129;null;null;null;null;null;
1989-04-30;null;102.5;null;null;166.4;null;null;null;null;null;null;21.413333;null;null;null;null;null;
1989-05-31;null;98;null;null;173.6;null;null;null;null;null;null;17.766667;null;null;null;null;null;
1989-06-30;null;90.8;null;null;143.7;null;null;null;null;null;null;null;null;null;null;null;null;
1989-07-31;null;100.6;null;null;135.6;null;null;null;null;null;null;null;null;null;null;null;null;
1989-08-31;null;143.7;null;null;176.2;null;null;null;null;27.067742;null;17.7;null;null;null;null;null;
