Nome: SAO JOAO DEL REI
Codigo Estacao: 83688
Latitude: -21.3
Longitude: -44.27
Altitude: 991
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2006-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;60.2;null;null;174.5;7.380435;19;206.1;910.28587;26.254839;21.125161;17.283871;77.129032;5;1.456522;82.387097;null;
1970-02-28;32;64.2;null;null;167.4;6.309524;9;124.7;910.740476;28.582143;22.486429;17.032143;73.848214;3;1.107143;81.642857;null;
1970-03-31;0;55;null;null;198.6;5.849462;14;100.8;911.198925;28.503226;21.897419;16.870968;75.5;3;1.139785;82.225806;null;
1970-04-30;36;50.8;null;null;215.9;5.766667;5;32.3;911.703333;25.86;19.429333;14.173333;77.516667;4;1.3;79.266667;null;
1970-05-31;14;64.6;null;null;195.4;4.430108;1;10.4;912.246237;25.935484;17.940645;11.880645;73.733871;5;1.225806;76.612903;null;
1970-06-30;9;61.6;null;null;193.9;4.511111;1;5.3;912.534444;24.533333;16.982;10.54;73.308333;7;1.211111;73.633333;null;
1970-07-31;5;60.8;null;null;203.7;4.290323;1;.4;912.04086;23.080645;15.205161;9.248387;71.822581;6;1.322581;79.112903;null;
1970-08-31;32;72;null;null;218.3;4.397849;6;53.7;909.031183;24.754839;16.746452;9.748387;71.346774;3;1.430108;81.709677;null;
1970-09-30;9;44;null;null;175.4;7.022222;13;83.4;909.86;25.013333;18.641333;13.77;77.166667;4;1.433333;75.566667;null;
1970-10-31;5;45;null;null;130.4;7.064516;17;173;907.790323;26.287097;20.346452;15.267742;76.580645;5;1.443011;82.387097;null;
