Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;71.2;null;null;205.3;7.182796;16;178.1;996.494624;31.032258;25.015484;20.932258;80.733871;7;.892473;49.677419;null;
1970-02-28;0;87.8;null;null;209.8;5.714286;7;53.2;998.17619;32.353571;25.744286;21.057143;75.821429;5;.52381;50.714286;null;
1970-03-31;0;100.5;null;null;225.2;5.268817;6;31.9;998.78172;32.164516;25.601935;20.832258;76.266129;9;1.075269;51.290323;null;
1970-04-30;0;77.1;null;null;191.5;6.022222;7;62.4;999.747778;29.353333;22.962;18.546667;80.683333;6;.633333;47;null;
1970-05-31;0;125.5;null;null;235.3;3.956989;2;.8;1000.563441;30.096774;22.325806;16.267742;74.475806;5;.83871;47.258065;null;
1970-06-30;0;102.2;null;null;201.2;4.644444;4;8.8;1002.408889;28.663333;21.348667;15.633333;73.2;5;.777778;47.283333;null;
1970-07-31;0;76.1;null;null;177;5.548387;13;61.2;1006.350538;25.480645;19.192903;14.8;81.056452;7;.827957;43.774194;null;
1970-08-31;0;80.6;null;null;198.7;5.16129;7;45.1;1003.786022;26.535484;20.218065;16.003226;77.532258;8;1.311828;44.532258;null;
1970-09-30;0;83;null;null;125.2;7.366667;10;27.7;1000.74;26.423333;21.4;18.043333;80.433333;7;1.617778;35.333333;null;
1970-10-31;0;73.9;null;null;111.1;8.365591;13;129.3;997.511828;26.967742;22.145806;18.922581;82.233871;7;1.355914;42.741935;null;
