Nome: SANTA MARIA MADALENA
Codigo Estacao: 83696
Latitude: -21.96805554
Longitude: -42.00305555
Altitude: 640
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;51.9;null;null;184.6;6.354839;14;204.2;946.867742;29.009677;22.854194;18.493548;83.387097;3;.193548;18.532258;null;
1970-02-28;0;60.3;null;null;153.4;6.214286;7;70.4;948.678571;29.6;23.126429;18.546429;80.508929;2;.214286;17.214286;null;
1970-03-31;0;59.9;null;null;215.7;5.043011;12;69.8;949.419355;29.696774;23.079355;18.451613;80.798387;1;.129032;20.306452;null;
1970-04-30;0;47.6;null;null;160.2;5.677778;15;85.2;949.983333;26.676667;20.664;16.106667;83.691667;1;.1;18.45;null;
1970-05-31;0;50.6;null;null;191;4.096774;5;40.8;950.534409;26.674194;19.719355;14.951613;81.475806;2;.086022;17.677419;null;
1970-06-30;0;49.3;null;null;162.9;4.288889;8;35.8;951.793333;25.063333;18.519333;13.97;81.558333;2;.188889;17.65;null;
1970-07-31;0;36.3;null;null;138.3;5.602151;14;101.6;954.804301;21.706452;16.472903;12.796774;85.733871;3;.236559;16.354839;null;
1970-08-31;0;47.8;null;null;165.6;5.107527;16;64.9;952.786022;23.087097;17.347742;13.119355;82.548387;2;.322581;17.516129;null;
1970-09-30;0;36.5;null;null;97.2;7.944444;13;101.6;950.06;22.82;18.374;15.17;86.716667;2;.188889;11.7;null;
1970-10-31;0;33.9;null;null;91.2;8.741935;18;156.2;947.311828;23.532258;18.949677;15.683871;88.120968;3;.365591;15.5;null;
1970-11-30;0;35.1;null;null;125.3;8.277778;18;201.5;945.318889;24.526667;19.569333;16.003333;87.658333;3;.411111;14.716667;null;
1970-12-31;0;68.7;null;null;262.1;4.55914;11;86.2;944.977419;30.896774;23.980645;18.696774;78.459677;2;.16129;18.983871;null;
1971-01-31;0;81.1;null;null;246.8;4.182796;7;65.2;946.155914;31.303226;24.174839;18.490323;75.5;3;.354839;19.516129;null;
1971-02-28;0;78.8;null;null;210.4;4.297619;10;133.9;946.421429;31.592857;24.298571;18.764286;75.348214;4;.440476;18.446429;null;
1971-03-31;0;55.5;null;null;239.8;5.11828;13;135.3;946.737634;29.974194;23.481935;18.909677;81.491935;6;.505376;18.180328;null;
1971-04-30;0;40.9;null;null;166.9;6.511111;17;63.5;947.661111;26.65;21.063333;16.93;84.791667;2;.1;16.5;null;
1971-05-31;0;43;null;null;171.4;5.021505;10;36.8;950.337634;25.077419;19.182581;14.716129;83.032258;2;.27957;17.483871;null;
1971-06-30;0;33.8;null;null;117.4;5.811111;13;107.8;950.728889;22.833333;17.657333;13.78;86.225;5;.188889;12.85;null;
1971-07-31;0;45.7;null;null;166.1;3.946237;5;20.9;951.844086;23.525806;17.51871;12.754839;81.209677;2;.236559;16.409836;null;
1971-08-31;0;47.8;null;null;173.1;5.086022;11;141.7;952.444086;23.645161;17.807097;13.567742;82.685484;3;.44086;15.596774;null;
1971-09-30;0;41.6;null;null;156.7;6.855556;15;140.9;950.706667;23.95;18.286;14.16;84.325;3;.266667;13.75;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;5;null;null;null;226.7;6.195652;6;48.2;null;30.812903;23.717419;18.593548;76.733871;6;1.315217;37.967213;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;0;38.9;null;null;194.9;2.303371;3;37;null;25.673333;18.284667;13.556667;80.616667;2;.52809;33.85;null;
1972-07-31;0;32.4;null;null;130.5;5.096774;6;95.8;null;22.819355;17.549032;13.745161;85.483871;4;.526882;27.419355;null;
