Nome: CORDEIRO
Codigo Estacao: 83718
Latitude: -22.02222221
Longitude: -42.36444444
Altitude: 505.9
Situacao: Operante
Data Inicial: 1971-07-15
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;0;59.5;null;null;197.7;3.521739;8;27.9;964.791304;24.819355;17.705161;13.287097;78.959677;9;.608696;41.209677;null;
1971-09-30;0;58.4;null;null;149;5.288889;11;121.5;961.751111;25.35;19.11;14.76;76.775;14;.777778;19.583333;null;
1971-10-31;0;54.4;null;null;127;6.096774;16;118;962.078495;24.993548;19.316774;15.309677;79.822581;.6;.104301;27.032258;null;
1971-11-30;0;48.6;null;null;113.3;5.833333;20;352;958.955556;25.803333;20.735333;17.02;82.725;8;1.388889;34.066667;null;
1971-12-31;0;58.4;null;null;148;5.892473;12;281.9;957.131183;28.754839;22.910323;18.648387;79.395161;8;.688172;41.16129;null;
1972-01-31;0;86.2;null;null;278.5;4.602151;11;154.6;957.983871;31.580645;24.342581;19.022581;74.637097;10;1.139785;47.774194;null;
1972-02-29;0;56.4;null;null;193.7;4.908046;14;239.2;958.31954;29.858621;23.373793;19.037931;81.284483;8;.62069;41.655172;null;
1972-03-31;0;50.8;null;null;227.7;4.774194;13;173.2;958.384946;30.425806;23.701935;19.280645;82.66129;6;.311828;40.33871;null;
1972-04-30;0;44.7;null;null;173.6;4.566667;13;91.2;960.635556;26.276667;19.836;15.443333;83.291667;7;.333333;46.116667;null;
1972-05-31;0;42.7;null;null;212.9;3.419355;5;28;961.991398;25.822581;18.127097;13.225806;83.306452;6;.172043;47.580645;null;
1972-06-30;0;44.1;null;null;242;2.077778;0;0;962.648889;25.873333;16.965333;11.796667;83.85;6;.266667;57.192982;null;
1972-07-31;0;38.6;null;null;159.4;4.204301;8;74.8;963.476344;23.422581;16.873548;12.764516;85.225806;6;.150538;45.83871;null;
1972-08-31;0;52.2;null;null;182.2;4.537634;9;28.6;961.516129;25.016129;18.070968;13.496774;83.177419;8;.483871;49.032258;null;
1972-09-30;0;49.6;null;null;120.4;4.944444;9;42.3;963.35;24.703333;19.196;15.29;80.908333;8;.522222;42.15;null;
1972-10-31;0;58.6;null;null;131.7;5.010753;15;129.9;959.92043;26.751613;20.985806;16.609677;79.58871;14;.655914;45.951613;null;
1972-11-30;0;48.7;null;null;113.7;5.566667;24;319;957.181111;27.76;22.432667;19.046667;83.483333;8;.511111;48.116667;null;
1972-12-31;0;60.8;null;null;182.9;7.903226;20;244;957.809677;28.364516;22.793548;18.819355;81.935484;6;.344086;47.983871;null;
1973-01-31;0;69.9;null;null;221.6;6.935484;14;168.3;958.624731;30.858065;24.853548;20.483871;79.709677;4;.193548;55.258065;null;
1973-02-28;0;63.1;null;null;245.8;5.297619;8;135.5;958.561905;31.596429;25.097143;20.253571;79.142857;8;.333333;54.196429;null;
1973-03-31;0;50;null;null;150.6;5.11828;16;104.3;957.741935;28.448387;22.869032;19.080645;84.16129;4;.193548;51.564516;null;
1973-04-30;0;48.9;null;null;203.8;4.844444;6;47.6;960.135556;29.196667;22.842667;18.813333;84.116667;6;.4;51.2;null;
1973-05-31;0;41.2;null;null;189.7;4.709677;7;33.2;961.866667;25.093548;18.12;13.841935;86.193548;8;.215054;48.887097;null;
1973-06-30;0;37;null;null;185.6;4.022222;3;47.8;961.731111;26.28;17.942667;13.14;87.041667;8;.188889;44.45;null;
1973-07-31;0;45;null;null;189.1;4.505376;4;3.3;963.416129;25.093548;17.35871;12.609677;83.274194;10;.387097;46.854839;null;
1973-08-31;0;50.8;null;null;156;5.258065;5;16.2;962.613978;24.577419;17.505806;12.867742;82.266129;8;.602151;32.822581;null;
1973-09-30;0;67.1;null;null;118.4;5.388889;7;30.2;963.334444;25.206667;18.852;14.086667;77.475;8;.433333;35.283333;null;
1973-10-31;0;61.6;null;null;103.5;7.989247;13;162;959.104301;25.551613;19.9;15.703226;78.975806;9;.860215;40.709677;null;
1973-11-30;0;50.8;null;null;87.9;7.477778;19;179.6;958.666667;25.53;20.370667;16.376667;80.908333;14;.66;47.45;null;
1973-12-31;0;60.3;null;null;104.4;7.516129;17;152.7;957.587097;28.983871;23.105806;19.23871;81.620968;8;.387097;47.721311;null;
1974-01-31;0;67.6;null;null;223.7;6.537634;16;190.8;957.646237;30.409677;23.685806;18.958065;79.830645;8;.666667;48.258065;null;
1974-02-28;0;63.1;null;null;189;5.333333;9;26.5;958.342857;30.807143;23.771429;18.628571;78.330357;10;.761905;47.142857;null;
1974-03-31;0;52.6;null;null;152.7;6.301075;15;152.3;957.097849;29.351613;23.129677;18.73871;81.048387;8;.322581;45.645161;null;
1974-04-30;0;42.3;null;null;129;6.577778;13;161.9;960.207778;26.73;20.651333;16.676667;84.141667;4;.088889;47.583333;null;
1974-05-31;0;40.3;null;null;182.1;5.172043;10;27.3;962.408602;26.054839;18.841935;14.435484;86.129032;8;.387097;48.741935;null;
1974-06-30;0;32;null;null;129.7;5.477778;7;62.2;962.85;22.84;16.028667;11.563333;86.775;8;.7;47;null;
1974-07-31;0;43.2;null;null;231;2.634409;0;0;966.319355;24.654839;15.898065;10.583871;80.774194;6;.806452;50;null;
1974-08-31;0;71.1;null;null;216.2;2.978495;3;7.7;962.624731;25.680645;17.532258;11.870968;74.693548;7;1.333333;42.419355;null;
1974-09-30;0;86.2;null;null;182.4;3.8;3;3.9;962.446667;28.02;20.245333;14.856667;71.133333;9.2;.946667;37.866667;null;
1974-10-31;0;71.3;null;null;122.8;6.387097;20;157.6;958.886022;27.064516;20.955484;16.380645;77.741935;7;.748387;41.967742;null;
1974-11-30;0;78.6;null;null;207;5.9;11;132.2;957.966667;28.233333;21.532;16.876667;74.816667;6;.966667;50.9;null;
1974-12-31;0;56.9;null;null;121.3;7.688172;23;271;958.037634;27.232258;21.851613;18.335484;83.209677;8;.434783;43.145161;null;
1975-01-31;0;55.7;null;null;154.7;7.795699;22;372.2;959.086022;28.190323;22.397419;18.548387;83.33871;6;.333333;34.580645;null;
1975-02-28;0;55;null;null;180.3;5.738095;15;232.8;957.433333;30.992857;24.176429;19.578571;80.821429;8;.488095;38.482143;null;
1975-03-31;0;59.6;null;null;204.7;4.924731;7;36.6;960.535484;29.909677;22.866452;17.829032;79.862903;7;.55914;43.064516;null;
1975-04-30;0;45.6;null;null;170.9;4.355556;7;57.3;959.984444;26.186667;19.098667;13.88;81.716667;7;.285556;46;null;
1975-05-31;0;44.9;null;null;190.1;4.236559;12;48.5;963.022581;24.841935;18.244667;13.080645;81.798387;9;.529032;49.451613;null;
1975-06-30;0;37.3;null;null;150.2;4.833333;11;30.1;964.767778;23.716667;17.313333;12.683333;84.066667;7;.233333;40.533333;null;
1975-07-31;0;41.6;null;null;195.4;4;7;54.9;964.941935;22.677419;15.265161;10.4;83.5;7;.204301;49.741935;null;
1975-08-31;0;67.2;null;null;254;2.505376;2;2.6;963.94086;26.648387;18.047097;12.245161;80.475806;12;.784946;44.274194;null;
1975-09-30;0;69.6;null;null;146.5;5.311111;6;37.3;963.911111;25.576667;18.758;13.913333;76.591667;12;.811111;38.75;null;
1975-10-31;0;59.5;null;null;143.1;7.602151;21;160.3;958.722581;26.63871;21.086452;17.470968;81.564516;12;.473118;41.241935;null;
1975-11-30;0;63;null;null;134.5;8.233333;15;252.8;958.372222;26.96;21.692;17.843333;82.9;7;.83;46.75;null;
1975-12-31;0;82.7;null;null;245.6;5.408602;8;40.5;958.131183;29.767742;23.262581;18.3;79.862903;9;.731183;49.193548;null;
1976-01-31;0;98.7;null;null;268.3;4.763441;8;123;957.945161;31.53871;24.105806;18.235484;77.645161;12;1.021739;49.354839;null;
1976-02-29;0;70.6;null;null;194.6;6.436782;12;117.2;958.031034;29.986207;23.404828;18.286207;77.543103;12;.436782;42.931034;null;
1976-03-31;0;70.1;null;null;187.4;6.11828;11;121.3;958.855914;29.822581;23.044516;17.845161;78.387097;5;.129032;45.403226;null;
1976-04-30;0;57.6;null;null;238.6;4.155556;5;20;960.677778;28.536667;21.45;16.523333;80.766667;12;.444444;48.333333;null;
1976-05-31;0;41.3;null;null;134.2;6.397849;14;119;961.752688;25.345161;19.091613;14.774194;82.233871;0;0;48.52459;null;
1976-06-30;0;null;null;null;189.2;3.533333;8;50.3;962.674444;25.136667;16.898;12.07;85.325;4;.122222;47.3;null;
1976-07-31;0;47;null;null;162.9;5.021505;11;46.6;966.148387;23.019355;16.369032;12.077419;84.217742;7;.193548;53.709677;null;
1976-08-31;0;68.1;null;null;181.4;5.268817;5;66.1;963.878495;25.448387;18.269032;13.374194;78.58871;9;.612903;44.870968;null;
1976-09-30;0;46.8;null;null;111.4;7.933333;17;208.5;961.345556;23.916667;18.869333;15.226667;85.441667;6;.277778;32.1;null;
1976-10-31;0;64.1;null;null;146.3;7.086022;12;178.5;960.845161;25.635484;20.02;15.867742;82.201613;12;.634409;43.903226;null;
1976-11-30;0;60;null;null;144.1;7.755556;14;164.1;958.136667;27.883333;22.027333;17.93;81.883333;12;1.266667;39.233333;null;
1976-12-31;0;58.8;null;null;110.4;8.494624;24;279.7;957.068817;28.222581;22.654194;19.041935;84.112903;14;.387097;42.33871;null;
1977-01-31;0;76.3;null;null;210.7;6.924731;14;303.9;957.272826;29.809677;23.279355;18.832258;81.55;9;.565217;47.354839;null;
1977-02-28;0;83.9;null;null;265.9;3.142857;3;6.7;961.69881;31.157143;23.77;17.978571;76.473214;10;.333333;54.285714;null;
