Nome: RESENDE
Codigo Estacao: 83738
Latitude: -22.45111111
Longitude: -44.44472221
Altitude: 439.9
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;61.9;null;null;165;7.290323;19;149.7;null;962.308602;30.077419;23.290323;17.574194;75.491935;12.9;1.765591;69.354839;
1970-02-28;0;52.4;null;null;147.8;7.416667;17;225.3;null;963.397619;30.292857;23.467143;18.828571;79.401786;7.7;1.309524;66.642857;
1970-03-31;0;67.5;null;null;197.1;6.322581;12;82.6;null;964.605376;31.093548;24.152258;19.554839;80.362903;8.2;1.574194;68.016129;
1970-04-30;0;51.1;null;null;191.1;5.822222;12;117.2;null;965.831111;28.14;21.251333;16.963333;80.141667;5.1;.905556;65.233333;
1970-05-31;0;50.4;null;null;209.5;4.978495;9;25.1;null;966.422581;27.941935;20.290323;15.929032;81.241935;5.1;.497849;66.901639;
1970-06-30;0;49.5;null;null;186;5.055556;7;32.3;null;967.742222;26.27;18.484667;13.2;80.866667;7.7;.745556;65.816667;
1970-07-31;0;50.5;null;null;173.3;5.462366;13;61.3;null;970.855914;23.432258;16.790323;12.370968;80.919355;7.7;1.465591;68.516129;
1970-08-31;0;71.8;null;null;225;3.892473;9;97.8;null;968.519355;25.058065;17.625806;12.458065;74.733871;10.3;2.2;74.032258;
1970-09-30;0;50;null;null;112.5;8.077778;15;90.5;null;965.761111;25.086667;19.113333;15.57;81.266667;9.3;2.287778;63.383333;
1970-10-31;9;49.7;null;null;129.6;8.27957;18;166.7;null;963.03871;25.941935;20.286452;16.774194;81.435484;7.7;2.394624;64.870968;
1970-11-30;0;63.7;null;null;179.7;6.933333;17;101.1;null;960.935556;27.026667;20.812;16.74;77.825;9.3;1.743333;68.966667;
1970-12-31;0;67.7;null;null;250.4;6.193548;16;172.5;null;960.084946;32.145161;24.263226;19.467742;76.758065;12.9;1.619355;73.322581;
1971-01-31;0;80.4;null;null;241.4;5.462366;15;151.1;null;961.511828;32.419355;24.564516;19.06129;71.685484;9.3;1.108602;73.483871;
1971-02-28;0;79.7;null;null;232.8;5.797619;11;119.5;null;961.986905;33.242857;24.723571;18.210714;73.25;7.7;.838095;73.821429;
1971-03-31;0;60.8;null;null;198.7;6.44086;20;197.9;null;962.337634;30.874194;23.577419;19.229032;82.5;6.2;.65914;66.064516;
1971-04-30;0;51.7;null;null;161.6;7.211111;9;85.4;null;963.784444;27.816667;21.722667;18.126667;81.825;7.7;1.398889;63.783333;
1971-05-31;0;48.6;null;null;190.7;5.462366;9;30.1;null;967.115054;25.880645;18.954194;14.835484;79.782258;12.1;1.3;65.241935;
1971-06-30;0;41.4;null;null;146;5.888889;13;85;null;966.967778;23.686667;16.941333;12.506667;81.575;8.8;.601111;61.766667;
1971-07-31;0;57.9;null;null;201.5;4.086022;2;2.2;null;967.83871;25.422581;17.316774;11.951613;74.620968;7.2;.813978;67.645161;
1971-08-31;0;63.4;null;null;175.6;5.107527;9;35.7;null;968.572043;26.093548;18.556774;13.56129;73.822581;7.7;.733333;67.629032;
1971-09-30;0;66.2;null;null;174.3;5.311111;11;87.2;null;966.445556;26.876667;19.438667;14.446667;71.716667;10.3;1.204444;60.9;
1971-10-31;0;64.3;null;null;158.6;7.215054;15;166;null;965.578495;26.525806;20.122759;15.986207;75.895161;9.3;1.989247;69.677419;
1971-11-30;0;57.8;null;null;138.2;7.377778;19;240.5;null;962.6;27.06;20.714667;16.87;77.7;10.3;1.413333;67.033333;
1971-12-31;0;53.7;null;null;123.4;7.860215;19;262.2;null;960.787097;28.954839;22.847742;19.170968;78.91129;7.7;1.322581;67.548387;
1972-01-31;0;61.2;null;null;199.4;5.892473;16;172;null;961.378495;30.958065;23.784516;18.870968;74.193548;12.9;1.54086;74.419355;
1972-02-29;0;42.7;null;null;144.8;7.643678;20;215.6;null;961.742529;29.8;23.151034;19.413793;81.431034;7.7;.795402;66.551724;
1972-03-31;0;44.7;null;null;182.4;6.548387;18;294.2;null;961.956989;30.93871;23.832258;19.764516;78.483871;5.1;.349462;66.548387;
1972-04-30;0;48.9;null;null;174.3;6.088889;18;73.5;null;964.713333;26.803333;20.232667;16.45;78.208333;9.3;.818889;66.316667;
1972-05-31;0;55.4;null;null;218.5;3.989247;7;43.6;null;965.816129;27.083871;19.245806;14.354839;77.725806;5.1;.597849;63.306452;
1972-06-30;0;51.4;null;null;249.7;2.333333;9;6.2;null;966.157778;27.936667;17.960667;11.533333;72.316667;6.2;.126667;70.333333;
1972-07-31;0;58.9;null;null;181.7;5.83871;8;35.6;null;967.116129;24.709677;17.52;13.06129;77.314516;5.1;.777419;65.5;
1972-08-31;0;68.1;null;null;194.2;5.032258;7;52.7;null;965.346237;26.293548;18.7;13.493548;76.766129;7.7;.709677;64.693548;
1972-09-30;0;70.6;null;null;150.6;7.122222;11;46.2;null;966.814444;26.616667;20.169333;15.74;73.783333;9.3;.935556;67;
1972-10-31;0;60.7;null;null;136.5;7.032258;15;106.3;null;963.677419;28.154839;21.677419;17.635484;74.967742;9.8;1.37957;64.322581;
1972-11-30;0;53.3;null;null;130.1;8.233333;19;206.9;null;961.066667;28.523333;22.669333;19.343333;81.066667;9.3;1.423333;62.033333;
