Nome: TERESOPOLIS
Codigo Estacao: 83744
Latitude: -22.41722221
Longitude: -42.97222221
Altitude: 874.2
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;null;null;null;null;7.387097;null;null;916.124731;null;null;null;79.548387;5;1.107527;52.258065;null;
1970-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-03-31;5;null;null;null;null;5.652174;null;null;918.033696;null;null;null;81.137097;5;1.086957;55.064516;null;
1970-04-30;5;null;null;null;null;5.055556;null;null;919.07;null;null;null;82.425;3;.822222;54;null;
1970-05-31;0;null;null;null;null;3.741935;null;null;919.817204;null;null;null;81.935484;7;1.010753;55.806452;null;
1970-06-30;0;null;null;null;null;4.755556;null;null;920.781111;null;null;null;82.891667;5;1.133333;52;null;
1970-07-31;5;null;null;null;null;5.44086;null;null;923.569892;null;null;null;83.064516;5;1.258065;53.548387;null;
1970-08-31;0;null;null;null;null;4.688172;null;null;921.374194;null;null;null;83.08871;5;1.365591;51.290323;null;
1970-09-30;0;null;null;null;null;8.077778;null;null;918.79;null;null;null;87.383333;5;1.233333;46.25;null;
1970-10-31;5;null;null;null;null;8.365591;null;null;916.493548;null;null;null;89.177419;5;1.182796;45.112903;null;
1970-11-30;5;null;null;null;null;8.344444;null;null;914.962222;null;null;null;87.575;5;1.033333;44.916667;null;
1970-12-31;5;null;null;null;null;5.483871;null;null;914.743011;null;null;null;81.782258;5;1.537634;55.483871;null;
1971-01-31;5;null;null;null;null;4.462366;null;null;916.293548;null;null;null;80.491935;3;1.075269;57.580645;null;
