Nome: NOVA FRIBURGO
Codigo Estacao: 83745
Latitude: -22.25
Longitude: -42.52
Altitude: 856
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2003-03-18
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;63.6;null;null;160.7;6.612903;12;115.1;915.341935;27.06129;21.055484;16.490323;82.137097;3.6;.45914;51.645161;null;
1970-02-28;0;62.1;null;null;132.9;6.738095;9;59.9;917.245238;27.35;21.133571;15.778571;81.651786;4.1;.386905;46.428571;null;
1970-03-31;0;57.8;null;null;199.7;6.032609;15;186.2;917.409677;27.490323;20.380645;15.241935;84.637097;4.1;.269892;53.870968;null;
1970-04-30;0;53;null;null;171.5;6.1;12;66.5;920.061111;24.683333;18.074667;13.42;86.591667;3.1;.274444;49.333333;null;
1970-05-31;0;53.3;null;null;213.7;4.236559;5;8.5;918.390323;23.948387;16.407742;11.3;84.080645;2.6;.22043;51.854839;null;
1970-06-30;0;46.3;null;null;182.1;4.588889;7;26.6;919.868889;22.4;15.128667;10.02;84.208333;3.1;.292222;50.5;null;
1970-07-31;0;42;null;null;153.4;6.913978;11;33.7;922.75914;19.745161;13.502581;8.593548;85.653226;3.1;.291398;47.177419;null;
1970-08-31;0;55.2;null;null;177.2;5.817204;9;94.6;921.239785;21.116129;14.684516;9.951613;84.193548;3.1;.282796;50.322581;null;
1970-09-30;0;46;null;null;92.7;7.288889;12;89;918.555556;21.253333;16.184;12.463333;86.108333;4.1;.278889;40.25;null;
1970-10-31;0;47.8;null;null;86.1;7.892473;15;113;915.631183;22.596774;17.677419;14.029032;86.830645;4.1;.404301;45.112903;null;
1970-11-30;0;47.1;null;null;120.8;8.344444;15;83.1;913.747778;22.943333;17.805333;13.716667;86.233333;4.1;.388889;45.25;null;
1970-12-31;0;77.2;null;null;227;5.903226;12;66.2;913.516129;28.590323;22.044516;16.519355;80.225806;4.1;.132258;56.032258;null;
1971-01-31;0;90.4;null;null;203.9;4.935484;11;68;917.075269;29.370968;22.434194;16.670968;76.040323;4;.064516;55.483871;null;
1971-02-28;0;79.6;null;null;178.8;5.785714;7;32.2;919.319048;30.189286;22.774286;16.103571;70.517857;10;.27381;53.571429;null;
1971-03-31;0;64;null;null;176.3;6.215054;15;177.6;919.434409;28.203226;21.339355;15.9;80.008065;8;.51828;51.612903;null;
1971-04-30;0;45;null;null;136.5;7.511111;13;60.9;920.15;25.52;19.782667;15.306667;83.55;4;.222222;51.166667;null;
1971-05-31;0;48.2;null;null;171.3;6.16129;6;11.4;922.419355;23.725806;16.477419;10.503226;80.379032;6;.172043;54.032258;null;
1971-06-30;0;38.4;null;null;90.1;6.655556;10;74.3;922.893333;21.68;15.396;10.436667;81.908333;2;.066667;45.5;null;
1971-07-31;0;49;null;null;165.1;5.010753;4;8.5;924.232258;22.2;14.656129;9.574194;80.58871;2;.043011;55.967742;null;
1971-08-31;0;59.1;null;null;149.8;6.494624;10;30.6;924.958065;21.825806;15.299355;11.006452;81.733871;2;.150538;51.774194;null;
1971-09-30;0;61.1;null;null;113.5;6.411111;11;114.1;923.158889;22.74;16.261333;10.413333;79.941667;2;.044444;47.833333;null;
1971-10-31;0;37.4;null;null;78;8.204301;18;112.5;921.974194;22.148387;16.847097;11.619355;83.225806;2;.064516;47.096774;null;
1971-11-30;0;54.2;null;null;27.4;7.822222;19;221.8;918.871111;23.25;18.426;14.686667;83.85;2;.044444;46.833333;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;0;84.6;null;null;null;5.478261;12;182.7;919.257609;28.890323;22.532258;17.754839;76.008065;0;0;54.354839;null;
1972-02-29;0;51;null;null;null;7.183908;14;191.6;918.636782;27.613793;21.837241;18.234483;79.715517;2;.045977;48.275862;null;
1972-03-31;0;51.8;null;null;null;6.591398;16;231.5;919.374194;27.948387;22.016129;18.112903;79.653226;2;.064516;51.774194;null;
1972-04-30;0;39.4;null;null;null;6.577778;9;51.6;920.522222;23.653333;17.805333;13.916667;81.325;4;.177778;52.833333;null;
1972-05-31;0;39;null;null;null;4.989247;6;33.7;922.016129;23.322581;15.769677;10.958065;76.895161;2;.107527;53.225806;null;
1972-06-30;0;59.4;null;null;null;3.426966;1;3.3;923.32;24.333333;15.594667;10.206667;77.866667;4;.044444;51.7;null;
1972-07-31;0;48.2;null;null;null;6.55914;6;60;923.396774;20.887097;14.663871;10.151613;83.991935;2;.129032;44.032258;null;
1972-08-31;0;58.6;null;null;133.4;5.978495;8;32.9;921.729032;21.590323;15.713548;11.354839;80.322581;8;.584946;46.721311;null;
1972-09-30;0;39.8;null;null;93.2;7.177778;12;39.6;923.996154;22.446667;17.055333;13.093333;83;4;.244444;39.55;null;
1972-10-31;0;73.8;null;null;137;7.612903;15;127.5;null;23.890323;18.5;14.312903;80.620968;6;.247312;37.983871;null;
1972-11-30;0;54.5;null;null;84.7;8.511111;19;123;null;24.936667;20.394667;17.196667;80.12069;6;.288889;38.333333;null;
1972-12-31;0;68.7;null;null;149.5;7.924731;22;257;null;26.93871;21.048387;16.745161;81.233871;8;1.741935;40.967742;null;
1973-01-31;0;71.4;null;null;173.9;6.462366;18;150.4;null;30.196774;23.769677;19.135484;75.943548;6;.623656;50.967742;null;
1973-02-28;0;62.2;null;null;194.6;5.547619;11;203.7;null;29.614286;22.978571;18.65;74.5625;2;.071429;55.214286;null;
1973-03-31;0;45.2;null;null;118.5;6.88172;17;76.3;null;25.619355;20.553548;16.851613;80.66129;2;.064516;49.354839;null;
1973-04-30;null;46.9;null;null;120;5.755556;9;76.3;null;27.253333;21.338667;17.506667;79.483333;null;null;47.2;null;
1973-05-31;null;38.6;null;null;150.5;5.892473;7;66.4;null;23.1;16.689032;12.335484;82.008065;null;null;45.322581;null;
1973-06-30;0;38.7;null;null;95.5;4.766667;4;13.2;null;24.2;16.739333;12.233333;83.041667;4;.235955;46.416667;null;
1973-07-31;0;32.9;null;null;126.6;5.817204;6;32.1;null;22.8;16.094194;11.916129;85.193548;2;.089247;45.274194;null;
1973-08-31;0;38.6;null;null;113.3;5.494624;5;14.3;null;21.735484;15.030323;10.909677;80.709677;4;.688172;28.080645;null;
1973-09-30;0;36.6;null;null;84.7;6.911111;8;28.9;null;21.286667;15.542667;11.8;82.383333;4;.377778;39.333333;null;
1973-10-31;0;34;null;null;82.8;7.182796;8;101.3;null;22.619355;17.858065;14.325806;83.096774;2.1;.25914;44.83871;null;
1973-11-30;0;32.1;null;null;92.8;7.211111;11;93.2;null;23.366667;18.853333;15.523333;83.383333;3;.388889;47.833333;null;
1973-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-01-31;0;46.4;null;null;172.6;5.163043;10;90.5;null;27.390323;21.830323;17.887097;79.209677;2;.195652;34.83871;null;
1974-02-28;0;48.4;null;null;184.4;4.488095;5;41.1;null;27.821429;21.817857;17.75;75.875;2;.333333;36.071429;null;
1974-03-31;0;48.8;null;null;136.8;5.967742;10;89.9;null;26.780645;21.876667;18.673333;77.209677;2;.322581;45.483871;null;
1974-04-30;0;36.7;null;null;107.8;5.433333;7;34.1;null;24.16;18.727333;15.266667;82.6;2;.355556;49.166667;null;
1974-05-31;0;47.1;null;null;135.8;5.688172;6;18.4;null;23.274194;17.07871;13.290323;83.33871;6;.623656;47.419355;null;
1974-06-30;0;43;null;null;87.9;7.177778;9;64.4;null;20.24;14.826667;11.053333;83.891667;6;.655556;41.1;null;
