Nome: BARREIRINHA
Codigo Estacao: 83752
Latitude: -22.45
Longitude: -44.83
Altitude: 756
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1978-09-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;18;48.2;null;null;null;8.150538;21;270.2;null;27.270968;21.839355;18.103226;85.83871;14;2.752688;36.725806;null;
1970-02-28;null;null;null;null;120.8;8.761905;17;168.9;null;26.315;21.647368;18.961905;84.447368;null;null;null;null;
1970-03-31;null;59.2;null;null;173.2;6.462366;12;112.5;null;27.558065;21.730968;17.858065;79.298387;null;null;42.016129;null;
1970-04-30;null;54.5;null;null;175.2;5.633333;12;78.6;null;25.223333;19.366;15.286667;79.633333;null;null;42.883333;null;
1970-05-31;null;65.6;null;null;204.5;4.72043;5;19.8;null;25.087097;18.834839;14.725806;72.459677;null;null;46.564516;null;
1970-06-30;null;66.5;null;null;165.8;4.822222;6;48.4;null;23.253333;17.716;13.746667;74.425;9;null;46.183333;null;
1970-07-31;14;49.7;null;null;144.5;5.634409;11;63.4;null;null;null;10.403226;77.290323;7;2.505376;39.758065;null;
1970-08-31;14;61.8;null;null;189.3;4.623656;10;161.7;null;null;null;11.290323;75.879032;7;2.408602;42.080645;null;
1970-09-30;14;43.4;null;null;118.4;8.222222;18;113.2;null;null;null;13.633333;83.15;12;2.677778;24.366667;null;
1970-10-31;14;39;null;null;103.1;8.580645;20;154.5;null;null;null;14.896774;85.266129;12;2.548387;21.903226;null;
1970-11-30;14;52.7;null;null;130.9;7.677778;20;284.5;null;null;null;14.98;80.433333;8;2.921348;32.583333;null;
1970-12-31;14;79.4;null;null;232.3;6.731183;18;99.5;null;null;null;17.545161;74.66129;14;3.376344;46.16129;null;
1971-01-31;14;94.5;null;null;207.3;5.967742;22;94.3;null;null;null;17.658065;74.596774;7;2.419355;44.322581;null;
1971-02-28;14;90.9;null;null;212;5.761905;11;59.7;null;null;null;18.382143;75.383929;7;2.309524;52.535714;null;
1971-03-31;14;61.2;null;null;177.6;6.408602;14;184.9;null;null;null;17.490323;81.395161;7;2.086022;41.419355;null;
1971-04-30;14;43.9;null;null;153;6.755556;15;82;null;null;null;15.726667;81.808333;10;2.288889;38.433333;null;
1971-05-31;14;55.7;null;null;185;4.817204;10;34.2;null;null;null;12.596774;78.298387;14;2.434783;43.322581;null;
1971-06-30;14;49.7;null;null;147.5;5.522222;13;139.5;null;null;null;10.956667;77.766667;8;2.359551;37.516667;null;
1971-07-31;14;66.6;null;null;188.6;3.784946;4;7.2;null;null;null;10.490323;70.620968;9;2.258065;47.741935;null;
1971-08-31;14;63;null;null;182.6;5.247312;11;35.9;null;null;null;11.793548;75.016129;9;2.55914;39.677419;null;
1971-09-30;14;59.4;null;null;152.1;6.133333;15;111.4;null;23.966667;17.458;12.896667;76.341667;7;2.4;34.666667;null;
1971-10-31;14;52.5;null;null;134.1;7.817204;19;194.5;null;23.967742;17.947097;14.048387;79.814516;12;3.032258;34.967742;null;
1971-11-30;14;54.3;null;null;129.5;8.011111;20;207.4;null;24.43;18.881333;15.193333;83.233333;14;3.555556;28.083333;null;
1971-12-31;14;55.9;null;null;136.9;8.043011;22;310.5;null;26.887097;21.126452;17.383871;82.895161;14;2.793478;34.225806;null;
1972-01-31;14;81.5;null;null;177.3;6.731183;22;214.4;null;28.164516;21.967097;17.593548;77.830645;12;3.217391;45.290323;null;
1972-02-29;14;46.3;null;null;128.3;8;22;290.8;null;26.117241;20.856552;17.562069;84.094828;14;2.885057;32.551724;null;
1972-03-31;14;57.3;null;null;186.2;6.516129;19;136.4;null;27.641935;21.435484;17.590323;83.25;6;2.344086;45.870968;null;
1972-04-30;14;55.2;null;null;158.7;5.833333;12;57.9;null;23.26;18.118;14.54;80.958333;12;2.722222;48.2;null;
1972-05-31;14;67.6;null;null;220.3;3.44086;5;38.1;null;23.790323;17.644516;13.435484;74.370968;14;2.247312;53.709677;null;
1972-06-30;36;84;null;null;235.6;1.655556;1;1.7;null;24.85;17.88;12.753333;64.358333;12;2.2;58.333333;null;
1972-07-31;14;55.3;null;null;173.3;5.408602;6;60.1;null;21.193548;15.274194;11.206452;77.967742;9;2.527473;30.145161;null;
1972-08-31;14;64.3;null;null;180.6;5.27957;8;88.2;null;23.429032;16.816774;12.267742;79.080645;12;3.27957;43.548387;null;
1972-09-30;14;50.8;null;null;133;6.811111;15;60.2;null;23.82;17.833333;13.866667;80.925;10;2.797753;29.183333;null;
1972-10-31;14;57.3;null;null;121.2;7.623656;18;177.1;null;25.387097;19.841935;15.954839;81.774194;12;2.795699;31.983871;null;
1972-11-30;18;38;null;null;111.9;8.044444;27;269.5;null;26.063333;20.659333;17.55;86.791667;5;2.393258;26.35;null;
1972-12-31;14;50.4;null;null;160.9;7.602151;19;288.7;null;27.590323;21.583871;17.56129;82.491935;10;2.301075;38.66129;null;
1973-01-31;14;66.5;null;null;161.8;7.333333;22;219.7;null;29.712903;23.632903;20.025806;79.548387;9;2.637363;45.403226;null;
1973-02-28;14;58.8;null;null;201.9;6.02381;15;129.8;null;30.125;23.678571;19.292857;77.366071;5;2.154762;47.714286;null;
1973-03-31;14;41.3;null;null;127;7.397849;18;177.6;null;26.425806;21.569677;18.729032;84.298387;5;1.784946;34.193548;null;
1973-04-30;14;43.2;null;null;162.4;5.966667;14;105.7;null;27.036667;21.058261;14.847826;82.808333;3;1.688889;42.766667;null;
1973-05-31;14;51.4;null;null;172.4;4.698925;9;66.7;null;22.390323;17.383871;13.774194;78.919355;10;2.260215;46.274194;null;
1973-06-30;5;63.6;null;null;187.8;3.511111;5;19.5;null;23.543333;17.553333;13.503333;74.141667;8;2.155556;48.866667;null;
1973-07-31;5;53.6;null;null;184.5;3.935484;8;36.6;null;22.316129;16.550968;12.493548;75.709677;7;1.934783;45.419355;null;
1973-08-31;14;48.8;null;null;131.2;6.107527;11;23.9;null;22.083871;16.564516;13.064516;79.83871;6;2.107527;30.564516;null;
1973-09-30;14;51.5;null;null;119.7;6.888889;16;60.7;null;22.99;17.642;14.253333;80.083333;5;2.022222;20.116667;null;
1973-10-31;14;51.5;null;null;119;7.483871;18;232.1;null;23.070968;18.028387;14.696774;82.774194;12;2.641935;28.919355;null;
1973-11-30;14;47.2;null;null;135.1;7.533333;17;181;null;24.373333;19.146667;15.763333;84.033333;8;2.344444;28.233333;null;
1973-12-31;18;48.2;null;null;98.2;8.043011;24;270.3;null;26.193548;21.338065;18.187097;84.048387;10;2.666667;30.306452;null;
1974-01-31;14;50.2;null;null;150.6;7.645161;25;248.4;null;27.390323;22.134194;18.583871;83.282258;10;2.51087;36.403226;null;
1974-02-28;14;54.8;null;null;207.4;5.488095;14;84.4;null;29.042857;22.525;18.014286;79.875;4;2.107143;43.214286;null;
1974-03-31;14;41.9;null;null;147;7.430108;21;169.2;null;26.680645;21.328387;17.903226;85.096774;3;2.053763;29.645161;null;
1974-04-30;14;33.3;null;null;118.2;7.211111;14;72.1;null;24.086667;19.218;15.873333;86.316667;6;2.088889;28.466667;null;
1974-05-31;14;43.6;null;null;185;3.806452;7;22.5;null;23.290323;17.369032;13.43871;82.217742;6;2.021505;41.580645;null;
1974-06-30;5;39.5;null;null;112.1;5.844444;12;56.5;null;20.203333;15.333333;12.113333;84.9;14;2.431818;32.9;null;
1974-07-31;14;61.9;null;null;238.9;2.107527;1;.7;null;22.7;16.025161;11.280645;74.33871;4;1.88172;41.645161;null;
1974-08-31;14;71.6;null;null;187.5;4.677419;4;4.2;null;23.874194;17.165806;12.13871;73.887097;12;2.25;23.629032;null;
1974-09-30;14;76.2;null;null;177.8;5.511111;8;11.8;null;25.523333;18.539333;13.683333;75.533333;9;2.333333;17.55;null;
1974-10-31;14;54.4;null;null;136.5;7.634409;23;147.1;null;25.306452;18.871613;15.267742;82.887097;12;2.478261;22.274194;null;
1974-11-30;14;71.7;null;null;193.4;6.3;14;63.7;null;27.38;20.254;15.74;76.458333;14;2.777778;32.333333;null;
1974-12-31;14;37.2;null;null;97.4;8.666667;26;332.2;null;25.112903;20.099355;16.822581;87.612903;14;2.526882;18.870968;null;
1975-01-31;14;42.8;null;null;115.8;8.408602;22;348.8;null;26.809677;20.989677;17.141935;85.758065;12;2.391304;30.564516;null;
1975-02-28;14;49;null;null;149.3;6.869048;19;218.1;null;29.325;22.697857;18.482143;82.616071;9;2.583333;35.035714;null;
1975-03-31;14;55.8;null;null;193.7;5.655914;9;59.5;null;28.045161;21.623226;17.306452;81.830645;3;1.978495;31;null;
1975-04-30;14;42.5;null;null;168.7;4.7;9;79.8;null;24.406667;17.926;13.743333;84.158333;7;2.022222;34.733333;null;
1975-05-31;14;43.1;null;null;162.9;4.526882;6;39.6;null;21.990323;16.192903;12.251613;84.080645;5;2.075269;37.870968;null;
1975-06-30;14;46.5;null;null;159.6;4.555556;5;10.7;null;22.303333;15.932667;11.673333;82.1;10;2.377778;39.266667;null;
1975-07-31;14;55.8;null;null;188.9;3.516129;4;15.6;null;21.290323;14.283871;9.593548;78.758065;10;2.322581;41.935484;null;
1975-08-31;14;95.1;null;null;235.9;3.010753;2;.2;null;26.477419;19.063226;13.925806;68.516129;12;2.397849;40.253968;null;
1975-09-30;14;75.4;null;null;164.4;5.533333;8;30.6;null;25.43;18.709333;14.066667;74.566667;7;2.366667;30.5;null;
1975-10-31;14;59.5;null;null;152.3;7.376344;20;131.9;null;25.374194;19.643871;15.874194;81.822581;6;2.206522;25.887097;null;
1975-11-30;18;46.6;null;null;128;7.788889;21;344.7;null;25.186667;20.235333;16.96;85.825;14;3.011111;27.133333;null;
1975-12-31;14;51.2;null;null;176.1;6.494624;18;247.7;null;27.793548;21.595484;17.56129;84.282258;10;2.494624;30.483871;null;
1976-01-31;14;63.1;null;null;218.9;6.193548;20;148.2;null;29.293548;22.646452;18.164516;82.669355;7;2.139785;32.983871;null;
1976-02-29;14;36.5;null;null;100.2;8.068966;23;148.1;null;25.882759;20.766207;17.47931;87.637931;12;2.448276;27.689655;null;
1976-03-31;14;41.7;null;null;156.8;6.623656;17;244;null;26.683871;20.992903;17.429032;85.798387;6;2.225806;31.177419;null;
1976-04-30;14;41.2;null;null;165;5.744444;10;110.9;null;24.753333;19.318;15.54;86.375;8;2.166667;32.716667;null;
1976-05-31;36;40.7;null;null;120.1;6.139785;13;147;null;21.554839;16.9;13.741935;87.983871;12;2.630435;30.645161;null;
1976-06-30;36;59;null;null;168.1;3.522222;6;68.1;null;21.91;16.060667;11.74;79.516667;12;2.932584;42.183333;null;
1976-07-31;18;45.4;null;null;165.6;5.086022;10;112.1;null;20.854839;14.914194;10.870968;83.008065;7;2.311828;36.66129;null;
1976-08-31;14;47.5;null;null;154.8;5.505376;12;83.7;null;22.093548;16.487097;12.577419;84.193548;12;2.569892;32.064516;null;
