Nome: TINGUA
Codigo Estacao: 83763
Latitude: -22.58
Longitude: -43.35
Altitude: 125
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1993-08-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;58.3;null;null;null;6.892473;17;318.2;null;31.56129;24.509677;18.090323;82.120968;6;.365591;null;null;
1970-02-28;0;67.4;null;null;null;6.511905;12;138;null;32.232143;25.506429;19.235714;77.303571;6;.214286;null;null;
1970-03-31;0;57.1;null;null;null;5.225806;10;104.8;null;31.854839;24.693548;18.122581;80.516129;6;.193548;null;null;
1970-04-30;0;49;null;null;null;5.122222;10;105.2;null;28.933333;22.474;16.333333;81.591667;6;.088889;null;null;
1970-05-31;0;43.5;null;null;null;3.817204;5;20.6;null;27.803226;21.398065;15.587097;80.137097;4;.129032;null;null;
1970-06-30;0;56.3;null;null;null;4.133333;6;46.8;null;26.496667;20.645333;15.286667;80.583333;6;.266667;null;null;
1970-07-31;0;43.4;null;null;null;5.419355;11;58.2;null;23.780645;18.409032;13.419355;82.620968;2;.064516;null;null;
1970-08-31;0;55.3;null;null;null;4.268817;9;158.2;null;25.625806;19.074839;13.458065;79.830645;8;.451613;null;null;
1970-09-30;0;38.7;null;null;null;7.922222;11;117.8;null;25.173333;19.770667;14.793333;84.7;4;.222222;null;null;
1970-10-31;0;33.5;null;null;null;8.27957;19;219.4;null;25.706452;20.527742;15.677419;86.758065;6;.172043;null;null;
1970-11-30;0;45.7;null;null;null;7.322222;18;179.6;null;27.276667;21.121333;15.54;85.016667;4;.155556;null;null;
1970-12-31;0;94.4;null;null;null;5.806452;13;160.2;null;33.889655;25.869655;19.206452;76.137097;10;.365591;null;null;
1971-01-31;0;78.3;null;null;null;4.44086;13;347.6;null;34.667742;26.374839;19.36129;74.185484;4;.215054;null;null;
1971-02-28;0;90.9;null;null;null;3.940476;6;274.4;null;35.530769;26.742308;19.835714;74.151786;10;.380952;null;null;
1971-03-31;0;50.4;null;null;null;6.107527;17;231.7;null;32.416129;25.14129;19.103226;83.879032;4;.043011;null;null;
1971-04-30;0;38.1;null;null;null;6.533333;15;216.2;null;28.34;22.456;17.26;87.15;4;.089888;null;null;
1971-05-31;0;42.6;null;null;null;5.11828;10;98.4;null;26.196774;20.526452;15.535484;84.145161;2;.043011;null;null;
1971-06-30;0;36.5;null;null;null;5.811111;8;78.1;null;23.806667;18.634667;13.753333;86.825;4;.177778;null;null;
1971-07-31;0;50.1;null;null;null;4.086022;5;31.8;null;25.035484;19.152903;14.006452;83.604839;10;.27957;null;null;
1971-08-31;0;48.3;null;null;null;5.043011;13;137;null;25.435484;19.594839;14.387097;83.266129;6;.086022;null;null;
1971-09-30;0;46.8;null;null;null;6.044444;11;108;null;26.926667;20.433333;15.393333;82.016667;4;.222222;null;null;
1971-10-31;0;46.4;null;null;null;7.623656;17;284.5;null;27.022581;20.798065;16.148387;84.362903;4;.344086;null;null;
1971-11-30;0;38.6;null;null;null;7.677778;19;310.6;null;27.27;21.697333;17.04;84.725;4;.444444;null;null;
1971-12-31;0;60;null;null;null;6.83871;13;340.8;null;31.006452;24.445161;19.283871;82.16129;4;.236559;null;null;
1972-01-31;0;83.3;null;null;null;5;13;274.8;null;33.935484;25.785161;19.619355;77.935484;4;.301075;null;null;
1972-02-29;0;61;null;null;null;6.333333;16;262.8;null;32.062069;25.215172;20.02069;82.603448;4;.37931;null;null;
1972-03-31;0;45.8;null;null;null;6.010753;16;202.4;null;31.680645;25.005161;19.974194;86.387097;6;.129032;null;null;
1972-04-30;0;45.9;null;null;null;6.177778;16;144.8;null;27.573333;21.674667;16.686667;83.825;4;.277778;null;null;
1972-05-31;0;51.9;null;null;null;3.397849;2;17.6;null;27.245161;21.234194;17.164516;80.112903;4;.129032;null;null;
1972-06-30;0;67.9;null;null;null;1.544444;1;2.2;null;28.076667;21.514;17.22;72.3;4;.355556;null;null;
1972-07-31;0;52.4;null;null;null;5.236559;8;47.2;null;25.006452;19.708387;16.070968;81.217742;6;.623656;null;null;
1972-08-31;0;69.9;null;null;null;4.612903;11;88;null;27.258065;20.986452;16.709677;77.83871;6;.731183;null;null;
1972-09-30;0;75.7;null;null;null;6.355556;14;142;null;27.343333;21.656667;17.56;77.85;10;.822222;null;null;
1972-10-31;0;43.7;null;null;null;7.064516;15;158.8;null;28.525806;22.587097;18.512903;80.685484;6;.408602;null;null;
1972-11-30;0;48.8;null;null;null;8.233333;20;159;null;29.036667;23.61;19.886667;84.808333;4;.244444;null;null;
1972-12-31;0;58.3;null;null;null;8.043011;19;246.5;null;30.764516;24.656129;20.367742;82.258065;6;.408602;null;null;
1973-01-31;0;65.5;null;null;null;6.677419;19;551.7;null;33.929032;26.510968;21.780645;80.725806;2;.129032;null;null;
1973-02-28;0;65.4;null;null;null;5.107143;11;215.8;null;34.532143;27.029286;22.092857;79.553571;6;.309524;null;null;
1973-03-31;0;44.6;null;null;null;7.634409;18;266.5;null;29.822581;24.269032;20.567742;85.274194;6;.236559;null;null;
