Nome: ARARAS
Codigo Estacao: 83765
Latitude: -22.52
Longitude: -43.18
Altitude: 820
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1976-07-03
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;null;null;null;null;7.387097;12;254.5;null;26.990323;21.406452;16.677419;81.548387;5;1.526882;null;null;
1970-02-28;0;null;null;null;null;6.619048;9;126.9;null;27.5;21.641429;16.421429;80.160714;12;1.77381;null;null;
1970-03-31;0;null;null;null;null;5.935484;11;126.4;null;27.277419;21.170323;15.735484;81.709677;5;1.23871;null;null;
1970-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-05-31;0;null;null;null;null;3.521739;1;6.4;null;24.493548;16.470323;10.512903;82.5;5;1.076087;null;null;
1970-06-30;0;null;null;null;null;3.955556;7;34.1;null;23.406667;15.614;9.88;83.183333;9;1.255556;null;null;
1970-07-31;0;null;null;null;null;5.806452;6;22;null;21.164516;14.482581;8.958065;81.983871;5;1.483871;null;null;
1970-08-31;0;null;null;null;null;4.946237;7;96.8;null;21.987097;14.837419;8.564516;78.403226;5;1.731183;null;null;
1970-09-30;9;null;null;null;null;7.955556;8;74.4;null;22.336667;17.274;12.73;80.308333;5;1.6;null;null;
1970-10-31;9;null;null;null;null;8;9;193.4;null;23.212903;18.436774;14.264516;82.306452;5;1.763441;null;null;
1970-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-12-31;9;null;null;null;null;5.793478;12;220.7;null;29.216129;22.301935;16.293548;76.822581;5;1.73913;null;null;
1971-01-31;0;null;null;null;null;5.021505;12;189.4;null;29.935484;22.241935;16.054839;77.322581;3;1.344086;null;null;
1971-02-28;0;null;null;null;null;4.857143;11;207.6;null;30.196429;22.558571;16.257143;77.633929;5;1.5;null;null;
1971-03-31;0;null;null;null;null;6.408602;13;129.8;null;27.919355;21.596774;16.403226;83.129032;5;1.258065;null;null;
