Nome: LONDRINA
Codigo Estacao: 83766
Latitude: -23.32555554
Longitude: -51.14166666
Altitude: 566
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;94.1;null;null;242.9;5.817204;9;153;null;947.513978;30.032258;23.994194;19.003226;73.185484;4;.892473;58.548387;
1970-02-28;0;46.7;null;null;170.6;7.952381;null;135;null;948.725;29.504762;23.675238;20.6;82.089286;4;.988095;55.535714;
1970-03-31;0;56;null;null;197.9;5.870968;15;178.6;null;950.175269;29.51875;23.6325;19.070968;77.741935;4;.795699;55.806452;
1970-04-30;0;72.2;null;null;254.6;4.322222;5;67.7;null;950.854444;29.39;22.196667;16.743333;71.066667;4;.444444;56.666667;
1970-05-31;0;72.6;null;null;217.3;4.827957;3;63.1;null;951.870968;26.841935;20.049032;15.096774;75.040323;4;.333333;55.967742;
1970-06-30;0;68.2;null;null;200.5;5.544444;10;181.2;null;953.536667;24.606667;18.220667;13.663333;78.733333;5;.766667;53.216667;
1970-07-31;0;81.8;null;null;233.6;4.268817;7;15.4;null;956.517204;23.970968;16.763871;11.480645;71.951613;5;1.107527;57.903226;
1970-08-31;0;120.8;null;null;247.4;3.83871;7;129.6;null;953.963441;25.548387;17.871613;11.496774;63.580645;7;1.365591;52.5;
1970-09-30;0;82.9;null;null;179.5;5.855556;12;155.1;null;951.806667;25.88;18.816;13.276667;74.725;10;1.3;52.75;
1970-10-31;0;106.5;null;null;233.6;5.494624;10;148.6;null;949.150538;28.545161;21.510968;15.954839;70.370968;5;1.483871;55.596774;
1970-11-30;0;149.7;null;null;245.7;4.611111;8;40.6;null;947.793333;29.086667;21.573333;14.906667;60.191667;7;1.644444;57.166667;
1970-12-31;0;128.1;null;null;187.3;6.27957;16;298.9;null;947.197849;31.093548;24.37871;19.212903;70.645161;7;1.258065;55.564516;
1971-01-31;0;105.1;null;null;210.7;6.032258;14;203.9;null;948.554839;31.293548;24.63871;19.806452;73.701613;5;.55914;58.306452;
1971-02-28;0;87.3;null;null;199.9;6.880952;null;141.8;null;949.221429;31.435714;24.542857;19.878571;75.776786;7;1.238095;59.107143;
1971-03-31;0;80.5;null;null;219.8;6.247312;16;109.4;null;949.282796;30.729032;23.724516;18.987097;78.419355;5;.655914;56.290323;
1971-04-30;0;89.7;null;null;227.7;4.122222;6;69.2;null;950.956667;28.19;20.616667;14.87;70.808333;9;1.044444;58.5;
1971-05-31;0;66.4;null;null;199.5;4.903226;null;142.3;null;953.676344;24.835484;18.363226;13.712903;78.983871;7;.817204;51.870968;
1971-06-30;0;56.5;null;null;165.8;6.277778;null;159.9;null;953.23;22.356667;16.459333;11.676667;78.591667;4;.622222;54.25;
1971-07-31;0;75.8;null;null;220.2;3.215054;null;171.9;null;954.24086;24.06129;16.672903;10.787097;73.5;5;.516129;55.580645;
1971-08-31;0;105.2;null;null;258.4;4.010753;null;12.1;null;954.264516;26.129032;18.687097;12.441935;66.854839;8;1.569892;58.064516;
1971-09-30;0;103.6;null;null;204.5;4.155556;null;117.1;null;952.195556;27.743333;20.093333;13.836667;66.908333;5;1.233333;57;
1971-10-31;0;111.4;null;null;224.8;5.268817;null;69.2;null;951.456989;28.180645;21.148387;15.103226;68;7;1.623656;57.903226;
1971-11-30;14;150.7;null;null;225.4;5.177778;null;28.1;null;949.032222;29.87;22.414;16.253333;61.675;8;1.877778;58.666667;
1971-12-31;0;84.6;null;null;100;7.752688;18;306.1;null;947.688172;29.145161;23.145161;18.451613;78.564516;5;1.075269;56.532258;
1972-01-31;0;71.1;null;null;150.4;7.225806;20;348.8;null;948.655914;29.570968;23.107742;18.690323;80.967742;7;1.129032;57.258065;
1972-02-29;0;52.7;null;null;137.2;7.344828;20;319.9;null;948.782759;28.289655;22.688966;18.917241;84.568966;5;1.091954;56.896552;
1972-03-31;0;94.2;null;null;239.1;4.774194;null;56.9;null;949.209677;30.96129;23.789677;18.187097;74.685484;5;.795699;59.677419;
1972-04-30;0;84.2;null;null;232.7;4.3;null;144.3;null;951.885556;26.8;19.550667;13.753333;71.425;5;1.1;59.166667;
1972-05-31;0;72.6;null;null;226;3.430108;null;133.5;null;952.637634;26.319355;19.193548;13.790323;76.266129;3;.387097;57.258065;
1972-06-30;0;84.5;null;null;255.5;2.611111;null;13.6;null;953.017778;27.276667;19.042667;12.546667;69.216667;12;.433333;59;
1972-07-31;0;71.7;null;null;206.1;4.741935;null;270.8;null;953.182796;23.551613;16.589032;11.222581;73.306452;8;.956989;55.241935;
1972-08-31;0;68.6;null;null;150.5;6.322581;null;144.8;null;951.632258;23.641935;17.307742;12.454839;76.846774;7;.935484;53.870968;
1972-09-30;0;76.7;null;null;161.9;6.733333;null;175.5;null;952.302222;26.213333;19.920667;14.943333;75.475;6;1.055556;54.583333;
1972-10-31;0;98.3;null;null;213.6;5.924731;null;294;null;949.829032;28.045161;21.647097;16.2;72.241935;7;1.268817;53.629032;
