Nome: MOGI DAS CRUZES
Codigo Estacao: 83772
Latitude: -23.52
Longitude: -46.22
Altitude: 775
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1977-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;63.4;null;null;null;4.817204;13;282.2;null;27.13871;20.187097;14.729032;81.330645;3;.16129;null;null;
1970-02-28;0;62.4;null;null;null;5.440476;18;222.5;null;26.835714;20.990714;16.607143;81.267857;3;.119048;null;null;
1970-03-31;0;76.5;null;null;null;4.354839;6;110.7;null;27.929032;21.976774;17.277419;80.451613;5;.301075;null;null;
1970-04-30;0;60.1;null;null;null;4.211111;6;47.3;null;25.593333;19.633333;14.046667;80.066667;3;.144444;null;null;
1970-05-31;0;57.6;null;null;null;4.709677;5;56.9;null;24.787097;17.886452;12.525806;82.790323;5;.204301;null;null;
1970-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-07-31;0;43.6;null;null;null;4.445652;8;25.7;null;21.545161;12.932903;7.070968;82.524194;5;.326087;null;null;
1970-08-31;0;50.6;null;null;null;4.806452;9;87;null;23.077419;13.730323;7.722581;79.225806;3;.463441;null;null;
1970-09-30;0;41.4;null;null;null;4.944444;9;96.3;null;23.543333;15.528667;10.22;82.191667;7;.5;null;null;
1970-10-31;0;52.2;null;null;null;4.892473;8;71.3;null;24.964516;17.200645;12.254839;82.822581;5;.387097;null;null;
1970-11-30;0;39.9;null;null;null;4.966667;10;87.1;null;24.6;17.654;13.093333;83.366667;5;.5;null;null;
1970-12-31;0;76.1;null;null;null;3.290323;8;55.3;null;28.487097;22.041935;16.858065;77.822581;5;.344086;null;null;
1971-01-31;0;98.4;null;null;null;3.666667;13;108.3;null;30.16129;24.270968;18.954839;72.870968;7;.397849;null;null;
1971-02-28;18;60.4;null;null;null;4.309524;null;140;null;28.085714;23.423571;18.453571;75.116071;3;.511905;null;null;
1971-03-31;0;44.5;null;null;null;4.806452;12;133.5;null;26.812903;21.497419;17.312903;83.572581;3;.419355;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;0;31.5;null;null;null;4.913043;null;30.5;null;22.93871;17.172903;12.9;84.709677;5;.315217;null;null;
1971-06-30;0;35.8;null;null;null;5.155556;null;56.1;null;20.273333;13.150667;8.476667;83.875;5;.466667;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;0;48.2;null;null;null;4.744186;null;130.3;null;25.813793;20.168966;15.713793;81.948276;5;.465116;null;null;
1972-03-31;0;56;null;null;null;4.430108;null;46.8;null;26.36129;20.675484;16.116129;81.927419;5;.430108;null;null;
1972-04-30;0;33.1;null;null;null;5.088889;null;42.5;null;22.91;17.108667;11.576667;86.091667;5;.566667;null;null;
1972-05-31;0;42.6;null;null;null;4.537634;null;30.1;null;23.651613;15.633548;9.487097;83.951613;3;.11828;null;null;
1972-06-30;0;45.7;null;null;null;2.755556;null;5.8;null;24.336667;16.277333;9.793333;81.466667;5;.266667;null;null;
1972-07-31;0;43;null;null;null;4.569892;null;28.7;null;21.422581;13.376774;7.645161;82.717742;7;.333333;null;null;
1972-08-31;0;49.5;null;null;null;4.655914;null;31.6;null;22.9;14.872258;9.103226;81.814516;5;.365591;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;0;57.8;null;null;null;4.912088;null;91.7;null;25.051613;17.834;12.174194;81.95;5;.373626;null;null;
1972-11-30;0;60.6;null;null;null;5.033333;null;91.4;null;25.47;19.183333;14.463333;84.191667;5;.388889;null;null;
1972-12-31;0;80.6;null;null;null;3.72043;null;48.1;null;26.274194;20.072903;14.983871;81.846774;5;.494624;null;null;
1973-01-31;14;102.8;null;null;null;4.290323;null;198.5;null;27.732258;21.878065;16.7;80.637097;5;.55914;null;null;
1973-02-28;0;104.3;null;null;null;3.952381;null;163.5;null;28.953571;23.519286;18.571429;77.321429;5;.559524;null;null;
1973-03-31;0;69.2;null;null;null;5.44086;null;137.5;null;25.583871;20.468387;15.880645;82.064516;5;.419355;null;null;
1973-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-05-31;0;41.6;null;null;null;4.75;null;48.6;null;20.941935;14.696774;9.809677;84.153226;7;.282609;null;null;
1973-06-30;0;48.6;null;null;null;4.266667;null;18.8;null;22.656667;15.876;11.076667;84.325;5;.177778;null;null;
1973-07-31;0;59;null;null;null;4.903226;null;48.1;null;21.854839;15.249032;10.43871;83.032258;3;.301075;null;null;
1973-08-31;0;45.9;null;null;null;5.408602;null;20.9;null;21.645161;14.749032;9.641935;82.991935;3;.344086;null;null;
