Nome: AVARE
Codigo Estacao: 83773
Latitude: -23.083579
Longitude: -48.911718
Altitude: 831.96
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2014-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;102.4;null;null;213.9;6.989247;15;209.3;924.747312;28.458065;21.914839;17.625806;75.475806;9;2.666667;43.278689;null;
1970-02-28;0;66.6;null;null;154.9;7.666667;22;238.6;926.078571;27.914286;22.072143;18.775;82.892857;7;1.714286;32.857143;null;
1970-03-31;0;96.5;null;null;197.2;6.043011;13;79.1;927.374194;28.380645;22.002581;17.993548;77.975806;9;2.053763;41.311475;null;
1970-04-30;0;104.4;null;null;230.2;5.1;7;79.9;928.013333;26.893333;20.016;16.16;74.708333;7;1.966667;48.8;null;
1970-05-31;14;98.2;null;null;224.7;5.311828;9;39.5;928.516129;25.954839;19.065806;14.929032;75.427419;9;1.010753;44.290323;null;
1970-06-30;0;95.8;null;null;186.3;6.088889;10;76.3;929.546667;23.993333;17.318667;13.406667;78.566667;5;1.122222;37.116667;null;
1970-07-31;14;84.4;null;null;243.2;4.795699;5;42.7;932.25914;22.748387;15.914194;12.054839;71.830645;9;2.16129;45.870968;null;
1970-08-31;14;123.3;null;null;248.1;3.774194;7;114.6;930.058065;23.619355;16.550323;12.009677;66.701613;9;2.408602;54.419355;null;
1970-09-30;14;97.7;null;null;200.3;5.822222;10;88.8;927.763333;24.793333;17.516;13.2;75.541667;9;2.455556;44.3;null;
1970-10-31;14;114.6;null;null;222.9;5.752688;10;55.2;925.305376;26.703226;19.233548;14.458065;74.564516;7;2.11828;41.935484;null;
