Nome: GUAIRA
Codigo Estacao: 83775
Latitude: -24.08
Longitude: -54.25
Altitude: 230
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1996-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;136;null;null;265.5;5.860215;9;127.5;980.216129;32.174194;25.494839;20.603226;74.709677;7;1.967742;50;null;
1970-02-28;5;102.9;null;null;215.7;6.071429;null;231.8;981.20119;30.732143;24.922857;20.603571;79.098214;6;1.630952;49.142857;null;
1970-03-31;0;114.8;null;null;196.2;5.946237;12;78.9;982.826882;30.425806;24.6;20.325806;80;6;1.677419;50;null;
1970-04-30;0;120.7;null;null;234;3.677778;4;42;984.035556;30.096667;22.554;16.696667;75.45;6;1.477778;49.25;null;
1970-05-31;0;89.9;null;null;198.6;5.075269;4;75.2;984.66129;26.941935;20.162581;15.23871;82.443548;7;1.784946;45.129032;null;
1970-06-30;5;73.5;null;null;146.4;6.5;13;144.2;985.713333;23.77;17.921333;13.67;84.616667;5;1.844444;47.616667;null;
1970-07-31;5;110.9;null;null;217.2;4.602151;8;97.2;988.550538;23.451613;16.977419;12.074194;75.903226;6;1.677419;46.967742;null;
1970-08-31;5;160.7;null;null;216.4;3.731183;9;28.4;986.398925;25.409677;17.907097;12.454839;68.967742;9;1.817204;45.564516;null;
1970-09-30;5;102.6;null;null;153.1;5.577778;15;223.6;984.366667;24.983333;19.002;14.033333;79.408333;6;1.844444;46.85;null;
1970-10-31;5;129.9;null;null;221.7;5.677419;10;123;981.177419;28.329032;22.116774;17.387097;75.274194;7;2.043011;49.516129;null;
1970-11-30;5;150.9;null;null;260.7;4.011111;7;96.9;980.617778;28.383333;21.085333;14.676667;66.333333;9;2.311111;49;null;
1970-12-31;5;139.9;null;null;219.9;5.827957;20;339.3;978.613978;31.277419;24.594839;19.5;76.637097;7;1.623656;49.516129;null;
1971-01-31;5;96.6;null;null;201.5;6.483871;19;214;979.845161;31.16129;24.877419;20.941935;84.274194;7;1.591398;50;null;
1971-02-28;5;89;null;null;190.9;7.22619;17;226.5;980.767857;30.892857;25.141429;21.196429;82.321429;6;1.916667;50;null;
1971-03-31;5;74.7;null;null;195.4;5.806452;15;155.9;980.762366;30.264516;24.072903;20;85.346774;6;1.580645;50;null;
1971-04-30;5;83;null;null;213;4.311111;16;87.3;983.236667;26.73;19.896;14.773333;81.45;3;1.333333;50;null;
1971-05-31;5;69;null;null;179.3;5.064516;23;170.6;985.922581;23.609677;17.267097;12.674194;85.016129;6;1.376344;49.516129;null;
1971-06-30;5;50.7;null;null;135.2;6.422222;22;213.6;985.683333;21.313333;15.435333;10.996667;87.916667;6;1.533333;47.7;null;
1971-07-31;5;79.6;null;null;196;3.795699;16;214.3;986.076344;23.690323;16.489032;11.13871;81.548387;6;1.688172;44.258065;null;
1971-08-31;5;110.6;null;null;207.9;4.150538;null;47.7;985.978495;24.983871;18.370968;13.393548;76.112903;5;1.860215;50;null;
1971-09-30;5;112.1;null;null;147.3;4.088889;null;131.1;983.788889;26.76;20.202667;15.083333;74.825;6;1.966667;47.5;null;
1971-10-31;5;131.8;null;null;180.5;5.494624;null;95.2;983.85914;26.706452;20.461935;15.683871;76.282258;10;2.924731;50;null;
1971-11-30;5;187.3;null;null;259.4;4.188889;null;26.9;981.008889;30.86;23.126667;17.25;65.741667;9;2.9;46;null;
1971-12-31;5;155.9;null;null;246.3;5.634409;null;146.4;978.877419;31.3;24.566452;19.53871;73.064516;10;3.473118;50;null;
1972-01-31;5;139.4;null;null;214.3;5.731183;null;135;979.517204;31.725806;24.72;20.177419;76.959677;7;2.806452;50;null;
1972-02-29;5;88.1;null;null;166.2;6.563218;null;197.5;979.832184;29.748276;24.014483;20.5;82.655172;7;2.735632;50;null;
1972-03-31;5;113.1;null;null;232.3;4.311828;null;57.2;980.598925;31.480645;24.292258;19.303226;79.217742;6;2.295699;49.209677;null;
1972-04-30;5;93.3;null;null;232.6;3.4;null;104.9;983.962222;26.873333;19.645333;14.2;77.333333;5;1.777778;48.4;null;
1972-05-31;5;75.8;null;null;178.4;4.580645;null;129;984.022581;26.241935;19.780645;15.183871;83.5;7;2.27957;48.451613;null;
1972-06-30;5;81.8;null;null;190.4;3.766667;null;29.1;984.264444;26.163333;19.378;14.746667;81.25;7;2.855556;45.966667;null;
1972-07-31;5;81;null;null;151.5;6.182796;17;127.2;984.974194;22.86129;16.640645;11.809677;81.895161;8;2.827957;48.064516;null;
1972-08-31;5;109.7;null;null;138.2;6.075269;null;121.2;983.406452;24.112903;17.845806;13.309677;78.701613;8;3.247312;48.229508;null;
1972-09-30;5;109.7;null;null;138.1;5.188889;15;113.1;983.39;26.753333;20.602;15.75;77.391667;8;3.333333;44.5;null;
1972-10-31;5;134.2;null;null;180.8;5.698925;null;171.2;981.56129;27.819355;21.360645;16.283871;75.532258;8;3.301075;50;null;
1972-11-30;5;108.6;null;null;170.6;6.566667;null;261.6;979.32;29.116667;23.730667;19.43;81.158333;6;2.966667;50;null;
1972-12-31;5;136.9;null;null;214.8;5.623656;null;137.7;980.337634;31.087097;24.287097;19.248387;74.282258;7;2.860215;50;null;
1973-01-31;5;121.5;null;null;214.3;6.086022;17;186.3;980.427957;32.735484;26.53871;22.535484;81.935484;7;2.978495;50;null;
1973-02-28;5;105.1;null;null;205;5.666667;null;123.2;980.622619;32.978571;26.669286;22.589286;80.214286;7;3;49.285714;null;
1973-03-31;5;104;null;null;214.6;5.376344;null;75.6;980.950538;31.416129;24.651613;20.132258;77.330645;6;2.591398;49.516129;null;
1973-04-30;5;85.3;null;null;190.5;4.933333;null;49.6;982.024444;31.096667;24.554667;20.086667;80.616667;7;2.022222;50;null;
1973-05-31;5;74.5;null;null;169.8;5.688172;null;144.1;985.235484;24.858065;18.753548;14.448387;82.967742;7;2.763441;48.111111;null;
1973-06-30;5;69.5;null;null;179.1;4.449438;17;114.6;984.474157;23.803333;17.189655;12.866667;82.318966;7;2.651685;48.338983;null;
