Nome: ITAPETININGA
Codigo Estacao: 83776
Latitude: -23.58
Longitude: -48.05
Altitude: 644
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1970-11-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;18;64.5;null;null;208.6;7.462366;14;210.2;936.933333;28.577419;21.875484;16.703226;81.306452;3;.1;53.467742;null;
1970-02-28;0;52.7;null;null;136.7;8.083333;18;125;938.120238;28.439286;22.320714;18.057143;84.455357;0;0;53.75;null;
1970-03-31;0;71.1;null;null;198.2;6.268817;10;85.8;939.244086;29.583871;22.312258;17.206452;81.556452;3;.44;53.870968;null;
1970-04-30;0;64.8;null;null;194.9;5.222222;5;93.6;940.154444;27.593333;20.136667;14.706667;80.9;7;1.3;56.016667;null;
1970-05-31;0;63;null;null;191.6;5.709677;5;34.1;940.523656;26.854839;19.107097;13.487097;78.959677;7;1.206522;50.080645;null;
1970-06-30;0;57;null;null;168.6;5.944444;9;42.6;941.615556;24.243333;17.237333;12.106667;81.758333;12;1.863636;48.416667;null;
1970-07-31;14;64.2;null;null;199.7;4.731183;5;10.4;944.739785;23.5;15.683871;9.922581;80.5;7;2.172043;52.33871;null;
1970-08-31;0;75.1;null;null;187.3;4.365591;6;92.9;942.44086;24.064516;16.166452;10.33871;75.556452;12;2.076344;45.758065;null;
1970-09-30;0;58.6;null;null;176.1;6.4;9;68.1;940.193333;24.673333;17.27;12.2;80.45;12;2.268889;47.983333;null;
1970-10-31;14;65.1;null;null;207.6;7.182796;13;91.2;937.603226;26.096774;18.796129;13.251613;79.459677;12;2.591398;50.483871;null;
1970-11-30;0;88.5;null;null;220.1;6.411111;8;98.9;935.651111;26.71;19.218667;13.276667;73.591667;7;2.988889;52.333333;null;

