Nome: SANTOS
Codigo Estacao: 83782
Latitude: -23.93
Longitude: -46.33
Altitude: 13
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1996-12-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;64.8;null;null;154.4;6.88172;16;264;1010.887097;26.941935;24.249032;21.248387;83.669355;12;2.731183;20.967742;null;
1970-02-28;9;60.3;null;null;132.6;7.392857;19;456.6;1011.440476;28.671429;25.481429;22.146429;84.178571;12;2.5;26.428571;null;
1970-03-31;14;73.3;null;null;179.3;5.956989;8;289.4;1013.102151;28.245161;25.030323;21.990323;83.177419;12;2.684783;30;null;
1970-04-30;9;54;null;null;163.7;5.288889;12;133.9;1014.477778;26.003333;23.105333;19.923333;83.558333;9;2.47191;26;null;
1970-05-31;0;52;null;null;166.4;5.376344;8;132.6;1014.789247;25.880645;22.242581;19.312903;86.314516;12;1.774194;20.483871;null;
1970-06-30;14;54.9;null;null;146.3;5.911111;9;135.3;1016.29;24.953333;21.194667;18.143333;85.591667;12;2.711111;22.666667;null;
1970-07-31;23;19.6;null;null;174.2;5.021505;11;55.8;1020.288172;22.16129;18.827097;15.558065;85.774194;9;2.703297;29.354839;null;
1970-08-31;9;null;null;null;179.2;5.258065;14;122.6;1018.078495;22.558065;19.255484;16.022581;80.959677;12.3;3.328571;28.064516;null;
1970-09-30;23;null;null;null;95.5;8.066667;11;94.7;1016.016667;21.886667;19.436667;17.16;85.833333;12.3;2.26092;22.833333;null;
1970-10-31;18;52.4;null;null;98.7;7.956989;16;134.4;1013.083871;22.841935;20.519355;17.787097;84.967742;9.3;2.607692;32.983871;null;
1970-11-30;9;70.4;null;null;151.1;6.722222;13;107.2;1010.936667;23.776667;21.108667;18.21;80.791667;12.3;1.9125;40.666667;null;
1970-12-31;9;30.8;null;null;143.4;7.247312;13;170.6;1008.423656;28.7;25.225161;21.996774;80.604839;12.3;2.118478;42.903226;null;
1971-01-31;0;90.4;null;null;235.1;5.225806;13;309;1009.62043;30.148387;26.550323;22.787097;78.701613;12.3;2.154444;39.354839;null;
1971-02-28;0;76.6;null;null;196.8;5.464286;null;372;1010.505952;29.739286;26.424286;23.225;80.964286;12.3;2.314458;33.839286;null;
1971-03-31;14;71.5;null;null;154.4;6.55914;19;268.2;1010.708602;28.6;25.439355;22.525806;84.169355;12.3;2.336559;32.580645;null;
1971-04-30;0;60.3;null;null;128.1;6.811111;18;192.2;1012.7;25.586667;22.473333;19.61;84.983333;12;2.955556;26.166667;null;
1971-05-31;9;52.9;null;null;137.3;6.408602;15;147.4;1016.048387;23.441935;20.207097;17.480645;87.104839;10;2.978495;21.451613;null;
1971-06-30;5;45.7;null;null;114.7;6.922222;null;139.2;1015.957778;22.324138;18.629655;15.763333;85.608333;10;2.811111;19.666667;null;
1971-07-31;5;39.8;null;null;148.7;5.526882;null;43;1017.201075;21.935484;18.196774;15.012903;86.580645;9;3.236559;17.419355;null;
1971-08-31;32;58.3;null;null;145.9;6.236559;null;127.1;1018.208602;22.677419;19.512258;16.629032;85;14;3.763441;16.451613;null;
1971-09-30;14;57.5;null;null;147.6;6.166667;null;61.8;1015.751111;22.97;19.856;16.843333;84.633333;12;3.722222;16.5;null;
1971-10-31;23;61.3;null;null;123;7.387097;15;124.5;1015.277419;22.896774;20.371613;17.577419;83.258065;12;3.76087;19.193548;null;
1971-11-30;14;77.6;null;null;122.9;7.466667;15;74.4;1012.194444;24.153333;21.456;18.753333;80.608333;12;3.777778;19.666667;null;
1971-12-31;32;89.3;null;null;129.5;7.236559;19;141;1008.689247;27.364516;23.845806;20.490323;83.766129;12;3.172043;17.704918;null;
1972-01-31;0;114.3;null;null;141.2;7.494624;null;235.7;1008.245161;28.893548;25.450323;21.848387;83.193548;7;2.51087;19.83871;null;
1972-02-29;5;94;null;null;121.3;7.747126;17;281.4;1009.667816;28.655172;25.274483;21.910345;84.37069;9;2.425287;16.586207;null;
1972-03-31;32;77.1;null;null;154.9;7.053763;17;200;1010.249462;28.435484;25.66;22.696774;85.459677;8;2.387097;15.725806;null;
1972-04-30;0;94.3;null;null;186.9;5.911111;null;134;1013.701111;26.213333;22.521333;18.906667;81.691667;12;2.58427;16.416667;null;
1972-05-31;9;81.4;null;null;201.8;5.311828;null;185.8;1014.2;26.029032;22.140645;19.045161;84.774194;9;2.139785;15.887097;null;
1972-06-30;14;98.4;null;null;219.5;3.455556;null;9.4;1013.918889;26.873333;21.641333;17.943333;79.483333;9;1.933333;15.2;null;
1972-07-31;0;83.5;null;null;152.8;5.731183;null;37.4;1015.853763;23.170968;19.267097;16.283871;81.693548;12;2.612903;12.435484;null;
1972-08-31;0;93.6;null;null;144.9;6.655914;null;157.4;1013.831183;23.519355;19.894194;16.848387;81.75;9;2.836957;14.112903;null;
1972-09-30;0;85.4;null;null;108.7;7.611111;15;188.9;1015.556667;23.343333;20.456;17.816667;83.283333;12;3.393258;12;null;
1972-10-31;14;71.1;null;null;120.6;7.387097;18;233.9;1012.727957;23.854839;21.132903;18.683871;85.919355;12;3.645161;13.467742;null;
1972-11-30;9;77.6;null;null;97.1;8.166667;20;95.5;1009.762222;25.456667;22.873333;20.486667;84.341667;9;3.233333;14.083333;null;
1972-12-31;9;115.6;null;null;168.9;7.193548;18;85.1;1009.626882;27.354839;24.828387;21.912903;77.419355;12;3.913043;16.129032;null;
1973-01-31;9;112.3;null;null;169.9;7.064516;16;346;1010.089247;29.858065;26.494839;23.309677;79.620968;12;3.195652;15.080645;null;
1973-02-28;9;93.5;null;null;171.4;5.964286;null;264.4;1010.15;29.846429;26.692143;23.532143;81.633929;9;2.654762;16.428571;null;
1973-03-31;5;82.7;null;null;125.7;7.065217;15;175;1010.58587;27.26129;24.54129;21.83871;82.3;9;2.450549;16.147541;null;
1973-04-30;0;64.8;null;null;140.9;6.222222;null;97.2;1012.022222;27.726667;25.176;22.65;85.966667;9;2.222222;16.166667;null;
1973-05-31;0;71.5;null;null;151.6;6.107527;15;310.6;1014.933333;24.577419;21.010968;18.280645;84.790323;9;2.018478;15.483871;null;
1973-06-30;14;75.9;null;null;153;5.377778;null;31.8;1014.122222;24.506667;20.839333;17.613333;83.233333;9;2;15.183333;null;
1973-07-31;0;64.4;null;null;171.3;6.021505;null;444.4;1016.358065;23.2;19.762581;17.122581;85.604839;12;2.206522;15.241935;null;
1973-08-31;5;40.8;null;null;90.3;7.483871;18;62.6;1016.888172;20.596774;18.043871;15.841935;87.370968;12;2.630435;12.741935;null;
1973-09-30;14;39.1;null;null;56.4;8.611111;17;132.2;1017.253333;20.653333;18.479333;16.833333;90.233333;14;2.910112;12.266667;null;
1973-10-31;5;82;null;null;121.3;7.430108;15;86.7;1012.450538;23.164516;20.59871;17.993548;82.895161;10;3.182796;15.403226;null;
1973-11-30;23;83.7;null;null;155.8;6.833333;17;246.6;1011.898889;24.46;21.683333;18.74;79.666667;9;3.188889;15.333333;null;
1973-12-31;0;68.6;null;null;123.7;7.645161;16;267.1;1009.093548;27.793548;24.587097;21.706452;81.629032;12;3.548387;13.306452;null;
1974-01-31;32;81.5;null;null;140.8;7.021739;15;318.3;1008.546739;28.19;25.155862;22.441379;82.689655;12;2.913043;12.786885;null;
1974-02-28;27;85.5;null;null;174.8;5.952381;null;38.1;1010.157143;28.364286;25.420714;22.585714;83.080357;12;2.678571;15.803571;null;
1974-03-31;9;96.5;null;null;146.2;6.903226;null;132.5;1009.106452;27.574194;24.788;22.086667;84.258065;12;2.483871;14.354839;null;
1974-04-30;0;93.2;null;null;104.6;7.044444;null;62.7;1013.927778;25.543333;22.607333;19.84;82.916667;9;1.933333;16.333333;null;
1974-05-31;0;108.8;null;null;171.5;4.666667;null;9.7;1015.248387;25.845161;21.455484;18.122581;81.451613;6.7;1.633333;15.967742;null;
1974-06-30;0;115.4;null;null;121.9;5.988889;16;125.4;1015.932222;23.496667;19.318667;15.963333;80.616667;7.7;2.072222;16.166667;null;
1974-07-31;0;77.5;null;null;162.3;4.946237;null;100.9;1019.212903;24.558065;19.567097;15.770968;84.096774;7.2;1.627957;14.677419;null;
1974-08-31;9;110.2;null;null;156.1;5.182796;null;46.4;1015.517204;24.093333;19.932667;16.266667;79.41129;7.7;1.890323;16.612903;null;
1974-09-30;0;59.7;null;null;65.7;6.955556;16;126.3;1016.371111;23.006897;19.737241;17.05;89.625;7.7;2.31;14.666667;null;
1974-10-31;14;74.5;null;null;86.7;7.11828;null;134.4;1012.544086;24.064516;20.984516;17.83871;82.443548;8.2;2.627957;15.16129;null;
1974-11-30;9;112.6;null;null;186.2;5.222222;null;133.3;1010.057778;26.9;23.050667;18.93;77.2;10.8;3.45;17.833333;null;
1974-12-31;36;111.4;null;null;98.2;7.795699;18;292.4;1009.547312;27.296774;23.714839;20.435484;83.83871;7.2;2.866667;14.677419;null;
1975-01-31;0;107.1;null;null;127.6;6.989247;16;498.5;1010.467742;29.067742;25.083871;21.380645;82.524194;8.8;1.969892;16.854839;null;
1975-02-28;9;98.8;null;null;125.4;6.416667;17;343.3;1008.508333;29.932143;25.871429;22.160714;84.1875;6.7;1.514286;15.982143;null;
1975-03-31;5;117.1;null;null;163.6;5.526882;null;114.9;1011.891398;29.290323;25.958065;22.209677;81.806452;6.7;1.394624;17.741935;null;
1975-04-30;18;88.3;null;null;160.3;4.411111;null;99.4;1012.243333;26.31;22.605333;19.666667;83.575;9.8;1.274444;18.233333;null;
1975-05-31;27;84.7;null;null;169.8;5.391304;16;123.2;1016.268478;24.651613;20.472903;16.509677;85.758333;6.7;1.426087;17.377049;null;
1975-06-30;0;72.5;null;null;159.5;5.555556;null;45.5;1017.971111;24.013333;19.684667;16.923333;86.558333;6.3;1.6;17.033333;null;
1975-07-31;0;90.2;null;null;204.1;3.731183;null;122.1;1018.047312;23.363333;18.230667;14.887097;83.072581;7.8;1.701075;17.822581;null;
1975-08-31;0;55.9;null;null;129.6;6.182796;null;22.6;1015.770968;25.190323;20.62129;17.106452;87.508065;8.3;1.775269;15.806452;null;
1975-09-30;5;80.6;null;null;84;7.233333;15;51.4;1016.184444;23.853333;20.289333;16.606667;87.716667;8;2.255556;14.278689;null;
1975-10-31;9;82;null;null;93.4;7.526882;null;96;1012.051613;24.122581;20.841935;17.029032;87.612903;6;1.95914;14.112903;null;
1975-11-30;9;51;null;null;116.8;7.2;17;284;1010.171111;26.256667;22.59931;18.089655;85.133333;8.8;3.155556;14.95082;null;
1975-12-31;14;72.8;null;null;97.9;7.72043;19;281.9;1010.096774;28.609677;24.806452;20.535484;85.556452;10.5;2.554839;15.709677;null;
1976-01-31;14;74.1;null;null;122.4;6.924731;17;358;1009.31828;31.064516;26.270323;21.251613;84.903226;8.3;2.417204;16.193548;null;
1976-02-29;32;null;null;null;125.4;7.232558;19;203.7;1009.677907;30.093103;24.998621;20.062069;83.660714;7.1;2.17907;15.789474;null;
1976-03-31;0;null;null;null;126.5;6.637363;null;295.9;1011.042857;29.641935;25.058;20.254839;84.516667;8.3;1.845055;15.833333;null;
1976-04-30;0;99.2;null;null;164.7;5.622222;16;329.4;1013.544444;26.572414;null;null;85.741667;11.6;1.921111;16.583333;null;
1976-05-31;14;88.7;null;null;135.5;6.301075;16;222.9;1014.612903;25.374194;21.160645;17.554839;81.862903;5;1.541935;16.290323;null;
1976-06-30;36;93.1;null;null;171.6;4.422222;null;50.6;1015.16;25.07;null;null;80.391667;8.3;1.351111;16.333333;null;
1976-07-31;23;83;null;null;140.5;5.666667;null;176.8;1019.093548;22.793548;null;null;85.451613;8.6;1.510753;15.725806;null;
1976-08-31;23;91.7;null;null;92.6;6.763441;null;168.3;1016.82043;22.754839;19.0575;15.73125;85.483871;7;1.405376;15.080645;null;
1976-09-30;5;76.3;null;null;78.3;7.411111;19;244.5;1014.643333;22.456667;19.494;16.996667;86.533333;6.6;2.091111;13.333333;null;
1976-10-31;36;116.8;null;null;106.6;7.576087;18;142.2;1014.093478;23.932258;20.889333;18.319355;83.808333;8.3;2.668478;15;null;
1976-11-30;32;96.7;null;null;147.2;7.022222;null;122.4;1010.516667;26.296667;23.238;20.11;82.783333;9.1;2.747778;14.166667;null;
1976-12-31;0;123.2;null;null;125.3;7.472527;null;170.2;1008.292308;null;null;22.006667;79.441667;8.3;2.93956;15.833333;null;
1977-01-31;5;99.2;null;null;127.2;7.419355;18;320.7;1008.121505;null;null;22.683871;84.217742;9.1;2.383871;14.032258;null;
1977-02-28;0;100.5;null;null;179.4;4.595238;3;71.7;1012.359524;null;null;23.632143;82.633929;7;2.430952;18.392857;null;
1977-03-31;36;97.3;null;null;126.6;6.391304;13;83.6;1010.633696;28.554839;25.702;22.832258;84.008333;8.6;2.281522;17.377049;null;
1977-04-30;18;93.8;null;null;120.7;7.077778;18;358;1013.652222;25.723333;23.027333;20.22;85.1;8.3;2.596667;15.666667;null;
1977-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-08-31;null;null;null;null;null;null;null;32.6;null;null;null;null;null;null;null;null;null;
1977-09-30;18;66.9;null;null;98.1;7.033708;12;282.8;1015.449438;23.403448;21.5325;18.708;85.387931;10;2.842697;13.666667;null;
1977-10-31;9;78.9;null;null;122;6.641304;14;177;1014.297826;24.345161;22.103226;19.587097;85.666667;10;2.402174;14.786885;null;
1977-11-30;0;92.9;null;null;108.3;7.255556;17;154;1010.835556;25.826667;22.884;20.233333;84.833333;7;2.522222;15.166667;null;
1977-12-31;9;134.2;null;null;154.3;6.580645;14;272.2;1011.697849;26.467742;23.747742;20.532258;81.072581;9;2.984946;15.887097;null;
1978-01-31;18;72.5;null;null;168;6.290323;11;356.2;1011.135484;27.870968;25.328387;22.116129;85.120968;9.5;2.547312;15;null;
1978-02-28;36;100.8;null;null;171.2;5.916667;14;297.7;1010.420238;28.9;25.799286;21.896429;80.75;8.3;2.797619;15.892857;null;
1978-03-31;14;100.7;null;null;169.1;5.946237;12;483;1011.977419;27.735484;25.235484;22.612903;86.233871;6.6;2.137634;16.539683;null;
1978-04-30;5;77;null;null;124.1;6;12;186.9;1013.667778;25.526667;22.263333;19.013333;83.458333;7.6;1.975556;15.75;null;
1978-05-31;36;110.2;null;null;135.1;5.25;11;140.2;1013.43587;24.545161;20.334839;16.3;81.175;6.1;2.15;16.557377;null;
1978-06-30;5;63;null;null;123.9;5.797753;7;55.8;1017.91573;22.323333;18.664138;15.662069;86.818966;5.5;1.701124;16.440678;null;
1978-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-08-31;27;97.9;null;null;null;6.078125;5;44.4;1017.98125;null;null;16.116129;null;9.1;2.617188;16.129032;null;
1978-09-30;5;107.3;null;null;154.2;5.613636;6;35.3;1016.827273;23.463158;21.054737;17.59;81.551724;8.3;2.789773;17.435484;null;
1978-10-31;9;82;null;null;146.9;6.11828;10;59.9;1012.011828;25.145161;21.996129;18.880645;83.879032;9.6;2.624731;17.419355;null;
1978-11-30;5;103;null;null;126;6.955556;16;193.7;1010.877778;26.64;23.196;19.6;83.383333;7.6;3.018889;16;null;
1978-12-31;9;92.9;null;null;149.3;6.709677;null;141;1010.291398;27.170968;23.937419;20.445161;83.604839;7.5;2.765591;15.412698;null;
1979-01-31;9;123.6;null;null;153.8;7.44086;13;198.6;1011.07957;null;null;19.787097;81.943548;8.3;2.691398;15.322581;null;
1979-02-28;14;91.7;null;null;117.5;6.940476;13;83.1;1009.529762;null;null;21.646429;84.303571;7;2.752381;15.27027;null;
1979-03-31;14;103;null;null;137.8;6.277778;15;278.7;1012.124731;26.575;23.588333;20.109677;84.458333;6.1;2.377465;15.806452;null;
1979-04-30;36;102;null;null;155;6.011111;14;166.2;1013.282222;26.026667;22.684667;18.833333;82.208333;7.6;2.706667;16;null;
1979-05-31;36;131.4;null;null;123.6;6.408602;18;103.7;1013.003226;25.206452;21.148387;17.696774;82.887097;8.5;2.716129;14.83871;null;
1979-06-30;36;70.7;null;null;104.1;6.355556;null;56.1;1019.673333;22.143333;18.346667;14.553333;86.325;9.5;2.146667;14.388889;null;
1979-07-31;18;98.2;null;null;114.2;5.989247;11;159.3;1018.865591;21.570968;17.678571;13.925806;83.548387;9.6;2.383871;15.16129;null;
1979-08-31;5;69.8;null;null;81.5;7.483871;11;57.8;1014.016129;23.612903;20.067097;16.419355;84.967742;11.1;2.47957;13.333333;null;
1979-09-30;9;107.2;null;null;91.4;6.822222;15;234.7;1014.93;23.063333;19.600741;16.05;83.141667;10;3.003333;14;null;
1979-10-31;9;79;null;null;103.9;6.806452;14;147;1012.223656;25.677419;22.676774;19.2;81.903226;9.3;3.090323;14.301075;null;
1979-11-30;9;88.6;null;null;137.1;6.333333;14;314.4;1010.675556;25.696667;22.539286;19.07;81.616667;11.3;3.742222;15.111111;null;
1979-12-31;36;107.1;null;null;98.3;8;17;256.1;1009.237634;27.5;24.609333;20.66129;81.693548;11.6;3.694624;13.225806;null;
1980-01-31;5;115;null;null;146.5;7.096774;19;275.7;1009.63871;27.822581;24.678065;20.419355;79.072581;11.6;3.398925;15.396825;null;
1980-02-29;9;95.6;null;null;132.5;6.781609;15;292.4;1008.26092;28.982759;25.567586;21.07931;86.189655;9.6;2.954023;15.948276;null;
1980-03-31;9;103.6;null;null;140.7;4.645161;5;260.2;1010.991398;30.125806;26.749677;22.016129;86.508065;9.1;2.534409;16.935484;null;
1980-04-30;9;83;null;null;126.6;5.277778;13;174.9;1013.125556;27.713333;23.726667;18.936667;87.708333;6.3;2.363333;16.666667;null;
1980-05-31;5;68.1;null;null;134;5.397849;5;35.4;1015.033333;26.409677;22.180645;17.377419;88.556452;5.8;2.009677;16.507937;null;
1980-06-30;36;96.4;null;null;125.1;5.288889;9;197.4;1017.266667;24.486667;19.553793;14.52;86.908333;10;2.424444;17;null;
1980-07-31;36;87;null;null;90.9;6.16129;13;99.5;1017.149462;24.06129;19.241935;14;83.701613;8;2.610753;15.16129;null;
1980-08-31;18;84.7;null;null;94.7;6.978495;13;74.7;1017.302151;23.612903;19.497419;14.770968;83.064516;8;2.703226;14.032258;null;
1980-09-30;36;85.6;null;null;59;7.955556;null;125.5;1015.903333;22.093333;18.688;13.946667;78.758333;8.5;3.05;13.833333;null;
1980-10-31;9;67.9;null;null;78.8;7.322581;16;252.3;1014.311828;24.477419;20.820645;16.174194;85.322581;13.3;3.417204;14.603175;null;
1980-11-30;9;102.6;null;null;85.8;7.488889;16;121.9;1011.55;25.81;22.563333;17.593333;79.383333;8.1;3.405556;14.666667;null;
1980-12-31;9;109.9;null;null;146.8;7.150538;21;249.9;1006.407527;29.303226;25.28129;20.074194;86.951613;6.8;2.769892;16.451613;null;
1981-01-31;9;109.5;null;null;104.8;8.11828;18;261.5;1009.890323;28.606452;25.249032;20.322581;84.032258;7.5;2.955914;13.28125;null;
1981-02-28;9;95.4;null;null;192.5;4.309524;null;123.6;1011.691667;29.714286;26.005;20.6;88.017857;8.6;2.788095;18.75;null;
1981-03-31;9;107.3;null;null;138.9;6.358696;13;216.8;1009.408696;28.18;24.577333;19.256667;84.6;8.6;3.046237;16.774194;null;
1981-04-30;9;101.5;null;null;132.3;6.191011;16;151.2;1013.535955;26.289655;22.458621;16.975862;79.62069;9.1;2.836667;15.333333;null;
1981-05-31;36;89.2;null;null;168.8;4.548387;6;24.2;1015.63871;26.180645;21.85871;16.609677;82.822581;6.6;2.403226;17.065217;null;
1981-06-30;32;110.8;null;null;146.5;5.16092;null;125.8;1015.96092;24.32;19.239333;13.623333;78.62037;7.5;2.45;16.206897;null;
1981-07-31;36;127.6;null;null;null;4.430769;12;158.4;1018.386154;null;null;null;null;8;2.747692;16.451613;null;
1981-08-31;0;82.8;null;null;null;5.354839;null;124.8;1015.743548;null;null;null;null;8.8;2.917742;14.83871;null;
1981-09-30;36;95.9;null;null;null;5.932203;13;59.9;1014.369492;null;null;null;null;12.6;3.02;14.40678;null;
1981-10-31;9;80.6;null;null;null;8.387097;19;175.3;1012.508065;null;null;null;null;6.6;3.241935;12.419355;null;
1981-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-12-31;9;135.2;null;null;null;7.677419;18;248.8;1009.651613;null;null;null;null;7.5;3.366129;13.387097;null;
1982-01-31;9;112.1;null;null;87.3;7.301075;16;267.2;1010.886022;26.370968;23.852258;20.670968;78.556452;7.3;2.849462;13.870968;null;
1982-02-28;9;90.6;null;null;120.7;6.166667;9;176.9;1011.082143;28.617857;25.507143;22.210714;81.955357;8.5;2.467857;15.357143;null;
1982-03-31;9;94.4;null;null;72.7;8.397849;21;296;1009.562366;26.774194;24.410968;21.583871;83;8.3;2.955914;12.919355;null;
