Nome: SANTA CRUZ
Codigo Estacao: 83789
Latitude: -22.92194443
Longitude: -43.68694444
Altitude: 63
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2019-12-18
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;23;76.5;null;null;null;6.129032;11;109.5;null;30.658065;null;22.087097;null;14;7.516129;null;null;
1970-02-28;32;84.2;null;null;null;6.571429;9;45.1;null;32.675;null;23.435714;null;14;9.25;null;null;
1970-03-31;36;87.5;null;null;null;5.677419;5;76.5;null;32.109677;null;22.470968;null;14;6.548387;null;null;
1970-04-30;23;62.6;null;null;null;5.45;11;95.7;null;28.95;null;20.196667;null;14;5.366667;null;null;
1970-05-31;36;70.1;null;null;null;5.435484;6;40.5;null;29.232258;null;19.654839;null;14;5.935484;null;null;
1970-06-30;36;81.6;null;null;null;4.733333;6;60.8;null;27.6;null;18.836667;null;14;5.169492;null;null;
1970-07-31;36;73.6;null;null;null;4.903226;9;47.7;null;25.593548;null;16.912903;null;12;4.145161;null;null;
1970-08-31;36;90.8;null;null;null;4.112903;8;81;null;26.219355;null;16.932258;null;12;5.193548;null;null;
1970-09-30;23;53.7;null;null;null;7.183333;7;55.2;null;24.816667;null;18.033333;null;9;4.288136;null;null;
1970-10-31;23;51.6;null;null;null;7.532258;14;116.4;null;25.780645;null;18.841935;null;12;5;null;null;
1970-11-30;18;65.9;null;null;null;7.402299;13;127.2;null;26.446667;21.832143;18.746667;81.633929;14;3.697674;null;null;
1970-12-31;36;106.3;null;null;null;5.301075;10;68.1;null;32.916129;26.827742;22.712903;74.435484;14;4.21978;null;null;
1971-01-31;36;124.2;null;null;null;4.709677;10;169.3;null;34.625806;27.957419;23.309677;68.435484;14;4.597701;null;null;
1971-02-28;18;117.8;null;null;null;4.119048;6;176.3;null;34.85;28.249286;23.696429;69.991071;14;5.146341;null;null;
1971-03-31;36;86.1;null;null;null;5.537634;10;113.7;null;32.032258;26.674839;23.029032;78.612903;10;3.880435;null;null;
1971-04-30;0;59.4;null;null;null;6.244444;12;199.8;null;28.533333;24.091333;20.716667;80.441667;10;3.674419;null;null;
1971-05-31;36;68.4;null;null;null;4.623656;9;91.5;null;26.709677;22.169032;18.883871;78.774194;10;4.076087;null;null;
1971-06-30;0;61.5;null;null;null;5.022222;11;64.7;null;24.826667;20.350667;17.306667;80.058333;14;3.303371;null;null;
1971-07-31;0;79.7;null;null;null;3.946237;6;24.6;null;26.122581;20.847742;17.329032;76.717742;14;3.626374;null;null;
1971-08-31;0;74.3;null;null;null;4.784946;10;61.1;null;26.290323;21.137419;17.687097;77.766129;12;4.111111;null;null;
1971-09-30;0;65.7;null;null;null;5.2;11;83.5;null;26.606667;21.13;17.476667;79.775;10;3.494253;null;null;
1971-10-31;0;65.9;null;null;null;6.408602;14;179.9;null;26.703226;21.620645;18.367742;81.193548;10;3.989247;null;null;
1971-11-30;18;60.3;null;null;null;7.333333;14;91.6;null;26.433333;22.116667;19.016667;81.583333;10;3.931818;null;null;
1971-12-31;18;69.6;null;null;null;6.365591;13;234.9;null;29.883871;24.616774;21.329032;80.790323;10;3.901099;null;null;
1972-01-31;0;105.8;null;null;null;4.935484;14;107.4;null;32.606452;26.299355;22.154839;74.887097;10;3.752688;null;null;
1972-02-29;0;85.7;null;null;null;5.574713;16;200.6;null;31.868966;26.158621;22.510345;77.051724;9;2.896552;null;null;
1972-03-31;0;72.5;null;null;null;4.688172;9;153.5;null;31.729032;26.067097;22.154839;79.58871;8;1.634409;null;null;
