Nome: BANGU
Codigo Estacao: 83790
Latitude: -22.87
Longitude: -43.45
Altitude: 40
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2004-03-27
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;111.5;null;null;null;5.935484;13;124.6;null;32.122581;null;22.374194;null;null;null;67.822581;null;
1970-02-28;null;103;null;null;null;7.267857;11;55.5;null;32.95;null;23.385714;null;null;null;62.821429;null;
1970-03-31;null;112.8;null;null;null;5.33871;7;59.5;null;32.541935;null;22.632258;null;null;null;65.096774;null;
1970-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-05-31;null;95.1;null;null;null;5.048387;6;19.2;null;30.545161;null;18.825806;null;null;null;58.596774;null;
1970-06-30;null;86.2;null;null;null;4.883333;8;29.8;null;29.086667;null;17.973333;null;null;null;59.35;null;
1970-07-31;null;null;null;null;null;null;1;6.7;null;null;null;null;null;null;null;null;null;
1970-08-31;null;98.2;null;null;null;4.790323;9;87;null;26.83871;null;16.63871;null;null;null;64.096774;null;
1970-09-30;null;63.3;null;null;null;7.383333;13;35.9;null;26.196667;null;18.026667;null;null;null;44.883333;null;
1970-10-31;null;69.1;null;null;null;7.919355;13;97.9;null;26.83871;null;19.032258;null;null;null;46.596774;null;
1970-11-30;null;75.3;null;null;null;7.413793;15;119.4;null;27.59;22.382143;18.973333;79.205357;null;null;47.05;null;
1970-12-31;null;130.6;null;null;null;5.354839;13;108;null;34;27.378065;22.616129;68.467742;null;null;67.403226;null;
1971-01-31;null;135.1;null;null;null;4.354839;9;190.3;null;34.951613;28.384516;23.293548;66.306452;null;null;68.032258;null;
1971-02-28;null;141.1;null;null;null;4.309524;6;206.9;null;35.475;28.591429;23.775;65.455357;null;null;52.589286;null;
1971-03-31;null;89.9;null;null;null;5.580645;12;160;null;32.816129;26.922581;22.948387;76.185484;null;null;54.048387;null;
1971-04-30;null;72.2;null;null;null;6.533333;16;123.7;null;29.316667;24.392667;20.77;79.275;null;null;54.016667;null;
1971-05-31;null;71.2;null;null;null;5.225806;10;57.3;null;27.809677;22.36129;18.406452;78.822581;null;null;49.354839;null;
1971-06-30;null;58.5;null;null;null;5.688889;12;68;null;25.743333;20.428;16.63;81.325;null;null;38.9;null;
1971-07-31;null;74.2;null;null;null;4.268817;2;19;null;27.083871;20.96129;16.609677;76.5;null;null;52.322581;null;
1971-08-31;null;78.8;null;null;null;5.365591;11;48.3;null;26.993548;21.465161;17.574194;76.120968;null;null;42.612903;null;
1971-09-30;null;78.6;null;null;null;6.177778;13;99.4;null;27.42;21.57;17.376667;76.075;null;null;36.35;null;
1971-10-31;null;80.4;null;null;null;7.526882;14;112.2;null;27.690323;22.240645;18.651613;76.379032;null;null;46.919355;null;
1971-11-30;null;72.6;null;null;null;7.588889;18;109.9;null;27.683333;22.918667;19.403333;77.108333;null;null;42.716667;null;
1971-12-31;null;86.6;null;null;null;6.989247;14;132.5;null;31.054839;25.44;21.570968;74.653226;null;null;51.580645;null;
1972-01-31;null;120.1;null;null;null;5.365591;16;119.4;null;34;27.129677;22.4;70.846774;null;null;67.467742;null;
1972-02-29;null;85.6;null;null;null;6.655172;17;175.7;null;32.272414;26.372414;22.572414;75.775862;null;null;59.206897;null;
1972-03-31;null;84;null;null;null;5.870968;11;222.6;null;32.774194;26.567742;22.554839;76.620968;null;null;61.33871;null;
1972-04-30;null;76.8;null;null;null;6.344444;15;154;null;28.426667;23.206667;19.313333;80.45;null;null;60.25;null;
1972-05-31;null;85.5;null;null;null;4.204301;4;32.6;null;28.822581;22.510968;18.129032;77.096774;null;null;63.655738;null;
1972-06-30;null;98;null;null;null;2.3;2;1.8;null;30.573333;22.586;17.19;71.425;null;null;68.683333;null;
1972-07-31;null;78.8;null;null;null;5.978495;9;37.9;null;26.648387;21.256774;17.458065;77.080645;null;null;53;null;
1972-08-31;null;85.4;null;null;null;6.236559;10;69.8;null;27.806452;21.784516;17.793548;76.709677;null;null;53.741935;null;
1972-09-30;null;101.1;null;null;null;6.966667;10;26;null;28.4;22.880667;18.906667;72;null;null;50.733333;null;
1972-10-31;null;82.4;null;null;null;6.784946;14;113.2;null;29.03871;23.438065;19.983871;76.427419;null;null;44.33871;null;
1972-11-30;null;78.8;null;null;null;7.755556;14;67.4;null;29.776667;24.77;21.476667;76.216667;null;null;46.75;null;
1972-12-31;null;101.7;null;null;null;7.516129;17;169.2;null;31.754839;26.02;22.203226;71.558333;null;null;56.483871;null;
1973-01-31;null;115.3;null;null;null;6.634409;18;199.8;null;34.7;28.278065;23.987097;71.604839;null;null;64.612903;null;
1973-02-28;null;105.5;null;null;null;4.857143;7;142.5;null;34.964286;28.542857;24.203571;68.723214;null;null;58.035714;null;
1973-03-31;null;91.8;null;null;null;7.236559;12;97.3;null;30.712903;25.95871;22.512903;75.532258;null;null;49.129032;null;
1973-04-30;null;79;null;null;null;5.677778;7;99.2;null;32.173333;26.78;23.253333;74.291667;null;null;39.166667;null;
1973-05-31;null;75.6;null;null;null;5.612903;14;112.9;null;27.822581;22.398065;18.429032;78.717742;null;null;50.419355;null;
1973-06-30;null;77.3;null;null;null;4.933333;4;3.3;null;29.04;22.608667;18.226667;73.941667;null;null;47.566667;null;
1973-07-31;null;82.6;null;null;null;5.602151;8;70.2;null;27.929032;22.111613;18.070968;74.33871;null;null;44.935484;null;
1973-08-31;null;75.1;null;null;null;6.623656;8;24.9;null;26.003226;21.095484;17.535484;78.096774;null;null;42.57377;null;
1973-09-30;null;85.1;null;null;null;5.922222;14;78.1;null;26.996667;21.637333;18.076667;76.75;null;null;43.35;null;
1973-10-31;null;101.5;null;null;null;7.182796;12;94.8;null;27.954839;22.824516;18.712903;73.491935;null;null;46.225806;null;
1973-11-30;null;95.5;null;null;null;7.122222;17;102.3;null;28.54;23.44;19.513333;72.9;null;null;47.966667;null;
1973-12-31;null;113.8;null;null;null;7.645161;17;169.4;null;32.129032;26.423226;22.683871;70.854839;null;null;33.935484;null;
1974-01-31;null;121.9;null;null;null;6.344086;16;151.4;null;33.732258;27.240667;23.376667;69.767241;null;null;50.080645;null;
1974-02-28;null;124.2;null;null;null;5.059524;4;13.4;null;34.975;27.823571;23.235714;66.857143;null;null;46.254545;null;
1974-03-31;null;120.1;null;null;null;6.451613;7;66.8;null;33.612903;27.412903;23.183871;70.322581;null;null;49;null;
1974-04-30;null;75.1;null;null;null;7.655556;15;84.2;null;29.026667;24.060667;20.74;78.266667;null;null;46.116667;null;
1974-05-31;null;90.4;null;null;null;5.032258;7;26.9;null;28.829032;23.087742;18.722581;73.685484;null;null;61.725806;null;
1974-06-30;null;78.9;null;null;null;6.633333;11;71.2;null;25.936667;20.872667;17.123333;76.791667;null;null;47.6;null;
1974-07-31;null;101;null;null;null;3.268817;1;.2;null;28.667742;21.483226;16.625806;71.483871;null;null;57.354839;null;
1974-08-31;null;109.5;null;null;null;4.824176;3;13;null;29.354839;21.938667;17.003333;68.016667;null;null;63.114754;null;
1974-09-30;null;104.1;null;null;null;5.055556;5;20.4;null;29.206667;23.119333;19.266667;71.966667;null;null;61.333333;null;
1974-10-31;null;87.8;null;null;null;6.860215;12;103.3;null;28.448387;23.213548;19.790323;75.072581;null;null;57.209677;null;
1974-11-30;null;115.6;null;null;null;5.922222;11;93.3;null;31.23;25.176;20.496667;67.525;null;null;62.65;null;
1974-12-31;null;79.3;null;null;null;7.741935;19;227.9;null;30.532258;25.187097;21.506452;75.233871;null;null;53.709677;null;
1975-01-31;null;97.7;null;null;null;7.322581;13;202.1;null;31.983871;26.301935;22.487097;73.927419;null;null;57.492063;null;
1975-02-28;null;87.3;null;null;null;5.904762;14;201.2;null;33.65;27.297857;23.078571;73.794643;null;null;63.535714;null;
1975-03-31;null;98.2;null;null;null;5.053763;7;38.6;null;32.832258;26.988387;22.816129;70.862903;null;null;66;null;
1975-04-30;null;71.1;null;null;null;4.533333;7;91.3;null;29.033333;23.068667;18.73;73.608333;null;null;58;null;
1975-05-31;null;64.9;null;null;null;5.849462;9;96.9;null;27.280645;21.579355;17.719355;77.991935;null;null;62.774194;null;
1975-06-30;null;56.7;null;null;null;5.611111;9;22.3;null;26.646667;20.894;16.836667;77.166667;null;null;54.216667;null;
1975-07-31;null;68.5;null;null;null;4.301075;3;30.6;null;26.287097;19.562581;14.670968;71.822581;null;null;58.177419;null;
1975-08-31;null;101;null;null;null;3.580645;1;.8;null;30.4;23.332258;18.416129;68.620968;null;null;60.306452;null;
1975-09-30;null;83.7;null;null;null;5.5;11;60.1;null;28.65;22.725333;18.726667;71.016667;null;null;50.266667;null;
1975-10-31;null;73.9;null;null;null;7.473118;10;79.4;null;28.151613;23.070968;19.86129;77.282258;null;null;50.064516;null;
1975-11-30;null;82.4;null;null;null;7.411111;18;240.8;null;30.22;24.518667;20.79;74.85;null;null;54.813559;null;
1975-12-31;null;88.8;null;null;null;5.677778;12;250.9;null;33.003226;26.984516;22.806452;71.943548;null;null;55.649123;null;
1976-01-31;null;68.2;null;null;null;4.537634;11;95.6;null;35.080645;28.114839;23.46129;67.645161;null;null;63.483871;null;
1976-02-29;null;76.6;null;null;null;7.264368;17;202.8;null;32.003448;26.288966;22.396552;74.543103;null;null;58.206897;null;
1976-03-31;null;82.1;null;null;null;5.376344;13;160.4;null;31.632258;26.131613;22.383871;74.387097;null;null;55.532258;null;
1976-04-30;null;79.4;null;null;null;4.977778;9;37.6;null;31.06;25.333333;21.003333;73.916667;null;null;62.6;null;
1976-05-31;null;56.2;null;null;null;6.569892;14;166;null;26.989655;22.087586;18.651613;79.620968;null;null;56.688525;null;
1976-06-30;null;68.7;null;null;null;4.712644;5;51.5;null;27.346667;21.190667;16.756667;74.8;null;null;57.966667;null;
1976-07-31;null;67.5;null;null;null;4.51087;8;63;null;26.06129;20.325161;15.93871;75.983871;null;null;59.483871;null;
1976-08-31;null;72.5;null;null;null;5.333333;9;124.3;null;26.970968;21.546;17.264516;76.183333;null;null;55.377049;null;
1976-09-30;null;null;null;null;null;7.2;14;89.7;null;26.273333;21.578;18.113333;79.816667;null;null;51.1;null;
1976-10-31;null;null;null;null;null;6.602151;12;119.8;null;27.912903;22.536774;18.741935;79.129032;null;null;56.129032;null;
1976-11-30;null;null;null;null;null;7.225806;13;105;null;29.966667;null;21.343333;null;null;null;59;null;
1976-12-31;null;null;null;null;null;7.684783;19;184.3;null;31.758065;25.952258;22.390323;77.209677;null;null;58.225806;null;
1977-01-31;null;null;null;null;null;5.741935;10;130.2;null;34.167742;27.573548;23.454839;71.580645;null;null;61.129032;null;
1977-02-28;null;null;null;null;null;1.666667;1;18.2;null;36.525;29.437857;23.939286;59.901786;null;null;63.357143;null;
1977-03-31;null;null;null;null;null;5.645161;11;141.4;null;34.383871;27.443226;23.583871;72.532258;null;null;57.16129;null;
1977-04-30;null;null;null;null;null;null;17;313.3;null;28.813333;null;21.406667;null;null;null;null;null;
1977-05-31;null;null;null;null;null;4.483871;6;61.9;null;28.6;null;18.43871;null;null;null;55.483871;null;
1977-06-30;null;null;null;null;null;4.910112;8;43.3;null;28;21.770667;18.51;80.858333;null;null;56.5;null;
1977-07-31;null;null;null;null;null;2.142857;2;59.6;null;30.651613;null;17.996774;null;null;null;59.277778;null;
1977-08-31;null;null;null;null;null;4.913043;8;37.8;null;29.080645;22.586452;18.506452;74.024194;null;null;55.645161;null;
1977-09-30;null;null;null;null;null;4.722222;9;103.1;null;29.083333;23.106667;19.056667;75.516667;null;null;56.9;null;
1977-10-31;null;null;null;null;null;5.268817;10;24.3;null;30.722581;24.877419;20.480645;72.387097;null;null;58.419355;null;
