Nome: ENGENHO DE DENTRO
Codigo Estacao: 83792
Latitude: -22.88
Longitude: -43.3
Altitude: 30
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1978-12-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;119.5;null;null;null;6.66129;14;107.1;null;32.416129;null;21.396774;null;null;null;null;null;
1970-02-28;null;109.1;null;null;null;7.107143;8;24.5;null;33.871429;null;22.614286;null;null;null;null;null;
1970-03-31;null;114.5;null;null;null;5.387097;6;89;null;33.129032;null;21.780645;null;null;null;null;null;
1970-04-30;null;71.5;null;null;null;4.716667;12;55.3;null;30.096667;null;19.343333;null;null;null;null;null;
1970-05-31;null;85.4;null;null;null;5;5;50.9;null;30.03871;null;18.3;null;null;null;null;null;
1970-06-30;null;91.8;null;null;null;4.05;7;45.1;null;28.75;null;17.47;null;null;null;null;null;
1970-07-31;null;null;null;null;null;null;3;21.6;null;null;null;null;null;null;null;null;null;
1970-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-11-30;null;null;null;null;null;7.6375;13;113.9;null;27.255556;22.535556;17.607407;83.342593;null;null;null;null;
1970-12-31;null;149.7;null;null;null;5.11828;12;92.6;null;33.536667;27.618;23.077419;77.83871;null;null;null;null;
1971-01-31;null;155.6;null;null;null;4.075269;8;103.6;null;35.06129;28.892903;23.477419;73.846774;null;null;null;null;
1971-02-28;null;null;null;null;null;3.325;3;29.4;null;36.055556;29.369231;23.555556;74.798077;null;null;null;null;
1971-03-31;null;100.4;null;null;null;6.204301;10;186.5;null;32.8;27.194194;21.829032;82.895161;null;null;null;null;
1971-04-30;null;81.2;null;null;null;7.3;15;197;null;29.28;24.520667;19.573333;84.475;null;null;null;null;
1971-05-31;null;84.9;null;null;null;5.451613;8;47.6;null;27.903226;22.527097;17.412903;83.33871;null;null;null;null;
1971-06-30;null;69.9;null;null;null;5.733333;10;57.3;null;25.863333;20.634667;15.64;85.775;null;null;null;null;
1971-07-31;null;84.7;null;null;null;4;1;17.2;null;27.129032;21.430968;16.13871;81.709677;null;null;null;null;
1971-08-31;null;80.7;null;null;null;5.107527;10;87.5;null;26.932258;21.566452;17.077419;83.790323;null;null;null;null;
1971-09-30;null;82.1;null;null;null;5.766667;12;76.3;null;27.336667;21.794667;16.746667;84.65;null;null;null;null;
1971-10-31;null;93.9;null;null;null;7.602151;14;144.9;null;27.303226;22.431613;18.770968;84.741935;null;null;null;null;
1971-11-30;null;79.5;null;null;null;7.455556;18;94.3;null;27.446667;22.936667;19.26;86.516667;null;null;null;null;
1971-12-31;null;103.3;null;null;null;6.608696;13;90.2;null;30.896774;25.762;21.667742;83.475;null;null;null;null;
1972-01-31;null;126.8;null;null;null;5.301075;14;119.8;null;33.522581;27.353548;22.583871;79.137097;null;null;null;null;
1972-02-29;null;82.7;null;null;null;6.551724;17;220.6;null;31.868966;26.617931;22.693103;83.146552;null;null;null;null;
1972-03-31;null;89.1;null;null;null;5.967742;13;119.4;null;31.906452;26.65871;22.767742;85.580645;null;null;null;null;
1972-04-30;null;72.9;null;null;null;6.044444;17;127.5;null;28.15;23.283333;19.423333;85.416667;null;null;null;null;
1972-05-31;null;77.1;null;null;null;4.172043;5;51.9;null;28.441935;22.616774;18.654839;84.032258;null;null;null;null;
1972-06-30;null;88.3;null;null;null;1.755556;3;2.2;null;29.953333;22.902;17.753333;80.241667;null;null;null;null;
1972-07-31;null;81.7;null;null;null;5.16129;10;37;null;26.506452;21.519355;17.63871;83.75;null;null;null;null;
1972-08-31;null;91.7;null;null;null;5.924731;10;76.5;null;27.719355;22.082581;17.509677;84.024194;null;null;null;null;
1972-09-30;null;102.4;null;null;null;6.611111;8;29.6;null;27.93;23.029333;18.83;80.433333;null;null;null;null;
1972-10-31;null;87.3;null;null;null;6.247312;15;90.9;null;28.522581;23.689032;19.845161;84.451613;null;null;null;null;
1972-11-30;null;89.2;null;null;null;8.188889;15;94.9;null;29.053333;24.688;21.103333;85.733333;null;null;null;null;
1972-12-31;null;108.4;null;null;null;7.817204;17;103.8;null;31.267742;26.297419;22.412903;83.112903;null;null;null;null;
1973-01-31;null;117.2;null;null;null;7.376344;15;263.3;null;34.435484;28.470323;24.164516;79.620968;null;null;null;null;
1973-02-28;null;105.7;null;null;null;4.333333;4;112.7;null;34.510714;28.82;24.185714;77.017857;null;null;null;null;
1973-03-31;null;77.2;null;null;null;7.580645;13;65;null;30.293548;26.098065;22.435484;77.895161;null;null;null;null;
1973-04-30;null;75.4;null;null;null;5.588889;7;28.8;null;32.11;27.052667;23.166667;79.1;null;null;null;null;
1973-05-31;null;72.1;null;null;null;5.150538;15;142.5;null;27.5;22.562581;18.403226;80.258065;null;null;null;null;
1973-06-30;null;86.3;null;null;null;4.4;4;4.7;null;28.466667;23.100667;18.706667;80.425;null;null;null;null;
1973-07-31;null;84.1;null;null;null;5.107527;9;68.8;null;27.32;22.451333;18.287097;75.048387;null;null;null;null;
1973-08-31;null;74;null;null;null;6.150538;11;34;null;25.451613;21.223871;17.46129;80.387097;null;null;null;null;
1973-09-30;null;81.6;null;null;null;6.144444;15;111.2;null;26.74;21.914667;17.99;78.691667;null;null;null;null;
1973-10-31;null;92.9;null;null;null;7.247312;13;75.2;null;27.516129;22.785806;18.490323;75.112903;null;null;null;null;
1973-11-30;null;91.9;null;null;null;7.288889;15;108.8;null;27.996667;23.368667;18.93;75.633333;null;null;null;null;
1973-12-31;null;111.4;null;null;null;7.591398;17;139.6;null;31.6;26.543871;22.483871;75.580645;null;null;null;null;
1974-01-31;null;124.1;null;null;null;6.4;12;95.8;null;33.263333;27.547333;23.18;74.133333;null;null;null;null;
1974-02-28;0;131.6;null;null;null;5.095238;4;2.5;null;34.196429;28.085714;23.657143;66.544643;9;1.566265;null;null;
1974-03-31;0;133.7;null;null;null;5.967742;8;43.9;null;32.603226;27.414839;23.722581;68.959677;12;1.688172;null;null;
1974-04-30;0;85.4;null;null;null;6.966667;17;131.2;null;28.15;24.026;20.946667;77.108333;10;1.444444;null;null;
1974-05-31;0;null;null;null;null;5.021505;7;87.7;null;28.067742;23.134839;19.229032;71.975806;8;.946237;null;null;
1974-06-30;0;87.8;null;null;null;6.666667;14;74.7;null;25.203333;20.919333;17.573333;73.525;10;1.375;null;null;
1974-07-31;0;99.9;null;null;null;3.88172;1;1.8;null;27.651613;21.785161;17.335484;70.314516;12;1.173913;null;null;
1974-08-31;0;119.8;null;null;null;4.83871;5;20.3;null;28.532258;22.476129;17.867742;65.887097;12;1.51087;null;null;
1974-09-30;0;118.2;null;null;null;5.266667;9;25.8;null;28.406667;23.231333;19.653333;72.083333;10;2.671642;null;null;
1974-10-31;null;83.9;null;null;null;7.580645;14;131.7;null;27.467742;23.276774;20.048387;73.830645;null;null;null;null;
1974-11-30;null;140.2;null;null;null;5.966667;11;79.8;null;30.356667;25.205333;20.673333;65.833333;null;null;null;null;
1974-12-31;null;101.9;null;null;null;8.215054;19;282.3;null;29.92;25.244138;21.43;74.112903;null;null;null;null;
1975-01-31;null;102.6;null;null;null;8.139785;18;236.6;null;31.016129;26.199355;22.387097;73.379032;null;null;null;null;
1975-02-28;null;104.7;null;null;null;6.452381;15;176.7;null;32.667857;27.236429;23.357143;72.428571;null;null;null;null;
1975-03-31;null;115.1;null;null;null;5.817204;9;55.2;null;31.93871;27.063226;23.232258;69.975806;null;null;null;null;
1975-04-30;null;85.1;null;null;null;5.2;6;113.6;null;28.403333;23.274667;19.373333;73.458333;null;null;null;null;
1975-05-31;null;73.3;null;null;null;6.290323;11;111.2;null;26.354839;21.749032;18.112903;77.032258;null;null;null;null;
1975-06-30;null;75.2;null;null;null;5.988889;9;13.9;null;25.93;21.204667;17.443333;75.908333;null;null;null;null;
1975-07-31;null;88.5;null;null;null;4.494624;6;20.8;null;25.606452;19.965161;15.46129;70.612903;null;null;null;null;
1975-08-31;null;123.8;null;null;null;4.311828;3;2.9;null;29.719355;23.695484;19.219355;68.193548;null;null;null;null;
1975-09-30;null;null;null;null;null;6.455556;11;51.7;null;28.19;23.176667;19.156667;69.158333;null;null;null;null;
1975-10-31;null;96.5;null;null;null;8.365591;11;84.7;null;27.545161;23.252903;20.135484;76.508065;null;null;null;null;
1975-11-30;null;110.4;null;null;null;7.844444;17;189.9;null;29.68;24.691333;20.963333;73;null;null;null;null;
1975-12-31;null;137.7;null;null;null;6.139785;9;174.2;null;32.274194;27.170968;23.077419;69.959677;null;null;null;null;
1976-01-31;null;147;null;null;null;5.408602;10;71.2;null;34.23871;28.190968;23.674194;66.306452;null;null;null;null;
1976-02-29;null;94.7;null;null;null;7.586207;15;124.9;null;31.625;26.582963;22.87931;72.453704;null;null;null;null;
1976-03-31;0;104.1;null;null;null;5.709677;15;131.2;null;31.2;26.230968;22.545161;72.508065;9;1.11828;null;null;
1976-04-30;0;101.8;null;null;null;5.910112;7;63.8;null;30.093333;25.234667;21.366667;73.45;10;1.795455;null;null;
1976-05-31;0;73.1;null;null;null;6.88172;16;210.8;null;26.609677;22.263226;18.948387;78.846774;12;1.688172;null;null;
1976-06-30;0;91.4;null;null;null;5.122222;6;59.7;null;27.13;21.496;17.41;73.358333;10;1.588889;null;null;
1976-07-31;0;88.6;null;null;null;5.064516;1;6.2;null;25.890323;null;16.609677;null;5;.8125;null;null;
1976-08-31;0;90.8;null;null;null;6.322581;null;null;null;26.545161;null;17.977419;null;3;.551724;null;null;
1976-09-30;0;87.9;null;null;null;8.133333;null;null;null;25.643333;null;18.626667;null;10;1.266667;null;null;
1976-10-31;0;107.7;null;null;null;8;null;null;null;27.393548;null;19.335484;null;4;1.451613;null;null;
1976-11-30;0;108.8;null;null;null;8.433333;null;null;null;29.446667;null;21.543333;null;7;1.49;null;null;
1976-12-31;0;114.7;null;null;null;7.935484;null;null;null;31.054839;null;22.809677;null;6.6;1.825806;null;null;
1977-01-31;0;136.6;null;null;null;6.83871;null;null;null;33.706452;null;23.916129;null;5;1.580645;null;null;
1977-02-28;5;170.3;null;null;null;1.321429;null;null;null;36.396429;null;24.7;null;5;1.75;null;null;
1977-03-31;0;131.4;null;null;null;6.258065;null;null;null;33.654839;null;24.141935;null;5;1.193548;null;null;
1977-04-30;0;74.6;null;null;null;6.8;null;null;null;28.526667;null;21.703333;null;6;1.3;null;null;
1977-05-31;0;null;null;null;null;4.677419;null;null;null;27.493548;null;18.716129;null;4;.612903;null;null;
1977-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

