Nome: REALENGO
Codigo Estacao: 83801
Latitude: -22.8711111
Longitude: -43.44138888
Altitude: 42
Situacao: Operante
Data Inicial: 1971-02-28
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;0;54.2;null;null;149.1;6.561798;14;111.6;1009.837079;28.996667;23.846667;19.313333;78.65;5;.370787;48.666667;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;0;45.4;null;null;149.8;5.58427;10;60.5;1013.389888;25.82;19.894667;15.71;80.425;5;.370787;44.216667;null;
1971-07-31;0;58.9;null;null;191.5;4.376344;3;20.3;1014.586022;26.980645;20.369677;15.729032;75.725806;7;.462366;48.209677;null;
1971-08-31;0;75.2;null;null;171.1;4.956989;11;34.2;1015.450538;26.796774;20.961935;16.648387;75.612903;5;.752688;51.209677;null;
1971-09-30;0;62;null;null;149.5;5.688889;13;100.5;1013.106667;27.266667;21.319333;16.806667;75.441667;5;.655556;45.333333;null;
1971-10-31;0;72.5;null;null;156.7;7.182796;13;113.4;1012.465591;27.412903;22.074839;18.377419;75.137097;5;.784946;47.096774;null;
1971-11-30;0;62;null;null;130.5;7.5;17;103.1;1009.225556;27.79;22.889333;19.22;76.358333;6;1;49.166667;null;
