Nome: SAO BENTO(DUQUE DE CAXIAS)
Codigo Estacao: 83802
Latitude: -22.73
Longitude: -43.3
Altitude: 6
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1982-11-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;67.5;null;null;186.4;5.365591;15;198.2;null;32;25.851613;21.487097;80.782258;5;.655914;null;null;
1970-02-28;0;51.4;null;null;146.4;5.952381;7;59.2;null;32.410714;26.554286;22.271429;79.544643;7;.785714;null;null;
1970-03-31;0;40.2;null;null;201;4.548387;6;91.3;null;32.525806;25.931613;21.33871;80.185484;7;.913978;null;null;
1970-04-30;0;45.3;null;null;171.5;4.666667;5;55.6;null;29.8;23.508;19.103333;83.075;5;.788889;null;null;
1970-05-31;0;47.4;null;null;186.8;3.365591;5;16.7;null;29.664516;22.190968;17.380645;83.25;5;.430108;null;null;
1970-06-30;null;45.3;null;null;149.9;4.288889;6;16.2;null;28.243333;20.944667;16.15;84.508333;null;null;null;null;
1970-07-31;null;41.7;null;null;156.1;4.924731;9;44.9;null;25.516129;19.045161;14.716129;85.379032;null;null;null;null;
1970-08-31;null;53;null;null;172.2;3.946237;7;94.7;null;26.393548;19.623226;14.864516;82.177419;null;null;null;null;
1970-09-30;null;41.1;null;null;94.7;7.622222;12;61.8;null;25.47;20.75;17.14;84.558333;null;null;null;null;
1970-10-31;null;46.4;null;null;110.6;7.677419;16;104;null;26.377419;21.808387;18.36129;83.935484;null;null;null;null;
1970-11-30;null;49.6;null;null;118.5;7.211111;16;128.5;null;27.316667;22.212667;18.4;83.058333;null;null;null;null;
1970-12-31;null;67.6;null;null;244.6;5.430108;10;150.6;null;33.329032;26.650968;21.587097;76.75;null;null;null;null;
1971-01-31;null;75.8;null;null;231.3;4.387097;12;204.8;null;34.319355;26.99871;21.667742;76.41129;null;null;null;null;
1971-02-28;null;87.7;null;null;206.5;3.662651;6;76.1;null;34.764286;27.391429;22.221429;73.857143;null;null;null;null;
1971-03-31;null;41.8;null;null;201.1;5.408602;14;167.7;null;32.383871;26.163871;21.983871;84.16129;null;null;null;null;
1971-04-30;null;38.4;null;null;148.8;6.111111;11;135.4;null;29.04;23.554667;19.793333;86.3;null;null;null;null;
1971-05-31;null;35.4;null;null;165;4.698925;10;57.6;null;27.309677;21.146452;17.293548;85.983871;null;null;null;null;
1971-06-30;null;29.5;null;null;116.3;5.455556;11;74.8;null;25.176667;19.220667;15.283333;88.266667;null;null;null;null;
1971-07-31;null;39.8;null;null;154.8;4.537634;5;17.6;null;26.193548;19.410968;15.022581;85.532258;null;null;null;null;
1971-08-31;null;48.5;null;null;153.1;4.741935;10;84.6;null;26.387097;20.090968;15.951613;85.612903;null;null;null;null;
1971-09-30;null;48.4;null;null;139.8;5.855556;12;77;null;26.776667;20.725333;16.383333;83.691667;null;null;null;null;
1971-10-31;null;53.9;null;null;152.6;6.956989;15;127.1;null;26.825806;21.604516;17.719355;82.217742;null;null;null;null;
1971-11-30;null;50.5;null;null;111.3;7.344444;18;120.9;null;27.403333;22.490667;18.66;83.483333;null;null;null;null;
1971-12-31;null;65.4;null;null;152.2;6.655914;15;249.7;null;30.876667;25.130667;20.967742;82.903226;null;null;null;null;
1972-01-31;null;77.6;null;null;207.7;5.16129;11;182.9;null;33.532258;26.335484;21.367742;77.983871;null;null;null;null;
1972-02-29;null;55.1;null;null;160.2;5.83908;17;161.2;null;31.82069;25.862069;21.893103;83.318966;null;null;null;null;
1972-03-31;null;47.1;null;null;173.5;5.129032;14;197.1;null;32.019355;25.87871;21.896774;85.862903;null;null;null;null;
1972-04-30;null;41.7;null;null;142.2;5.711111;16;94.9;null;28.183333;22.39;18.553333;85.8;5;null;null;null;
1972-05-31;0;43;null;null;182.4;3.408602;5;36.6;null;27.964516;21.280645;16.932258;85.451613;5;.602151;null;null;
1972-06-30;0;46.4;null;null;169.9;1.311111;3;5.6;null;29.24;20.646667;15.11;83.441667;3;.5;null;null;
1972-07-31;0;43.9;null;null;139.1;5.075269;6;46.5;null;25.725806;19.814194;15.948387;85.5;7;.709677;null;null;
1972-08-31;0;50.6;null;null;147.6;5.376344;11;80.6;null;27.509677;20.804516;16.448387;84.459677;9;1.16129;null;null;
1972-09-30;14;57.6;null;null;120.7;6.344444;10;60.6;null;27.683333;21.983333;17.806667;80.191667;9;1.755556;null;null;
1972-10-31;0;49.7;null;null;131.5;6.666667;15;135.5;null;28.587097;23.058065;19.341935;84.080645;7;1.623656;null;null;
1972-11-30;0;48.6;null;null;104.3;7.8;15;78.3;null;29.303333;24.404667;20.88;84.591667;7;1.422222;null;null;
1972-12-31;0;59.9;null;null;168.5;7.430108;20;155.3;null;31.264516;25.474194;21.377419;82.879032;7;1.354839;null;null;
1973-01-31;0;62.4;null;null;191.9;6.096774;16;386.1;null;34.480645;27.387742;22.812903;82.532258;5;.580645;null;null;
1973-02-28;0;54.1;null;null;220.7;3.630952;9;145.6;null;34.607143;27.562143;23.014286;82.321429;7;1.119048;null;null;
1973-03-31;0;50.3;null;null;128.6;6.860215;15;156.2;null;30.5;25.244516;21.725806;86.064516;9;1.032258;null;null;
1973-04-30;0;42.5;null;null;154.6;5.333333;6;101;null;31.59;25.772667;22.263333;87.241667;7;.844444;null;null;
1973-05-31;0;35.8;null;null;143.6;4.817204;13;70.3;null;27.274194;21.312258;17.46129;88.379032;3;.849462;null;null;
1973-06-30;0;38.5;null;null;136.7;4.133333;3;8.9;null;28.036667;21.436;17.063333;87.733333;5;1.155556;null;null;
1973-07-31;0;44.2;null;null;144.6;4.655914;9;29.2;null;27.167742;20.75871;16.670968;84.927419;7;1.064516;null;null;
1973-08-31;0;40.5;null;null;110;6.860215;8;55.1;null;25.619355;20.173548;16.422581;86.258065;7;.741935;null;null;
1973-09-30;0;null;null;null;123.6;5.655556;14;85.2;null;26.546667;21.108667;17.32;84.5;7;1.044444;null;null;
