Nome: CARMO
Codigo Estacao: 83807
Latitude: -21.93583333
Longitude: -42.60611111
Altitude: 342.19
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-02-28;0;72.5;null;null;null;6.60241;5;52.4;976.006024;33.042857;25.905714;20.735714;70.017857;2;.626506;56.25;null;
1970-03-31;0;88.1;null;null;null;5.397849;8;141.4;976.521505;32.935484;25.372903;20.219355;72.935484;2;.526882;56.612903;null;
1970-04-30;0;83;null;null;null;5.788889;5;114;976.923333;30.386667;22.852;17.306667;72.533333;2;.488889;55;null;
1970-05-31;0;78.6;null;null;null;3.591398;2;6.2;978.062366;30.090323;21.465161;15.525806;72.306452;1;.365591;55.483871;null;
1970-06-30;0;73;null;null;null;4.655556;5;25.4;979.476667;28.496667;20.186667;14.116667;71.441667;2;.393333;54.5;null;
1970-07-31;0;69.8;null;null;null;5.236559;4;22.8;981.835484;26.151613;18.534839;12.651613;73.459677;3;.505376;56.290323;null;
1970-08-31;0;78.9;null;null;null;5.086022;5;66;981.251613;26.622581;19.166452;13.13871;71.5;3;.667742;55;null;
1970-09-30;0;61.2;null;null;null;7.544444;9;89.8;978.788889;26.416667;20.335333;15.393333;76.508333;2;.522222;49.416667;null;
1970-10-31;0;67.8;null;null;null;8;8;157.2;974.812903;27.977419;21.262581;16.032258;76.556452;2;.55914;55;null;
1970-11-30;0;66.6;null;null;null;7.866667;11;158.6;972.744444;28.716667;21.784667;16.226667;77.05;2;.391111;54.833333;null;
1970-12-31;0;110.4;null;null;null;5.344086;7;144.6;972.367742;35;26.607742;20.696774;66.935484;2;.537634;57.580645;null;
1971-01-31;0;118.4;null;null;null;3.698925;5;103;973.580645;35.622581;27.582581;20.83871;63.959677;2;.462366;58.064516;null;
1971-02-28;0;125.9;null;null;null;4.333333;7;82;973.790476;36.675;27.962143;20.728571;59.9375;2;.511905;58.928571;null;
1971-03-31;0;88;null;null;null;5.197802;10;149;974.070968;33.951613;26.537419;20.587097;70.258065;2.2;.496774;57.741935;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;0;73.5;null;null;null;4.505495;3;19.6;977.859783;29.558065;21.312;15.17;70.814516;2;.5;55.645161;null;
1971-06-30;0;54.1;null;null;null;5.921348;7;91;978.53;26.41;18.222;12.106667;75.083333;2;.355556;53.5;null;
1971-07-31;0;null;null;null;null;4.42029;1;2.2;978.698551;28.578261;19.25913;12.978261;67.652174;2;.318841;54.565217;null;
1971-08-31;0;95.7;null;null;null;5.731183;4;17.6;null;28.445161;19.681935;13.609677;68.83871;2;.462366;54.677419;null;
1971-09-30;0;77.7;null;null;null;6.711111;7;150.4;978.170787;28.133333;19.98;14.26;72.1;2;.511111;53.333333;null;
1971-10-31;0;77.6;null;null;null;8.526882;8;114.6;null;27.406452;20.581935;15.825806;76.346774;2;.537634;53.387097;null;
1971-11-30;0;58.4;null;null;null;8.455556;18;449.6;null;27.06;20.69;16.343333;80.891667;2;.466667;53.666667;null;
1971-12-31;0;72.4;null;null;null;7.311828;14;374.4;null;31.06129;23.759355;19.206452;74.895161;2;.356989;56.290323;null;
1972-01-31;0;107.8;null;null;null;5.795699;10;239.7;null;34.480645;25.991613;20.948387;68.814516;2;.615054;57.741935;null;
1972-02-29;0;82;null;null;null;7.149425;10;230.8;null;32.62069;25.205517;20.868966;73.75;2;.54023;57.413793;null;
1972-03-31;0;77.7;null;null;null;6.354839;11;173.6;null;32.648387;25.300645;20.712903;75.733871;3;.408602;56.451613;null;
1972-04-30;0;72.6;null;null;null;5.8;6;58.8;null;29;21.868667;16.75;77.375;2;.4;57.166667;null;
1972-05-31;0;71.2;null;null;null;4.569892;3;32.6;null;28.735484;20.325161;14.56129;74.524194;1;.387097;56.612903;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;9;179.8;null;null;null;null;null;2;null;null;null;
1972-12-31;0;74;null;null;null;7.645161;16;288;null;32.045161;24.718065;20.054839;74.669355;2;.572043;56.774194;null;
1973-01-31;0;90.2;null;null;null;6.483871;15;325.9;null;34.632258;26.483871;21.748387;71.217742;2;.591398;56.790323;null;
1973-02-28;0;81.4;null;null;null;5.214286;11;216;null;34.75;26.714286;21.75;72.946429;2;.633333;57.5;null;
1973-03-31;0;75.7;null;null;null;7.215054;13;121.8;null;31.667742;24.414194;20.041935;77.66129;2;.634409;55.967742;null;
1973-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-05-31;0;63.9;null;null;null;4.445652;4;42.2;null;28.548387;20.703226;15.206452;74.943548;2;.402174;57.580645;null;
1973-06-30;0;59.9;null;null;null;4.377778;2;26.6;null;29.093333;20.569333;14.62;74.85;2;.411111;56.833333;null;
1973-07-31;0;63.2;null;null;null;5.430108;3;6.8;null;28.319355;19.424516;13.893548;74.387097;2;.344086;56.290323;null;
1973-08-31;0;63.8;null;null;null;6.290323;3;31.4;null;27.896774;19.685806;14.019355;73.080645;1;.473118;54.193548;null;
