Nome: SAO JOSE DOS CAMPOS
Codigo Estacao: 83809
Latitude: -23.22
Longitude: -45.85
Altitude: 643
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1994-11-14
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;43.7;null;null;186.2;7.043011;13;288.1;938.648387;29.429032;21.588387;14.229032;79.766129;5;1.322581;null;null;
1970-02-28;0;36.5;null;null;120.6;7.988095;18;313.2;939.919048;28.610714;21.715;15.092857;83.428571;7;.809524;null;null;
1970-03-31;0;81.3;null;null;195.7;6.44086;5;89.5;940.794624;30.483871;22.253548;14.877419;76.266129;5;1.215054;null;null;
1970-04-30;0;68.3;null;null;192;5.444444;5;65.6;941.792222;27.863333;19.490667;11.35;76.675;5;.844444;null;null;
1970-05-31;0;60.1;null;null;180.6;5.72043;2;22.6;942.155914;27.016129;18.728387;10.796774;77.822581;5;.956989;null;null;
1970-06-30;14;66.7;null;null;165.9;5.744444;6;68.5;943.346667;25.653333;17.668;9.74;76.275;5;1.077778;null;null;
1970-07-31;0;55.8;null;null;174.3;5.677419;3;32.6;946.65914;23.083871;15.285161;7.367742;78.604839;9;1.27957;null;null;
1970-08-31;0;82.1;null;null;198.7;4.956989;6;102.2;944.278495;24.312903;16.087742;8.054839;73.056452;5;1.377419;null;null;
1970-09-30;0;63.8;null;null;156.3;7.033333;7;67.2;941.888889;25.273333;17.426;10.136667;77.441667;9;1.822222;null;null;
1970-10-31;0;77.8;null;null;161;7.548387;7;70.6;939.593548;26.574194;18.707097;11.73871;78.387097;12;1.892473;null;null;
1970-11-30;14;83.8;null;null;165.1;6.977778;7;125.9;938.115556;26.523333;18.848667;11.813333;75.958333;12;2.011111;null;null;
1970-12-31;0;96.9;null;null;196.4;7.086022;13;212;937.13871;31.4;22.650323;14.916129;76.443548;12;2.107527;null;null;
1971-01-31;0;103.3;null;null;237.2;5.193548;7;63.9;938.733333;32.158065;23.590323;15.022581;70.185484;12;1.225806;null;null;
1971-02-28;null;null;null;null;null;null;null;68.2;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;11;160.1;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;45.8;null;null;null;null;null;null;null;null;null;
1971-07-31;null;83.1;null;null;194.8;4.967391;null;28.8;949.422826;24.196667;15.659333;9.303226;76.66129;null;null;null;null;
1971-08-31;null;97.2;null;null;197.5;5.483871;null;16;949.160215;24.980645;17.225806;11.625806;75.685484;null;null;null;null;
1971-09-30;null;101;null;null;171.2;5.844444;null;69.4;947.834444;25.806667;18.131333;12.163333;75.591667;null;null;null;null;
1971-10-31;null;99.7;null;null;179.1;7.365591;null;172.6;946.605376;25.735484;18.81871;13.919355;76.862903;null;null;null;null;
1971-11-30;null;105.6;null;null;154.7;7.544444;null;132.2;943.81;26.313333;19.529333;14.83;77.775;null;null;null;null;
1971-12-31;0;89.3;null;null;138.6;8.064516;16;179.1;942.076344;28.570968;21.82;17.264516;79.564516;7;1.333333;null;null;
1972-01-31;0;102;null;null;185;6.849462;20;214.3;942.941935;29.322581;22.427097;17.467742;79.725806;7;1.387097;null;null;
1972-02-29;9;74;null;null;132.5;7.873563;19;192;942.534483;28.710345;22.267586;18.089655;81.241379;5;1.16092;null;null;
1972-03-31;0;81.9;null;null;209.8;6.795699;null;58.7;943.401075;30.106452;22.697419;17.596774;79.951613;5;1.032258;null;null;
1972-04-30;0;69.3;null;null;187.7;6.411111;null;88.9;946.174444;25.816667;18.647333;13.396667;78.508333;7;1.222222;null;null;
1972-05-31;14;81.9;null;null;203.3;5.172043;null;13.3;947.119355;26.348387;18.043226;11.951613;75.798387;5;1.053763;null;null;
1972-06-30;0;98.8;null;null;244.8;2.866667;null;5.1;948.256667;27.746667;17.167333;9.15;68.325;5;.966667;null;null;
1972-07-31;0;97.7;null;null;192.3;5.430108;null;47.2;948.545161;24.393548;16.396774;10.422581;73.806452;9;1.967742;null;null;
1972-08-31;9;119;null;null;203.3;5.806452;null;68.6;946.508602;26.229032;18.138065;12.406452;71.314516;12;2.021505;null;null;
1972-09-30;23;101.7;null;null;142.5;6.755556;null;93.4;947.883333;26.073333;18.982;13.796667;74.533333;7;1.888889;null;null;
1972-10-31;0;97.6;null;null;149.8;7.569892;null;109.1;944.941935;27.116129;20.387097;15.816129;76.201613;5;1.967742;null;null;
1972-11-30;0;77.6;null;null;133.8;7.588889;15;116.5;942.516667;28.04;21.442;17.203333;80.108333;9;1.655556;null;null;
1972-12-31;9;99.2;null;null;185.7;7.580645;null;146.6;942.841935;29.43871;22.442581;17.664516;77.193548;7;2.043011;null;null;
1973-01-31;14;87.5;null;null;175.6;7.311828;16;270.9;944.470968;31.187097;24.086452;19.383871;79.41129;5;1.193548;null;null;
1973-02-28;14;79;null;null;null;6.414634;null;119.3;944.358025;32.707143;24.277857;19.035714;76.741071;9;1.22619;null;null;
1973-03-31;0;71.7;null;null;null;7.11828;null;141.7;null;29.054839;21.908387;17.43871;80.959677;5;1.290323;null;null;
1973-04-30;9;62.1;null;null;null;6.688889;null;142.4;null;29.6;22.471333;18.096667;82.825;12;.988889;null;null;
1973-05-31;0;57.2;null;null;null;6.397849;null;57.6;null;24.867742;17.466452;12.458065;82.427419;9;1.172043;null;null;
1973-06-30;0;66.3;null;null;null;5.566667;null;19;null;26.196667;17.427333;11.636667;80.058333;12;1.244444;null;null;
1973-07-31;0;69.7;null;null;null;5.494624;null;61.4;null;25.229032;16.942581;11.112903;76.370968;9;1.537634;null;null;
1973-08-31;18;74.6;null;null;null;6.924731;null;6.7;null;24.483871;16.711613;11.848387;77.475806;7;1.72043;null;null;
1973-09-30;18;85.3;null;null;null;7.422222;null;61.4;null;25.22;18.171333;13.326667;75.958333;7;1.988889;null;null;
1973-10-31;14;103.9;null;null;null;7.208791;null;77.8;null;26.687097;19.416129;14.335484;73.806452;9;2.322581;null;null;
1973-11-30;36;99.2;null;null;null;7.188889;null;100.5;null;27.196667;19.866;14.713333;73.55;9;1.577778;null;null;
1973-12-31;0;91;null;null;null;7.946237;null;351.3;null;29.274194;22.367742;17.448387;79.758065;5;1.182796;null;null;
1974-01-31;0;74.3;null;null;null;7.602151;18;263.1;null;29.648387;22.828667;18.103333;80.354839;7;1.526882;null;null;
1974-02-28;0;88.4;null;null;null;6;null;61.3;null;31.957143;23.433571;17.839286;74.303571;5;1.47619;null;null;
1974-03-31;18;78;null;null;null;7.11828;null;176.8;null;29.574194;22.362581;17.867742;80.080645;12;1.612903;null;null;
1974-04-30;0;59.3;null;null;null;7.922222;null;61;null;26.473333;19.726667;15.236667;81.533333;5;1.177778;null;null;
1974-05-31;0;72;null;null;null;5.548387;null;16.1;null;25.790323;17.697333;12.496667;78.153226;7;1.204301;null;null;
1974-06-30;0;57.5;null;null;null;6.844444;null;120.3;null;22.473333;15.463333;10.536667;80.858333;7;1.611111;null;null;
1974-07-31;0;85.2;null;null;null;5.344086;null;0;null;25.451613;16.233548;9.667742;72.532258;7;1.086022;null;null;
1974-08-31;0;113;null;null;null;5.064516;null;1.5;null;26.596774;17.368387;10.764516;66.524194;9;1.827957;null;null;
1974-09-30;0;96.2;null;null;null;6.333333;null;37.7;null;26.85;18.507333;12.73;72.741667;5;1.911111;null;null;
1974-10-31;14;88.1;null;null;null;7.59375;null;null;null;null;null;13.93871;null;7;2.1875;null;null;
1974-11-30;5;125.3;null;null;null;6.266667;null;null;null;null;null;14.836667;null;5;2.666667;null;null;
1974-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-01-31;0;78.7;null;null;null;7.645161;null;null;null;28.754839;null;17.76129;null;7;1.806452;null;null;
1975-02-28;5;72.7;null;null;null;7.678571;null;null;null;30.760714;null;18.857143;null;3;1.035714;null;null;
1975-03-31;9;77.7;null;null;null;7.354839;null;null;null;30.135484;null;17.525806;null;7;2;null;null;
1975-04-30;0;62.7;null;null;null;8.6;null;null;null;26.41;null;13.47;null;7;1.633333;null;null;
1975-05-31;0;63.8;null;null;null;7.354839;null;null;null;24.422581;null;11.354839;null;5;1.064516;null;null;
1975-06-30;0;72.9;null;null;null;7.066667;null;null;null;24.72;null;9.75;null;7;1.1;null;null;
1975-07-31;36;81.7;null;null;null;6.967742;null;null;null;24.090323;null;8.129032;null;5;1.6;null;null;
1975-08-31;36;135.3;null;null;null;5.677419;null;null;null;29.526667;null;12.129032;null;5;1.16129;null;null;
1975-09-30;5;124.3;null;null;null;7.4;null;null;null;28.31;null;13.75;null;7;2.766667;null;null;
1975-10-31;0;96.5;null;null;null;7.966667;null;null;null;28.190323;null;15.583333;null;5;1.266667;null;null;
1975-11-30;18;84.9;null;null;null;8.033333;null;null;null;27.69;null;16.566667;null;7;1.8;null;null;
1975-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-01-31;5;84.6;null;null;null;6.83871;null;null;null;30.851613;null;18.716129;null;3;.967742;null;null;
1976-02-29;5;64.2;null;null;null;8.62069;null;null;null;27.8;null;17.713793;null;5;1.275862;null;null;
1976-03-31;9;69.2;null;null;null;7.9;null;null;null;28.76129;null;17.445161;null;5;1.580645;null;null;
1976-04-30;36;65.5;null;null;null;8.466667;null;null;null;27.303333;null;15.373333;null;3;1.1;null;null;
1976-05-31;0;53.6;null;null;null;8.866667;null;null;null;24.38;null;13.403226;null;5;1.290323;null;null;
1976-06-30;36;60.3;null;null;null;8.566667;null;null;null;23.966667;null;9.823333;null;5;.833333;null;null;
1976-07-31;0;70.4;null;null;null;6.666667;null;null;null;22.129032;null;9.512903;null;5;.903226;null;null;
1976-08-31;5;83.5;null;null;null;7.258065;null;null;null;24.932258;null;11.948387;null;14;2.580645;null;null;
1976-09-30;9;71.4;null;null;null;8.833333;null;null;null;24.22;null;13.24;null;5;1.5;null;null;
1976-10-31;23;89.7;null;null;null;7.225806;null;null;null;26.570968;null;14.009677;null;5;1.806452;null;null;
1976-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-12-31;5;88.8;null;null;null;8.129032;null;null;null;29.270968;null;17.874194;null;7;1.419355;null;null;
1977-01-31;5;79.1;null;null;null;7.451613;null;null;null;30.745161;null;18.335484;null;5;1.548387;null;null;
1977-02-28;0;119.2;null;null;null;4.785714;null;null;null;33.492857;null;18.232143;null;3;1.071429;null;null;
1977-03-31;0;87.3;null;null;null;8.032258;null;null;null;31.245161;null;18.303226;null;1;.419355;null;null;
1977-04-30;23;69.3;null;null;null;7.833333;null;null;null;27.143333;null;15.726667;null;3;1;null;null;
1977-05-31;5;64.2;null;null;null;9.066667;null;null;null;25.76129;null;11.56129;null;3;.806452;null;null;
1977-06-30;14;54.5;null;null;null;8.8;null;null;null;24.876667;null;12.28;null;7;.966667;null;null;
1977-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1977-08-31;27;121.7;null;null;null;6.548387;null;null;null;28.390323;null;13.467742;null;7;1.709677;null;null;
1977-09-30;0;99.7;null;null;null;6.433333;null;null;null;27.883333;null;13.95;null;12;1.9;null;null;
1977-10-31;5;113.4;null;null;null;6.419355;null;null;null;29.125806;null;16.422581;null;5;1.516129;null;null;
1977-11-30;0;88.4;null;null;null;8.172414;null;null;null;29.19;null;17.67;null;5;.966667;null;null;
1977-12-31;5;76.6;null;null;null;7.645161;null;null;null;27.845161;null;16.474194;null;3;1.193548;null;null;
1978-01-31;0;100.6;null;null;null;6.387097;null;null;null;30.903226;null;18.719355;null;3;.677419;null;null;
1978-02-28;9;95.9;null;null;null;6.214286;null;null;null;31.035714;null;17.971429;null;5;1.214286;null;null;
1978-03-31;5;85.5;null;null;null;6.806452;null;null;null;30.2;null;17.945161;null;5;.935484;null;null;
1978-04-30;36;78.3;null;null;null;8.466667;null;null;null;27.443333;null;14.28;null;3;.833333;null;null;
1978-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1978-06-30;36;59.9;null;null;null;8.833333;null;null;null;23.28;null;9.856667;null;5;.833333;null;null;
1978-07-31;14;75;null;null;null;8.967742;null;null;null;25.53871;null;10.829032;null;5;.935484;null;null;
1978-08-31;9;92.8;null;null;null;7.806452;null;null;null;25.025806;null;10.287097;null;5;1.387097;null;null;
1978-09-30;9;101.4;null;null;null;7.2;null;null;null;26.803333;null;12.833333;null;14;3.7;null;null;
1978-10-31;14;126.1;null;null;null;5.967742;null;null;null;30.874194;null;14.590323;null;9;2.483871;null;null;
1978-11-30;0;86.8;null;null;null;7.310345;null;null;null;28.106667;null;16.486207;null;5;1.448276;null;null;
1978-12-31;5;94;null;null;null;6.785714;null;null;null;29.154839;null;16.713793;null;5;1.137931;null;null;
1979-01-31;0;84.6;null;null;null;7.5;null;130.7;null;27.567742;null;15.670968;null;5;.83871;null;null;
1979-02-28;0;71.6;null;null;null;7.535714;null;112.2;null;29.532143;null;18.303571;null;9;1.5;null;null;
1979-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1980-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1983-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1984-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1985-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1988-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1988-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1988-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1988-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
