Nome: S.BERNARDO DO CAMPO
Codigo Estacao: 83819
Latitude: -23.72
Longitude: -46.53
Altitude: 794
Situacao: Desativada
Data Inicial: 1970-12-31
Data Final: 1975-11-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;9;81.5;null;null;156.4;7.098765;null;58;924.323171;23.957143;17.9256;14.182759;83.804348;11.5;4.273171;51.818182;null;
1971-12-31;18;79.4;null;null;122.4;6.918919;null;52.8;923.588095;27.288462;21.144615;16.593333;84.730769;12.7;4.077108;35.925926;null;
1972-01-31;14;100.2;null;null;154.6;6.384615;null;22.8;924.339241;28.85;22.011429;17.143333;81.632353;12.5;4.064557;44.196429;null;
1972-02-29;9;84.4;null;null;null;8;null;148.6;924.909524;26.396296;21.076296;17.553571;83.046296;10.4;3.977108;39.473684;null;
1972-03-31;14;89.7;null;null;193.1;6.285714;null;55.8;925.137363;27.593548;21.910345;18.183871;83.284483;10.1;3.517582;31.803279;null;
1972-04-30;36;81.6;null;null;191.1;6.195402;null;66.7;927.230682;22.832143;17.487857;13.403448;82.633929;10.1;4.452326;43.465517;null;
1972-05-31;18;83.4;null;null;184.6;5.955556;null;21.5;928.084444;23.993548;17.849333;13.658065;80.4375;9.1;3.461628;33.847458;null;
1972-06-30;5;120.3;null;null;233.9;3.586207;null;3.2;928.502273;25.373333;17.935862;12.39;69.803571;7.2;2.941379;29.775862;null;
1972-07-31;14;85.3;null;null;156.7;6.532609;null;29.9;928.853261;21.529032;15.443871;11.429032;80.708333;12.5;3.683696;35.819672;null;
1972-08-31;9;117.3;null;null;166.1;6.795699;null;71.2;927.1;23.193548;16.925161;12.945161;77.354839;12.5;4.053488;35.080645;null;
1972-09-30;27;84.1;null;null;134;7.2;null;null;928.664444;22.666667;17.482;13.893333;82.133333;8.5;3.784416;28.466667;null;
1972-10-31;18;90.6;null;null;131.7;7.989247;null;7.4;926.224731;23.987097;18.587742;15.167742;85.322581;10.1;4.808;27.935484;null;
1972-11-30;14;74.1;null;null;111.6;8.222222;16;122.7;923.8;24.633333;19.67;16.56;86.675;10;4.28427;29.783333;null;
