Nome: CURITIBA
Codigo Estacao: 83842
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 923.5
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;90;null;null;203.5;7.053763;13;171.6;null;910.384946;26.090323;19.781935;14.664516;82.266129;5;1.806452;52.903226;
1970-02-28;0;66.9;null;null;156.3;8.464286;17;164.2;null;910.978571;26.757143;20.397857;16.335714;85.348214;6;1.833333;52.5;
1970-03-31;0;75.6;null;null;152.1;7.462366;17;206.5;null;913.351613;25.36129;19.50129;15.190323;84;4;1.408602;50.967742;
1970-04-30;0;71.1;null;null;191.4;6.033333;19;79.1;null;913.665556;24.016667;16.896667;11.613333;83.908333;4;1.522222;47.533333;
1970-05-31;0;63.5;null;null;186.2;7.086022;19;120.5;null;913.443011;22.519355;15.370323;10.832258;85.645161;4;1.451613;44.16129;
1970-06-30;0;60;null;null;172.6;7.255556;19;282.9;null;914.186667;20.23;13.272667;7.85;87.558333;6;1.855556;41.616667;
1970-07-31;0;57.4;null;null;162.2;6.88172;13;54.4;null;917.608602;18.490323;11.964516;6.896774;85.41129;8;1.978495;45.322581;
1970-08-31;0;79.2;null;null;208.8;5.419355;10;37.6;null;915.222581;19.506452;11.781935;5.316129;84.08871;5;1.806452;43.306452;
1970-09-30;0;58.8;null;null;147.3;7.955056;14;134.7;null;913.469663;20.51;13.970345;9.016667;86.525862;4;1.674157;41.525424;
1970-10-31;9;73.8;null;null;167.7;8.204301;15;133.6;null;911.15914;22.341935;15.74;10.922581;85.717742;5;1.795699;41.935484;
1970-11-30;5;115.2;null;null;218.6;7.344444;15;46.2;null;909.238889;23.53;16.07;10.33;79.191667;6;2.233333;47.333333;
1970-12-31;5;105.2;null;null;181.1;7.741935;22;281.7;null;908.434409;26.877419;19.879355;14.990323;83.943548;9;2.16129;40.322581;
1971-01-31;36;101.4;null;null;221.3;6.695652;14;236.9;null;909.906522;28.132258;20.858;15.145161;82.416667;6;1.891304;42.786885;
1971-02-28;36;82.5;null;null;179.4;7.97619;18;143.7;null;911.119048;28.153571;21.265714;16.775;83.910714;5;1.72619;50.535714;
1971-03-31;9;71.4;null;null;169;8.053763;21;108.4;null;911.005376;26.783871;20.156774;15.548387;86.83871;8;1.634409;50.645161;
1971-04-30;0;70.2;null;null;175.1;6.833333;16;121.3;null;912.132222;22.743333;15.322;9.903333;86.666667;5;1.477778;38.666667;
1971-05-31;0;61;null;null;148.2;7.516129;18;177.9;null;914.997849;20.393548;13.078065;7.683871;88.25;5;1.043011;40.806452;
1971-06-30;0;50.4;null;null;132.9;6.966667;21;93.4;null;913.756667;18.103333;11.240667;5.556667;88.75;8;1.333333;38.616667;
1971-07-31;0;73.6;null;null;202.7;5.043011;28;73.9;null;915.013978;20.448387;10.881935;4.090323;84.629032;4;.870968;32.322581;
1971-08-31;9;75;null;null;151.8;7.634409;null;25.6;null;915.875269;20.641935;13.441935;7.86129;85.282258;7;2.354839;42.709677;
1971-09-30;0;83.3;null;null;169.2;6.088889;16;71.2;null;913.635556;22.463333;14.678;8.173333;83.3;6;1.533333;41.916667;
1971-10-31;9;87.6;null;null;195.8;7.258065;null;69.5;null;913.510753;22.474194;15.256774;8.622581;82.798387;7;2.236559;48.709677;
1971-11-30;9;113.7;null;null;164.9;7.444444;16;63;null;911.358889;23.56;16.253333;10.25;80.233333;8;1.977778;42.083333;
1971-12-31;0;112.7;null;null;188.8;7.537634;17;132.8;null;909.470968;26.603226;18.772903;12.06129;80.532258;8;1.462366;46.290323;
1972-01-31;0;95.2;null;null;172.8;7.677419;18;364;null;910.033333;26.835484;19.92129;14.03871;84.620968;4;1.204301;44.435484;
1972-02-29;0;59.6;null;null;115.9;8.551724;20;272.8;null;910.774713;24.786207;19.08069;14.775862;88.655172;5;1.37931;43.62069;
1972-03-31;0;98.1;null;null;218;6.172043;15;177.1;null;911.033333;27.029032;19.427742;13.467742;84.895161;7;1.322581;50.322581;
1972-04-30;0;75.2;null;null;189.1;6.377778;17;87.4;null;913.345556;22.26;14.759333;8.62;84.725;8;1.488889;49.35;
1972-05-31;0;73.4;null;null;148.9;6.451613;15;15.8;null;913.984946;23.074194;14.625806;8.690323;84.951613;4;.935484;46.274194;
1972-06-30;0;104.8;null;null;195.5;4.644444;23;42;null;914.356667;23.306667;13.870667;7.776667;81.291667;6;1.133333;55.366667;
1972-07-31;0;80.3;null;null;160.8;5.612903;30;117.6;null;914.288172;19.287097;10.938065;5.435484;83.887097;7;1.129032;45.774194;
1972-08-31;0;92.1;null;null;125.8;8.172043;17;131.4;null;912.410753;20.032258;13.492258;8.929032;83.790323;10;1.774194;38.967742;
1972-09-30;0;69.4;null;null;112.7;7.755556;19;243.5;null;914.788889;20.186667;14.491333;9.98;85.041667;6;1.8;41.333333;
1972-10-31;9;77.7;null;null;125.3;8.021505;19;156;null;912.508602;21.496774;15.937419;11.670968;85.830645;6;1.774194;43.096774;
1972-11-30;9;90.7;null;null;151.6;8.122222;16;102;null;910.528889;23.533333;17.961333;13.766667;83.9;6;1.855556;46.166667;
1972-12-31;9;113.4;null;null;207.8;7.483871;23;173.4;null;910.954839;25.377419;19.285161;14.458065;83.822581;6;2.010753;52.258065;
