Nome: PALMAS
Codigo Estacao: 83860
Latitude: -26.47999999
Longitude: -51.97999999
Altitude: 1090
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1976-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;96.3;null;null;226.8;5.537634;12;102.4;892.972043;26.296774;19.820645;14.732258;74.048387;3;1.010753;68.387097;null;
1970-02-28;0;88.8;null;null;178.9;5.678571;null;79.2;893.760714;25.346429;20.098261;14.695652;76.455357;5;1.047619;67.321429;null;
1970-03-31;0;80.4;null;null;157.3;6.473118;13;245;895.054839;24.635484;18.602;14.845;81.137097;5;1.053763;66.290323;null;
1970-04-30;0;82.3;null;null;209.6;4.322222;5;59.3;895.966667;23.34;16.603333;11.043333;81.158333;3;.591111;68.666667;null;
1970-05-31;0;56.1;null;null;181.6;5.634409;10;108.4;895.283871;21.103226;14.531613;9.63871;86.266129;3;.505376;64.83871;null;
1970-06-30;0;56.5;null;null;125.5;6.355556;10;292.1;896.026667;17.93;12.730667;8.3;87.166667;3;.722222;63.5;null;
1970-07-31;0;63.2;null;null;207.6;4.376344;7;138.2;898.852688;18.06129;11.75871;6.780645;81.814516;6;1.172043;66.129032;null;
1970-08-31;0;59.8;null;null;218.7;3.075269;6;82.4;896.549462;18.641935;12.05871;6.390323;79.080645;3;.741935;65.66129;null;
1970-09-30;0;68.8;null;null;159.7;5.455556;8;89.4;895.261111;20.406667;13.860667;8.6;80.483333;5;.755556;64.4;null;
1970-10-31;0;89.7;null;null;197.7;6.139785;11;280.1;892.897849;22.267742;16.038065;10.493548;82.16129;6;1.236559;64.032258;null;
1970-11-30;0;108.6;null;null;240.3;4.077778;7;44.7;891.603333;22.936667;15.948667;9.026667;78.075;6;1.233333;67.666667;null;
1970-12-31;0;106.7;null;null;173.7;6.010753;18;412.3;890.989247;24.951613;18.928387;13.509677;84.040323;6;1.16129;64.193548;null;
1971-01-31;0;91.1;null;null;139.2;6.795699;17;192.9;892.454839;25.432258;19.692258;14.803226;86.604839;6;1.129032;65.322581;null;
1971-02-28;0;86.1;null;null;149.4;6.666667;null;102.5;893.59881;25.814286;20.204286;15.492857;87.669643;5;1.083333;67.142857;null;
1971-03-31;0;72.2;null;null;153.1;6.516129;16;201.2;893.532258;24.693548;18.751613;13.819355;89.814516;3;1;67.258065;null;
1971-04-30;0;63.8;null;null;161.3;4.633333;11;244.9;894.225556;20.946667;14.018;7.536667;88.266667;6;.768889;64.5;null;
1971-05-31;0;62.8;null;null;167.8;4.731183;null;231.6;896.408602;18.954839;12.050968;7.419355;89.782258;6;.580645;63.225806;null;
1971-06-30;0;33.7;null;null;132.7;5.744444;null;213.2;894.921111;16.996667;11.118667;6.426667;88.566667;5;.766667;62.5;null;
1971-07-31;0;64.1;null;null;179.4;4.376344;null;117.2;896.204301;19.922581;12.096774;5.206452;87.16129;6;.752688;57.983871;null;
1971-08-31;0;70.3;null;null;null;6.602151;null;117;896.776344;20.435484;13.439355;7.819355;86.048387;6;1.27957;64.354839;null;
1971-09-30;0;75.5;null;null;170.3;4.977778;null;125.8;895.421111;22.433333;14.835333;8.993333;82.233333;3;.6;61.416667;null;
1971-10-31;0;88.2;null;null;196.7;5.774194;null;199;895.169892;22.270968;14.934839;9.109677;84.741935;5;.870968;66.774194;null;
1971-11-30;0;105.9;null;null;null;4.055556;null;55;892.901111;24.396667;16.750667;9.676667;78.908333;5;1.088889;65.833333;null;
1971-12-31;0;111.2;null;null;238.2;6.376344;null;144.6;891.850538;25.664516;18.754839;11.890323;82.16129;6;.752688;65;null;
1972-01-31;0;84.7;null;null;173.6;6.741935;16;122;892.048387;25.374194;19.383226;14.032258;81.862903;3;.483871;66.451613;null;
1972-02-29;0;74.2;null;null;124.1;6.264368;15;232.6;892.405747;25.07931;19.366207;14.234483;83.310345;5;1.045977;64.137931;null;
1972-03-31;0;88.9;null;null;187.1;5.322581;null;136.7;893.297849;25.177419;18.758065;12.470968;85.709677;5;.451613;66.451613;null;
1972-04-30;0;70;null;null;211.3;5.1;null;144.4;894.832222;21.893333;14.687333;8.473333;88.05;5;.633333;68;null;
1972-05-31;0;57.8;null;null;200.9;4.935484;null;32;895.656989;22.612903;14.942581;8.032258;90;3;.365591;67.419355;null;
