Nome: IRINEOPOLIS
Codigo Estacao: 83865
Latitude: -26.25
Longitude: -50.8
Altitude: 777
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1983-10-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;18;null;null;null;null;7.83871;15;142.1;926.824731;28.635484;20.620645;14.516129;78.056452;3;1.075269;5.564516;null;
1970-02-28;9;null;null;null;null;8.035714;16;159.2;927.778571;28.178571;20.707143;15.175;82.419643;3;1.059524;5.267857;null;
1970-03-31;9;null;null;null;null;8.193548;23;136;929.087097;26.245161;19.624516;14.387097;84.806452;3;.989247;5.080645;null;
1970-04-30;9;null;null;null;null;6.555556;24;45.3;929.985556;24.993333;16.699333;10.256667;83.141667;3;.945556;6.5;null;
1970-05-31;18;null;null;null;null;7.247312;27;122.6;929.86129;22.241935;14.787742;9.683871;86.604839;3;.946237;5.354839;null;
1970-06-30;18;null;null;null;null;7.555556;23;266.5;930.403333;19.286667;12.594;6.806667;88.225;3;.955556;4.216667;null;
1970-07-31;9;null;null;null;null;7.430108;22;107.5;934.075269;18.751613;11.66;6.496774;84.330645;3;1.075269;5.403226;null;
1970-08-31;9;null;null;null;null;6.709677;21;62;931.798925;20.164516;12.183226;7.054839;80.733871;3;1.215054;6.080645;null;
1970-09-30;18;null;null;null;null;7.377778;14;110.6;930.016667;21.173333;13.876667;7.666667;80.891667;3;1.022222;6.133333;null;
1970-10-31;9;null;null;null;null;8.27957;16;173.2;927.595699;23.83871;16.596774;10.758065;79.564516;3;1.193548;5.129032;null;
1970-11-30;9;null;null;null;null;6.077778;9;18.8;925.738889;25.803333;16.818;9.246667;69.066667;5;1.255556;6.95;null;
1970-12-31;18;null;null;null;null;8.032258;25;339.1;924.662366;27.996774;19.674839;12.864516;79.91129;5;1.193548;4.564516;null;
1971-01-31;18;null;null;null;null;8.419355;23;185.4;926.405376;28.048387;20.662581;13.967742;83.862903;3;.935484;4.225806;null;
1971-02-28;18;null;null;null;null;8.642857;19;188.8;927.62619;28.282143;20.75;14.157143;84.8125;1;.916667;4.196429;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;18;null;null;null;null;6.359551;17;178.8;928.644944;22.986667;14.694667;7.18;82.225;3;.911236;11.45;null;
1971-05-31;18;null;null;null;null;7.419355;27;201.9;931.341935;19.206452;11.950968;5.529032;87.58871;3;.860215;5.758065;null;
1971-06-30;18;null;null;null;null;7.177778;22;163.1;930.196667;17.416667;10.814667;5.38;86.8;3;1.033333;5.5;null;
1971-07-31;18;null;null;null;null;6.107527;20;165.3;931.226882;19.93871;11.029677;4.435484;83.572581;3;1.010753;6.629032;null;
1971-08-31;9;null;null;null;null;7.612903;20;61.7;932.237634;20.119355;13.606452;9.229032;82.217742;4;1.107527;4.33871;null;
1971-09-30;9;null;null;null;null;7.7;null;83.4;null;23.13;15.375333;9.69;80.383333;3;.855556;41.633333;null;
1971-10-31;9;null;null;null;null;7.139785;null;150.6;null;24.135484;16.803226;12.235484;74.983871;3;1.193548;50.064516;null;
1971-11-30;9;null;null;null;null;6.611111;null;39.6;null;26.506667;18.021333;12.606667;71.583333;3;1.177778;50.183333;null;
1971-12-31;18;null;null;null;null;7.741935;18;115;null;28.03871;20.192258;15.129032;78;3;1.086022;53.903226;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;9;null;null;null;null;8.244186;19;288.7;null;26.227586;20.086207;16.555172;84.551724;3;.976744;51.396552;null;
1972-03-31;18;null;null;null;null;7.16129;16;77.4;null;27.145161;19.566452;15.345161;83.048387;3;.924731;54.919355;null;
1972-04-30;18;null;null;null;null;6.055556;null;45;null;22.396667;14.729333;10.14;83.033333;3;.9;51.266667;null;
1972-05-31;18;null;null;null;null;7.086022;null;12.5;null;22.712903;14.55871;9.245161;86.096774;3;.870968;43.725806;null;
1972-06-30;18;null;null;null;null;7.555556;null;155.3;null;21.816667;14.238667;9.263333;87.183333;3;.933333;41.433333;null;
1972-07-31;9;null;null;null;null;7.107527;null;161.8;null;19.180645;11.620645;6.729032;84.91129;3;.946237;41.790323;null;
1972-08-31;18;null;null;null;null;7.752688;null;290.6;null;19.590323;13.001935;8.722581;83.959677;3;1.075269;43.387097;null;
1972-09-30;9;null;null;null;null;8.422222;17;293.9;null;20.496667;15.014667;11.366667;85.658333;3;1;45.116667;null;
1972-10-31;9;null;null;null;null;8.301075;null;164.3;null;23.164516;16.520645;12.174194;83.233871;3;1.107527;49.096774;null;
1972-11-30;9;null;null;null;null;7.988889;null;129.1;null;25.47;19.382667;15.296667;82.45;3;1.1;56.683333;null;
1972-12-31;18;null;null;null;null;6.430108;null;123.4;null;27.893548;20.133548;14.664516;73.459677;3;1.172043;57.419355;null;
1973-01-31;18;null;null;null;null;8.053763;23;163.1;null;24.791935;21.965161;18.257377;83.975806;3;1.021505;56.451613;null;
1973-02-28;9;null;null;null;null;7.630952;null;116.9;null;25.496429;22.752857;18.876786;82.428571;3;1.095238;52.053571;null;
1973-03-31;9;null;null;null;null;7.612903;null;114.9;null;23.018033;20.111613;16.696774;82.806452;3;.946237;54.758065;null;
