Nome: RIO NEGRO
Codigo Estacao: 83867
Latitude: -26.1
Longitude: -49.8
Altitude: 824
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1985-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;88.7;null;null;196.1;7.107527;8;81.2;919.013978;28.7;21.415484;16.251613;76.169355;9;1.88172;19.83871;null;
1970-02-28;0;60.9;null;null;null;7.253012;null;209.4;920.186747;27.489286;21.201429;16.667857;83.111111;9;2.036145;19.109091;null;
1970-03-31;0;62.8;null;null;140.8;7.236559;9;61.2;921.768817;26.66129;20.435484;16.429032;83.822581;9;2.247312;18.258065;null;
1970-04-30;0;55.5;null;null;150.7;5.533333;9;62.5;922.753333;24.68;17.802;13.036667;83.266667;9;1;14.916667;null;
1970-05-31;0;42.6;null;null;136.9;7.075269;7;113.9;922.431183;22.835484;16.283871;11.56129;84.975806;8;1.139785;16.741935;null;
1970-06-30;0;36.5;null;null;125.2;7.077778;12;181.9;923.315556;20.456667;14.160667;9.303333;86.358333;9;1.136364;13.566667;null;
1970-07-31;0;54.1;null;null;135.6;6.903226;13;20.3;926.939785;19.025806;12.752258;7.819355;82.943548;12;1.774194;16.114754;null;
1970-08-31;9;65.3;null;null;174.8;6.150538;12;14;924.424731;20.290323;13.035484;7.174194;80.443548;9;1.849462;14.16129;null;
1970-09-30;9;54.4;null;null;137.4;6.711111;11;25.9;922.541111;21.77;14.58;9.246667;82.858333;5;1.4;14.35;null;
1970-10-31;9;71.2;null;null;143.9;7.634409;10;29.7;920.010753;23.374194;16.791613;12.5;80.806452;7;1.698925;15.112903;null;
1970-11-30;9;116.9;null;null;217.2;6.422222;5;44.1;918.133333;24.906667;17.312;11.766667;71.608333;9;2.455556;17.25;null;
1970-12-31;0;75.4;null;null;164.8;7.516129;18;334.6;916.916129;26.458065;20.230323;16.019355;81.072581;9;1.826087;16.387097;null;
1971-01-31;0;75.2;null;null;194.6;7.473118;18;233.9;918.924731;28.13871;21.416774;16.883871;81.556452;6;1.602151;17.903226;null;
1971-02-28;0;51.1;null;null;161.1;8.142857;15;194.3;920.064286;27.842857;21.384286;17.35;85.223214;14;1.845238;18.464286;null;
1971-03-31;9;38.5;null;null;148.4;8.043011;19;190.5;920.004301;27.26129;20.502581;16.66129;86.048387;6;1.483871;18.580645;null;
