Nome: FRAIBURGO
Codigo Estacao: 83873
Latitude: -27.05
Longitude: -50.93
Altitude: 1.14
Situacao: Desativada
Data Inicial: 1971-12-31
Data Final: 1982-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;5;58.4;null;null;null;6.73913;21;295.5;null;25.458065;19.907097;14.887097;83.951613;12;3.402174;52.580645;null;
1973-02-28;32;61.7;null;null;null;5.738095;null;218.7;null;26.207143;20.775;16.939286;82.875;9;3;53.321429;null;
1973-03-31;5;52.4;null;null;null;5.021505;null;132.5;null;23.109677;17.975484;13.648387;84.048387;7;2.612903;55.241935;null;
1973-04-30;5;51.1;null;null;null;4.977778;null;137.1;null;24.113333;18.370667;13.813333;84.383333;9;2.833333;53.75;null;
1973-05-31;5;44.5;null;null;0;5.967742;null;122.8;null;18.193548;13.250968;9.4;81.153226;12;3.709677;52.419355;null;
1973-06-30;32;43.5;null;null;0;5.044444;null;67.7;null;18.593333;12.928;8.646667;77.641667;12;3.235955;53.95;null;
1973-07-31;5;45.7;null;null;0;5.935484;null;56.8;null;17.174194;12.054839;7.919355;77.387097;9;2.956989;49.870968;null;
1973-08-31;32;36.5;null;null;null;6.236559;null;273.4;null;17.196774;11.348387;7.303226;78.782258;9;2.333333;52.822581;null;
1973-09-30;5;44.4;null;null;null;6.466667;null;182.8;null;17.61;12.295333;8.193333;85.216667;10;3.111111;47.35;null;
1973-10-31;5;null;null;null;null;5.72043;null;145.1;null;20.941935;14.603226;9.796774;74.991935;9;3.387097;53.080645;null;
1973-11-30;5;null;null;null;0;5.033333;null;130.1;null;22.66;16.196;10.213333;72.266667;9;2.844444;53.583333;null;
1973-12-31;5;82.7;null;null;.9;6.505376;null;99.9;null;24.174194;18.529677;14.06129;77.524194;9;2.967742;52.903226;null;
1974-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
