Nome: LAGES
Codigo Estacao: 83891
Latitude: -27.802108
Longitude: -50.335567
Altitude: 952.73
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2017-04-02
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;58.2;null;null;248.4;5.978495;12;118.7;912.188172;26.554839;20.473548;16.283871;76.620968;7;1.870968;66.129032;null;
1970-02-28;5;52.4;null;null;214.8;6.130952;null;107.6;912.389286;26.510714;20.230714;16.289286;77.321429;7;1.404762;65.089286;null;
1970-03-31;5;48;null;null;157;6.698925;11;98.6;913.574194;24.522581;19.096129;15.964516;82.935484;4;1.548387;61.129032;null;
1970-04-30;5;46;null;null;201;4.711111;13;25.8;914.447778;23.41;16.927333;12.81;80.883333;3;1.233333;51.416667;null;
1970-05-31;5;35.8;null;null;128.5;6.397849;15;146;913.884946;20.358065;14.643871;11.070968;84.185484;5;1.354839;55.806452;null;
1970-06-30;5;30.8;null;null;121.2;6.3;12;155.2;914.492222;17.256667;12.018667;8.93;87.908333;3;1.466667;49.516667;null;
1970-07-31;5;34.1;null;null;150.9;6.16129;13;139.1;917.587097;16.464516;10.942581;8.029032;86.975806;5;1.731183;58.564516;null;
1970-08-31;5;45.2;null;null;196.4;5.451613;12;117.9;916.692473;16.987097;11.262581;7.712903;81.943548;9;1.935484;50.967742;null;
1970-09-30;5;45.4;null;null;149.2;6.344444;8;74.9;914.196667;18.666667;13.164667;9.5;83.283333;3;1.577778;46.283333;null;
1970-10-31;5;51.9;null;null;151.9;6.83871;11;141.7;911.910753;19.66129;14.441935;10.509677;84.379032;5;1.752688;59.677419;null;
1970-11-30;5;69.3;null;null;220.8;5.622222;7;22.1;910.628889;21.473333;15.25;10.57;76.083333;7;1.922222;66.083333;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;5;56.7;null;null;179.6;6.826087;18;141.6;911.188043;25.941935;20.290968;16.33871;73.604839;6;1.641304;61.532258;null;
1971-02-28;5;39.5;null;null;146.7;7.452381;16;243.5;912.386905;25.985714;20.170714;16.764286;86.160714;5;1.583333;60.357143;null;
1971-03-31;5;39.6;null;null;146;7.376344;15;153.9;912.598925;24.941935;19.179355;16.151613;85.459677;3;1.72043;50.741935;null;
1971-04-30;5;40.9;null;null;168.7;6.055556;10;214.3;913.646667;19.603333;13.666;9.846667;81.95;7;2.122222;51.35;null;
1971-05-31;5;32;null;null;166.4;5.978495;null;71.4;915.777419;17.664516;11.477419;7.848387;83.685484;3;1.258065;43.016129;null;
1971-06-30;27;24.2;null;null;113.7;7.422222;null;159.7;914.768889;14.463333;9.362;5.976667;84.95;5;1.766667;39.166667;null;
1971-07-31;5;39.3;null;null;181.3;5.935484;null;117.4;916.992473;17.854839;11.170323;6.870968;81.5;3;1.344086;36.725806;null;
1971-08-31;5;36.5;null;null;171.2;6.666667;null;93.7;918.447312;17.106452;12.045161;8.996774;82.935484;5;1.688172;51.806452;null;
1971-09-30;5;42.2;null;null;154.4;7.088889;null;70.8;916.12;20.783333;15.179333;11.776667;82.45;4;1.466667;40.366667;null;
1971-10-31;5;55.1;null;null;201.6;6.51087;null;133.4;915.256522;20.345161;14.506667;10.59;77.925;5;1.728261;48.491803;null;
1971-11-30;5;78.9;null;null;226.5;6;null;27.5;914.077778;23.13;16.475333;11.8;76.691667;7;1.877778;49.283333;null;
1971-12-31;5;78.3;null;null;252.1;5.935484;null;82.1;909.865591;25.974194;18.7;13.529032;76.653226;7;1.591398;46.790323;null;
1972-01-31;5;61.4;null;null;208.3;6.655914;15;188.4;910.582796;26.493548;20.203871;16.051613;81.508065;5;1.630435;53.887097;null;
1972-02-29;5;47.8;null;null;176.1;6.977011;null;190.7;912.148276;25.058621;19.418621;15.955172;80.887931;5;1.689655;56.155172;null;
1972-03-31;5;49.5;null;null;171.2;7.344086;null;146.2;914.182796;24.677419;18.584516;15.006452;83.104839;7;1.430108;49.483871;null;
1972-04-30;5;42.5;null;null;192.2;6.966667;null;67;916.67;20.243333;14.274667;10.69;79.016667;7;1.677778;46.416667;null;
1972-05-31;5;35.7;null;null;179.3;7.11828;null;18.7;915.868817;20.832258;14.53871;10.948387;82.620968;3;1.268817;38.096774;null;
