Nome: CAMBORIU
Codigo Estacao: 83898
Latitude: -27
Longitude: -48.63
Altitude: 8
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1983-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-08-31;0;null;null;null;107.2;5.506494;6;75.1;null;20.588462;15.44;10.703846;84.307692;7;1.116883;58.076923;null;
1970-09-30;0;47.8;null;null;112.8;6.655556;8;65.6;null;21.91;17.216;12.756667;86.508333;6;1.233333;54;null;
1970-10-31;5;82.8;null;null;82.3;7.913978;18;110;null;23.306452;19.143871;15.174194;84.645161;3;1.387097;44.193548;null;
1970-11-30;0;106.2;null;null;168.4;6.344444;11;49.7;null;24.87;19.857333;14.646667;79.016667;10;1.8;57.333333;null;
1970-12-31;0;103.3;null;null;135.1;8.182796;19;182.5;null;27.319355;22.401935;17.967742;84.33871;6;1.451613;49.354839;null;
1971-01-31;0;92.5;null;null;176.6;5.655914;12;150.5;null;29.719355;24.743226;20.025806;82.959677;7;1.268817;53.548387;null;
1971-02-28;0;87.2;null;null;122.7;7.452381;15;171.2;null;29.839286;25.054286;20.664286;84.294643;6;1.428571;50.178571;null;
