Nome: JOACABA
Codigo Estacao: 83904
Latitude: -27.169273
Longitude: -51.558963
Altitude: 767.63
Situacao: Desativada
Data Inicial: 1986-07-31
Data Final: 2007-06-13
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1986-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1986-08-31;5;null;null;null;null;null;null;127.6;null;21.925806;16.934839;12.790323;71.169355;null;null;6.307692;null;
1986-09-30;5;null;null;null;null;null;null;192.8;null;22.776667;17.368;13.696667;66.316667;null;null;6.288889;null;
1986-10-31;5;null;null;null;null;null;null;110.9;null;25.303226;18.850323;16.025806;65.16129;null;null;6.301075;null;
1986-11-30;5;null;null;null;null;null;null;121.8;null;27.67;21.193333;18.156667;72.525;null;null;6.433333;null;
1986-12-31;5;null;null;null;null;null;null;138.9;null;28.164516;null;19.754839;null;null;null;6.460317;null;
1987-01-31;0;null;null;null;null;null;null;231.6;null;29.722581;23.483871;20.896774;74.959677;null;null;6.451613;null;
1987-02-28;5;null;null;null;null;null;null;248;null;27.507143;21.59;19.2;79.160714;null;null;6.071429;null;
1987-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-04-30;5;null;null;null;null;null;null;136.4;null;25.136667;19.566;17.206667;79.4;null;null;6.438202;null;
1987-05-31;5;null;null;null;null;null;null;289.9;null;18.854839;13.172258;10.303226;80.395161;null;null;5.849462;null;
1987-06-30;5;null;null;null;null;null;null;102.6;null;19.613333;12.532;8.993333;72.833333;null;null;5.711111;null;
1987-07-31;5;null;null;null;null;null;null;80.7;null;22.545161;17.081935;14.529032;73.322581;null;null;6.193548;null;
1987-08-31;5;null;null;null;null;null;null;123.7;null;20.367742;14.650323;11.645161;71.354839;null;null;5.967742;null;
1987-09-30;5;null;null;null;null;null;null;53.9;null;22.286667;15.892;12.766667;72.541667;null;null;6.422222;null;
1987-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1987-11-30;5;null;null;null;null;null;null;76.3;null;28.313333;21.929333;19.066667;66.183333;null;null;6.58427;null;
1987-12-31;5;null;null;null;null;null;null;149.1;null;28.225806;21.972;19.16129;73.925;null;null;6.354839;null;
1988-01-31;5;null;null;null;null;null;null;155.8;null;29.906452;23.471613;20.42;77.806452;null;null;5.967391;null;
1988-02-29;5;null;null;null;null;null;null;90.6;null;27.123333;null;19.0125;null;null;null;6.322034;null;
