Nome: PASSO FUNDO
Codigo Estacao: 83914
Latitude: -28.2286111
Longitude: -52.41194444
Altitude: 684.05
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;111.7;null;null;281;4.83871;10;84.1;937.534409;29.622581;22.747097;17.745161;66.153226;9;2.48913;56.612903;null;
1970-02-28;5;113.1;null;null;234.4;4.130952;null;78;938.516667;29.339286;22.72;18.121429;67.482143;7;2.428571;54.553571;null;
1970-03-31;5;97.2;null;null;161.6;5.827957;12;189.7;939.955914;27.145161;21.508387;17.729032;74.66129;7;2.27957;50.16129;null;
1970-04-30;5;111.1;null;null;242.4;3.444444;7;43.7;941.113333;26.493333;19.513333;15.036667;67.175;7;2.191111;54.583333;null;
1970-05-31;0;69.6;null;null;156.9;5.72043;11;180.2;940.780645;22.048387;16.44;13.070968;77.790323;7;2.010753;46.258065;null;
1970-06-30;0;71;null;null;125.2;5.588889;10;205.1;941.526667;18.846667;13.384667;9.853333;80.491667;9;2.460674;36.116667;null;
1970-07-31;5;103.3;null;null;173.1;4.483871;9;179;944.87957;18.674194;13.239355;9.632258;74.451613;7;3.225806;45.112903;null;
1970-08-31;5;108.7;null;null;190.6;4.494624;9;99.4;943.108602;19.325806;13.314839;9.377419;72.282258;12;3.430108;34.258065;null;
1970-09-30;5;103;null;null;184.8;5;8;74.2;941.177778;22.103333;15.971333;11.573333;69.725;7;2.511111;35.166667;null;
1970-10-31;5;102.3;null;null;195.9;5.731183;9;110.4;938.243011;23.493548;17.307742;12.783871;71.701613;12;2.688172;43.983871;null;
1970-11-30;23;150.9;null;null;246.2;4.3;7;31.8;937.222222;25.343333;18.116667;12.483333;59.225;9;2.755556;43.833333;null;
1970-12-31;5;137.1;null;null;227.4;5.903226;16;437.5;934.777419;28.112903;21.460645;16.496774;67.040323;12;3.032258;42.177419;null;
1971-01-31;32;120.2;null;null;214;5.623656;16;105.6;936.049462;28.422581;22.634194;18.641935;73.862903;9;2.688172;47.451613;null;
1971-02-28;32;87.3;null;null;189.8;5.916667;null;333.1;937.27381;28.353571;22.091429;17.946429;77.428571;7;2.380952;49.107143;null;
1971-03-31;5;87.2;null;null;203;5.021505;15;108.1;937.235484;26.796774;20.851613;17;76.782258;5;2.11828;44.612903;null;
1971-04-30;5;81;null;null;202.9;4.6;11;144;938.873333;22;15.602;11.16;74.133333;7;2.422222;41.55;null;
1971-05-31;5;71.5;null;null;207;4.462366;null;106.9;941.355914;19.390323;13.255484;9.445161;77.233871;7;2.358696;36.5;null;
1971-06-30;5;54.9;null;null;132.5;6.055556;15;210.5;939.825556;16.4;10.912667;7.15;80.475;9;2.6;28.2;null;
1971-07-31;5;97.3;null;null;189.6;4.602151;null;133;940.537634;19.912903;14.186452;10.396774;72.637097;9;2.569892;29.725806;null;
1971-08-31;5;94.3;null;null;188.5;5.365591;null;307.3;941.756989;19.619355;13.925806;9.858065;75.814516;9;3.311828;26.112903;null;
1971-09-30;5;117.1;null;null;201.8;6.233333;null;92.1;939.515556;24.453333;17.796667;13.393333;68.566667;12;3;24.833333;null;
1971-10-31;0;132.4;null;null;228.1;5.204301;null;68.6;939.860215;24.432258;17.603871;12.609677;64.669355;9;2.580645;24.709677;null;
1971-11-30;5;168;null;null;251.4;5.122222;null;79.3;937.014444;27.253333;20.036667;14.296667;58.225;12;2.738636;20.916667;null;
1971-12-31;32;156.5;null;null;282.8;3.913978;null;154.9;934.667742;29.490323;22.378065;16.454839;62.306452;12;2.741935;49.677419;null;
1972-01-31;32;115.5;null;null;234.9;5.419355;16;170.2;935.458065;28.632258;22.045806;17.387097;71.451613;7;2.569892;52.193548;null;
1972-02-29;14;91.7;null;null;228.7;4.954023;null;337.6;936.606897;27.27931;20.716552;16.544828;75.732759;9;2.344828;47.344828;null;
1972-03-31;32;92.6;null;null;186;4.892473;null;156;937.068817;26.832258;20.719355;16.745161;76.370968;7;2.365591;47.564516;null;
1972-04-30;5;87.8;null;null;233.8;3.788889;null;158.3;939.671111;22.693333;16.575333;12.5;71.108333;7;2.4;41.266667;null;
1972-05-31;5;95.8;null;null;201.7;4.741935;null;90;939.508602;23.487097;17.440645;13.703226;73.25;7;2.612903;27.370968;null;
1972-06-30;5;61.5;null;null;98.9;7.333333;19;410.3;938.962222;19.636667;15.690667;13.283333;83.083333;7;2.833333;23.733333;null;
1972-07-31;5;77.3;null;null;164.1;6.010753;null;180;939.313978;18.670968;13.236774;9.519355;78.177419;12;3.516129;21.467742;null;
