Nome: LAGOA VERMELHA
Codigo Estacao: 83916
Latitude: -28.22249999
Longitude: -51.51277777
Altitude: 833.73
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;18;102.5;null;null;null;4.537634;7;58.6;null;28.841935;21.994194;16.787097;70.975806;3;2.72043;null;null;
1970-02-28;36;76.6;null;null;null;4.952381;null;87.7;null;28.767857;22.111429;17.378571;73.946429;3;2.97619;null;null;
1970-03-31;36;88.9;null;null;null;6.548387;8;99.9;null;26.225806;20.979355;17.064516;76.274194;4;3.075269;null;null;
1970-04-30;36;69.1;null;null;null;5.1;5;40.9;null;24.876667;19.344667;15.173333;80.041667;3;2.955556;null;null;
1970-05-31;36;45.3;null;null;null;6.247312;9;104.1;null;22.16129;16.226452;11.941935;76.935484;4;2.774194;null;null;
1970-06-30;36;26.1;null;null;null;6.188889;10;221.6;null;18.54;12.837333;9.086667;79.525;5;2.866667;null;null;
1970-07-31;36;56.5;null;null;null;7.096774;8;230.9;null;18.296774;12.385806;8.470968;77.072581;4;3.325806;null;null;
1970-08-31;36;71.1;null;null;null;6.752688;7;103.2;null;19.509677;12.654194;8.56129;75.91129;4;3.107527;null;null;
1970-09-30;36;75.9;null;null;null;5.366667;8;143.1;null;22.153333;15.028667;10.4;74.175;4;3.122222;null;null;
1970-10-31;36;89.4;null;null;null;7.903226;11;140.5;null;23.693548;16.532258;12.045161;74.475806;5;2.870968;null;null;
1970-11-30;36;89.4;null;null;null;7.033333;3;22.8;null;24.883333;17.620667;12.17;71.983333;7;3.111111;null;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;16.7;null;null;null;null;null;null;null;null;null;
1971-04-30;5;64.6;null;null;202.9;5.244444;11;223.1;923.714444;20.713333;14.372;9.806667;75.866667;7;3.222222;47.833333;null;
1971-05-31;5;59.2;null;null;192.5;5.043011;null;109.5;925.935484;18.329032;12.253548;8.109677;77.862903;12;3.182796;45.52459;null;
1971-06-30;5;43;null;null;127.7;6.644444;null;204.4;924.465556;15.56;10.329333;6.65;80.741667;12;3.488889;45.433333;null;
1971-07-31;5;67.7;null;null;194.5;4.709677;null;125.7;925.629032;18.951613;13.063871;9.090323;73.91129;12;2.989247;49.709677;null;
1971-08-31;5;69;null;null;180.8;5.258065;null;244.4;926.612903;19;13.12129;9.032258;76.919355;12;4.483871;51.451613;null;
1971-09-30;5;92.4;null;null;216.9;4.166667;null;85.5;924.548889;23;16.66;12.073333;67.75;9;3.269663;55.666667;null;
1971-10-31;5;101.4;null;null;246.5;4.989247;null;49.7;924.584946;23.248387;16.325161;11.058065;65.387097;12;3.652174;56.290323;null;
1971-11-30;5;144.6;null;null;262.8;3.955556;null;60.8;922.18;25.876667;18.470667;12.406667;59.016667;9;3.747126;56.416667;null;
1971-12-31;5;143;null;null;291.9;4.075269;null;132.6;919.991398;28.280645;21.02129;14.887097;60.846774;9;3.387097;56.451613;null;
1972-01-31;5;88.3;null;null;238;6.032258;15;254.8;920.756989;27.574194;20.756129;16.13871;71.677419;7;3.268817;56.612903;null;
1972-02-29;14;76.7;null;null;217.1;5.827586;null;231.4;921.590805;25.768966;19.531724;15.213793;75.448276;12;3.206897;57.758621;null;
1972-03-31;5;78.2;null;null;206.8;5.612903;null;132.3;922.425806;26.006452;19.805161;15.435484;77.16129;12;3.130435;53.306452;null;
1972-04-30;5;61.8;null;null;230;4.422222;null;112.2;924.916667;21.573333;15.238667;10.876667;72.816667;7;3.088889;54.033333;null;
1972-05-31;5;61.4;null;null;196.5;4.817204;null;79.2;924.883871;22.080645;16.050968;11.945161;74.491935;5;3.064516;51.725806;null;
1972-06-30;32;46.9;null;null;108.3;7.166667;18;243.3;924.603333;18.676667;14.687333;11.86;83.766667;9;3.311111;44.166667;null;
1972-07-31;5;58.3;null;null;176.4;5.741935;null;105.7;924.701075;18.041935;12.391613;8.345161;77.016129;12;3.817204;51.370968;null;
1972-08-31;5;53.2;null;null;120.3;7.333333;15;345.7;923.368817;17.419355;12.087742;8.516129;77.766129;9;4.612903;43.903226;null;
1972-09-30;5;73.4;null;null;184.1;5.233333;null;304.2;925.033333;20.86;14.752;10.436667;73.675;12;4.611111;49;null;
1972-10-31;5;79.3;null;null;176.4;5.978495;null;145.8;922.973118;21.719355;15.341935;10.725806;71.08871;12;3.913978;51.935484;null;
1972-11-30;14;74.8;null;null;198.2;6.1;null;119.3;920.836667;23.943333;18.208667;13.876667;70.708333;7;3.922222;51.333333;null;
1972-12-31;5;85.7;null;null;286.3;5.365591;null;59.8;921.756989;27.122581;20.320645;14.758065;57.951613;7;4.16129;55.901639;null;
1973-01-31;5;68.1;null;null;200;6.903226;19;323.6;922.306452;27.122581;21.264516;16.883871;74.467742;7;3.698925;53.709677;null;
1973-02-28;5;59.5;null;null;188;6.488095;null;208.7;922.766667;27.957143;22.015;17.707143;72.544643;7;3.619048;55.178571;null;
1973-03-31;14;73;null;null;214.4;4.83871;null;105;923.089247;25.687097;19.166452;14.480645;70.491935;7;3.107527;56.532258;null;
1973-04-30;5;56.6;null;null;null;5.733333;null;63;924.092222;25.293333;19.034667;14.873333;73.858333;7;3.133333;53.166667;null;
1973-05-31;5;49.1;null;null;170.3;6.516129;null;228.1;925.855914;19.403226;14.032903;10.545161;76.774194;7;3.086022;51.33871;null;
1973-06-30;5;44.1;null;null;164.5;5.533333;null;183.5;923.89;18.56;13.317333;9.58;73.508333;7;3.288889;51.666667;null;
1973-07-31;5;46.9;null;null;129.5;6.204301;null;163.9;926.262366;17.603226;12.376129;8.919355;75.943548;7;3.236559;49.903226;null;
1973-08-31;14;62.4;null;null;154.8;5.935484;null;291.5;926.398925;16.551613;11.176129;7.103226;69.758065;9;3.989247;46.354839;null;
1973-09-30;5;53.7;null;null;124;6.677778;null;162.9;926.458889;19.216667;13.681333;9.706667;72.683333;7;3.7;51.866667;null;
1973-10-31;5;79.7;null;null;205.5;5.365591;null;168.9;921.973118;22.545161;16.229677;11.512903;65.298387;7;3.602151;55.483871;null;
1973-11-30;14;82.4;null;null;240.8;4.111111;null;61.7;922.536667;23.723333;17.071333;11.36;62.591667;7;2.744444;53;null;
1973-12-31;0;86.4;null;null;185.6;6.806452;16;161.6;920.435484;25.741935;19.990968;15.396774;73.129032;7;1.72043;52.806452;null;
1974-01-31;null;null;null;null;null;null;null;54;null;null;null;null;null;null;null;null;null;
1974-02-28;5;72.2;null;null;192.1;7.345238;16;172.1;921.922619;27.439286;21.210714;17.264286;79.669643;5;2.333333;39.678571;null;
1974-03-31;14;73.3;null;null;216.9;5.698925;null;150.6;921.429032;22.920968;20.192903;16.634426;80.362903;5;2.634409;53.967742;null;
1974-04-30;5;68.4;null;null;194;5.141176;null;79.6;924.75;22.6;15.927333;12.080645;73.833333;5;2.133333;48.766667;null;
1974-05-31;5;59.1;null;null;180.6;5.569892;null;144.1;924.852688;16.896774;14.74;12.016393;75.895161;7;1.946237;37.66129;null;
1974-06-30;5;56.5;null;null;169.5;5.3;null;127.7;924.386667;13.509091;10.176667;6.793333;76.416667;11;2.122222;44.066667;null;
1974-07-31;5;70;null;null;203.5;5.075269;null;76.3;927.813978;16.719672;13.94;10.38871;73.895161;5;1.645161;39.83871;null;
1974-08-31;5;null;null;null;201.1;4.688172;null;110.9;924.077419;17.549123;13.352903;9.259016;69.137097;9;1.795699;38.83871;null;
1974-09-30;5;null;null;null;174.3;7.039474;null;54.6;925.414444;19.347368;15.722;11.735;67.016667;12;2.588889;43.183333;null;
1974-10-31;14;null;null;null;213;4.903226;null;149.8;922.248387;23.190323;15.743226;10.271875;66.427419;12;2.387097;48.548387;null;
1974-11-30;5;null;null;null;235.8;4.522222;null;117.6;920.814444;23.27;17.054667;11.86;69.275;7;2.466667;48.8;null;
1974-12-31;5;null;null;null;212.8;7.289855;null;90.9;920.606522;25.087097;19.024667;14.526667;72.375;7;2.673913;54.098361;null;
1975-01-31;14;null;null;null;212.2;6.76087;null;162.9;921.993548;26.570968;20.16129;15.335484;72.145161;5;2.139785;50.761905;null;
1975-02-28;5;null;null;null;201.3;6.357143;null;143.4;920.708333;26.992857;21.307143;17;76.205357;7;2.404762;64.649123;null;
1975-03-31;5;null;null;null;202.7;7.688172;null;119.9;923.822581;25.603226;19.827097;16.080645;80;5;2.354839;58.333333;null;
1975-04-30;5;69.8;null;null;140.7;5.944444;null;42.6;923.417778;22.603333;16.285333;12.05;78.233333;7;1.955556;56.083333;null;
1975-05-31;5;60.2;null;null;160.4;5.945652;null;85.3;926.766667;19.696667;13.784667;9.993548;77.822581;5;1.774194;49.354839;null;
1975-06-30;5;56.2;null;null;167.3;5;null;155.5;927.375556;18.233333;12.618667;9.1;77.466667;7;2.244444;46.409836;null;
1975-07-31;5;70.8;null;null;180.6;6.193548;null;69.3;926.726882;16.741935;10.522581;6.067742;72.443548;9;2.225806;39.83871;null;
1975-08-31;5;62.1;null;null;113.4;7.752688;null;215.2;924.870968;19.464516;14.064516;10.409677;79.225806;9;2.978495;42.063492;null;
1975-09-30;5;69.6;null;null;127.8;7.277778;18;295.4;925.387778;19.963333;14.576;11.063333;78.383333;9;3.077778;47.5;null;
1975-10-31;5;82;null;null;166.2;7.107527;null;184.7;922.393548;21.545161;15.622581;11.370968;74;7;2.397849;42.983871;null;
1975-11-30;5;114.8;null;null;217.6;5.822222;null;60.3;921.115556;24.166667;17.618;12.483333;67.091667;9;2.733333;56.583333;null;
1975-12-31;14;89.5;null;null;210.9;6.784946;null;227.4;921.506452;26.293548;20.043871;15.270968;75.685484;7;1.989247;44.741935;null;
1976-01-31;5;83.9;null;null;183.3;7.311828;18;339;921.36129;27.006452;21.279355;17.43871;79.024194;7;2.462366;50.241935;null;
1976-02-29;5;95.4;null;null;256.9;4.793103;null;154.1;921.228736;26.786207;20.136552;15.382759;72.336207;5;1.873563;49.224138;null;
1976-03-31;14;69.2;null;null;181.9;6.129032;18;225.4;923.054839;24.216129;18.24129;14.348387;81.112903;5;2.075269;42.112903;null;
1976-04-30;5;71.1;null;null;208.2;4.866667;null;46;924.762222;21.713333;15.411333;11.146667;76.85;7;1.933333;45.45;null;
1976-05-31;14;51.3;null;null;127.5;6.591398;16;182.6;925.012903;18.132258;12.858065;9.435484;82.887097;7;1.956989;39.580645;null;
1976-06-30;5;54.8;null;null;156.9;5.933333;null;45.8;924.695556;16.05;10.684;6.853333;79.541667;7;1.911111;36.816667;null;
1976-07-31;5;66.5;null;null;157.6;5.516129;null;108.2;927.11828;17.519355;11.743871;7.632258;79.725806;7;2.064516;36.806452;null;
1976-08-31;5;74.9;null;null;194.3;4.569892;null;180.1;925.335484;18.33871;12.063226;7.535484;73.629032;5;1.827957;34.064516;null;
1976-09-30;5;87.1;null;null;155.6;5.888889;null;77.6;923.945556;20.01;13.786;8.99;71.4;9;2.033333;41.5;null;
1976-10-31;5;102.6;null;null;201.8;5.268817;null;198.9;923.075269;22.254839;15.67871;10.883871;71.854839;9;2.569892;49.66129;null;
