Nome: SAO JOAQUIM
Codigo Estacao: 83920
Latitude: -28.275639
Longitude: -49.93464
Altitude: 1400.07
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2017-05-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;36;null;null;null;null;7;16;134;null;23.554839;16.611613;11.887097;81.258065;7;1.698925;56.774194;null;
1970-02-28;36;null;null;null;null;6.011905;null;136.9;null;24.128571;17.198571;12.503571;81.696429;5;1.82381;56.964286;null;
1970-03-31;36;null;null;null;null;6.83871;11;131.7;null;22.274194;16.127742;11.954839;83.233871;8;2.11828;54.516129;null;
1970-04-30;36;null;null;null;null;4.666667;8;44.6;null;20.33;14.156;9.876667;79.9;5;1.588889;54.35;null;
1970-05-31;36;null;null;null;null;6.225806;10;161.9;null;17.848387;12.478065;8.751613;83.516129;5;1.602151;53.33871;null;
1970-06-30;36;null;null;null;null;5.755556;10;197.7;null;15.196667;9.984;6.163333;85.475;12;2.166667;51.916667;null;
1970-07-31;36;null;null;null;null;5.107527;7;158.9;null;14.903226;9.001935;4.63871;82.024194;12;2.301075;55.16129;null;
1970-08-31;36;null;null;null;null;4.580645;10;145.9;null;15.432258;9.085161;4.648387;79.733871;9;2.311828;52.774194;null;
1970-09-30;5;null;null;null;null;5.855556;9;122.3;null;17.603333;11.347333;6.9;76.575;5;1.944444;52.366667;null;
1970-10-31;5;null;null;null;null;6.849462;11;118.9;null;18.225806;12.532258;8.36129;81.419355;7;2.16129;53.403226;null;
1970-11-30;5;null;null;null;null;5.444444;10;68.5;null;19.24;12.356;7.56;80.016667;9;3.3;56.166667;null;
1970-12-31;36;96;null;null;156.1;5.849462;19;177.7;859.931183;22.264516;16.478065;12.232258;76.080645;12;4.782609;54.032258;null;
1971-01-31;32;90.1;null;null;78.4;6.827957;20;232.9;861.750538;23.180645;17.967742;14.490323;78.717742;10;4.752688;56.806452;null;
1971-02-28;9;56.5;null;null;90;7.595238;18;232;863.280952;22.657143;17.518571;14.153571;85.330357;9;4.511905;56.446429;null;
1971-03-31;9;60;null;null;173.4;6.526882;21;296.2;862.84086;21.303226;16.29871;13.074194;85.870968;9;4.130435;57.741935;null;
1971-04-30;27;62.5;null;null;187.1;5.222222;12;176.2;862.648889;17.016667;11.703333;7.936667;80.133333;10;4.455556;55.283333;null;
1971-05-31;27;69.2;null;null;176.9;4.795699;null;106.3;864.705376;14.867742;10.066452;7.06129;76.572581;12;3.956989;52.129032;null;
1971-06-30;27;53.3;null;null;104;6.466667;15;179;862.906667;12.186667;8.214667;5.206667;81.608333;12;4.873563;48.566667;null;
1971-07-31;27;90.2;null;null;154;4.698925;null;149;864.441935;15.5;10.81871;7.764516;72.177419;10;4.532609;53.241935;null;
1971-08-31;36;73.4;null;null;118;5.408602;null;252;865.578495;15.745161;10.465806;6.812903;79.137097;12;5.010753;50.967742;null;
1971-09-30;36;85.6;null;null;172.9;5.433333;null;90.6;864.328889;18.543333;13.084;9.546667;75.758333;10;4.755556;52.433333;null;
1971-10-31;36;83.3;null;null;165.7;4.602151;null;79.5;864.030108;18.574194;12.367742;7.841935;74.75;14;4.419355;55.887097;null;
1971-11-30;14;109.4;null;null;119;4.877778;null;37.5;861.805556;20.63;13.986;9.353333;69.983333;10;4.449438;56.333333;null;
1971-12-31;32;121.4;null;null;128.3;4.709677;null;70.5;860.23871;24.458065;17.038065;12.080645;70.201613;12;4.728261;57.903226;null;
1972-01-31;36;83;null;null;174.9;6.978495;16;221.7;861.086022;22.754839;16.943226;13.370968;78.959677;12;4.430108;55.032258;null;
1972-02-29;9;62.6;null;null;162.8;6.666667;15;225;861.754023;21.196552;15.717931;11.982759;83.137931;10;4.275862;51.672414;null;
1972-03-31;27;65.2;null;null;114.6;6.021505;17;109;862.312903;21.519355;16.165806;12.777419;83.362903;12;4.44086;53.064516;null;
1972-04-30;36;56.2;null;null;131.6;4.744444;null;115.2;863.717778;17.806667;12.224;8.433333;82.166667;12;3.921348;55.75;null;
1972-05-31;36;63.1;null;null;174.9;4.763441;null;44.4;864.083871;18.154839;13.300645;10.074194;80.217742;10;3.666667;52.532258;null;
1972-06-30;32;70.8;null;null;91.9;6.933333;15;207.4;863.603333;16.02;12.465333;10.11;81.375;14;5.022472;51.65;null;
1972-07-31;36;69.9;null;null;115.7;5.795699;null;138.6;863.256989;14.954839;10.039355;6.8;77.483871;14;4.644444;49.032258;null;
1972-08-31;36;75.7;null;null;118.3;6.849462;15;254.4;861.876344;14.696774;9.810323;6.387097;77.524194;12;4.827957;45.725806;null;
1972-09-30;36;56.9;null;null;151.1;6.411111;null;242.1;864.108889;16.73;11.653333;7.916667;79.841667;12;4.055556;48.9;null;
1972-10-31;36;58.4;null;null;131.7;6.580645;16;142;862.292473;17.293548;12.012258;8.212903;81.991935;7;3.569892;48.225806;null;
1972-11-30;36;61;null;null;131.8;6.7;15;140.6;860.644444;19.956667;14.686667;11.01;83.566667;9;3.077778;52.233333;null;
1972-12-31;36;91.9;null;null;188;5.602151;null;124.1;861.652688;21.954839;16.245806;11.974194;73.467742;9;3.146237;56.790323;null;
1973-01-31;36;77.2;null;null;140.4;6.72043;20;206;862.674194;23.412903;17.875484;14.183871;81.475806;12;3.204301;55.967742;null;
1973-02-28;32;69.4;null;null;150.2;6.904762;null;127.5;863.329762;24.321429;18.842857;15.235714;82.392857;9;3.916667;55.357143;null;
1973-03-31;14;63.8;null;null;159;5.419355;null;49.5;863.023656;21.367742;15.587742;12.074194;82.935484;7;3.107527;56.774194;null;
1973-04-30;36;54.6;null;null;117.6;6.288889;null;139.2;864.221111;21.206667;16.171333;12.963333;83.166667;9;3.122222;52.966667;null;
1973-05-31;36;48.5;null;null;137.9;5.967742;null;181.6;864.524731;15.680645;10.954194;7.703226;83.983871;9;3.870968;51.403226;null;
1973-06-30;27;58.3;null;null;140.2;5.288889;null;187.3;862.458889;15.453333;10.91;7.493333;77.591667;12;3.693333;52.883333;null;
1973-07-31;32;71.9;null;null;138;5.666667;null;107.7;864.583871;14.912903;10.285161;6.532258;78.5;9;3.698925;48.048387;null;
1973-08-31;27;90.4;null;null;119.3;5.27957;15;239.2;864.446237;13.509677;8.515484;3.822581;72.459677;12;3.150538;42.016129;null;
1973-09-30;36;52.2;null;null;141.2;5.7;null;177.4;865.09;15.433333;10.488667;7.003333;82.991667;9;3.511111;43.583333;null;
1973-10-31;36;82.2;null;null;201.2;5.16129;null;117.3;861.527957;18.358065;12.575484;8.6;77.483871;12;3.053763;56.290323;null;
1973-11-30;14;70.6;null;null;172.8;5;null;52.2;861.647778;18.833333;12.865333;8.46;76.641667;11;3.333333;56.333333;null;
1973-12-31;36;74.5;null;null;127.6;6.44086;null;89.8;860.663441;21.783871;16.345806;12.680645;80.451613;10;3.182796;55.483871;null;
1974-01-31;36;56.5;null;null;176;6.688172;16;123.3;861.37957;23.841935;17.483871;13.609677;82.120968;12;3.322581;56.612903;null;
1974-02-28;36;54;null;null;147;6.987952;15;170.7;862.540476;23.232143;17.61;13.946429;83.464286;8;2.857143;53.928571;null;
1974-03-31;14;53.8;null;null;141;6.645161;15;169.1;861.849462;21.080645;16.152903;13.006452;86.604839;12;3.462366;54.596774;null;
1974-04-30;14;56.4;null;null;164;5.233333;null;31.1;864.121111;18.056667;12.682;9.343333;81.016667;7;2.355556;53.15;null;
1974-05-31;27;58;null;null;150.6;5.774194;null;135.4;863.908602;16.016129;11.486452;8.477419;80.266129;10;2.741935;53.5;null;
1974-06-30;36;57.2;null;null;136.1;4.988889;null;142.1;862.591111;11.85;7.089333;3.79;75.491667;12;3.888889;53.4;null;
1974-07-31;32;98.1;null;null;189;3.88172;null;88.7;866.884946;16.686667;12.01;8.567742;69.669355;10;2.376344;53.596774;null;
1974-08-31;27;109.7;null;null;164.7;2.827957;null;95.4;862.906452;16.754839;10.935484;6.893548;62.25;12;3.402174;47.096774;null;
1974-09-30;27;113.5;null;null;118.4;4.211111;null;65.8;864.764444;18.313333;12.513333;8.39;69.625;9;2.411111;48.683333;null;
1974-10-31;27;88.9;null;null;220.7;4.817204;null;114.3;861.684946;18.622581;12.083871;7.793548;74.91129;12;2.602151;59.032258;null;
1974-11-30;27;85;null;null;182.7;4.544444;null;174.2;860.653333;19.263333;13.296;8.963333;75.425;9;2.722222;57;null;
1974-12-31;36;60.1;null;null;129.9;6.88172;null;108.6;860.831183;21.064516;14.963871;10.867742;82.274194;9;2.408602;59.354839;null;
1975-01-31;27;58.5;null;null;187.7;6.021505;null;155.4;862.475269;22.577419;16.292258;12.135484;79.919355;9;2.243011;56.322581;null;
1975-02-28;27;56.5;null;null;171.8;5.821429;null;132.8;861.535714;23.275;17.527143;13.907143;83.267857;9;2.369048;54.857143;null;
1975-03-31;36;68;null;null;148.2;6.290323;null;98.4;864.329032;21.787097;16.353548;13.103226;82.701613;9;2.494624;56.83871;null;
1975-04-30;32;74;null;null;171.2;4.544444;null;29.9;863.167778;18.963333;13.386;9.906667;77.075;12;3;56.95;null;
1975-05-31;36;70;null;null;153.3;4.741935;null;90.6;865.750538;15.851613;11.054194;7.864516;78.556452;9;2.322581;57.903226;null;
1975-06-30;36;33.9;null;null;163.8;4.266667;null;136.5;865.94;14.84;10.212;7.19;74.716667;12;2.4;55.65;null;
1975-07-31;36;83.2;null;null;161.7;3.827957;null;70.5;864.654839;13.958065;8.609677;4.716129;68.604839;12;2.462366;54.114754;null;
1975-08-31;36;87.4;null;null;74.6;7.021505;null;146.9;864.221505;16.593548;11.97871;8.516129;76.830645;9;3.408602;52.322581;null;
1975-09-30;5;73.2;null;null;75.8;6.466667;17;286.7;864.721111;16.806667;11.981333;8.433333;78.191667;12;2.988889;57.166667;null;
1975-10-31;36;58.5;null;null;98.7;6.086022;16;148.8;861.627957;16.870968;11.83871;8.480645;81.104839;7;2.623656;54.677419;null;
1975-11-30;27;84.1;null;null;166.6;5.3;null;93.8;861.001111;18.99;13.600667;9.61;76.25;9;2.977528;57;null;
1975-12-31;32;59.3;null;null;167.9;6.365591;null;197.8;862.069892;22.222581;16.601935;12.674194;80.193548;9;2.516129;56.612903;null;
1976-01-31;36;72.2;null;null;135.1;7.322581;17;233.9;862.134409;22.874194;17.537419;14.093548;85.637097;7;2.548387;56;null;
1976-02-29;9;64.3;null;null;152.6;5.954023;null;138.8;861.734483;22.675862;16.485517;12.613793;80.905172;9;2.563218;55.87931;null;
1976-03-31;27;58.5;null;null;131.9;6.505376;20;251.1;862.864516;20.335484;15.396129;11.890323;82.903226;9;2.672043;52.33871;null;
1976-04-30;27;68.6;null;null;190.6;4.222222;null;44.5;863.858889;17.953333;12.530667;9.063333;79.891667;9;2.955556;54.416667;null;
1976-05-31;27;40.7;null;null;97.2;7.27957;17;200.8;863.655914;13.787097;9.94;7.145161;86.040323;9;3.580645;47.370968;null;
1976-06-30;27;69.9;null;null;118.1;5.366667;null;84.6;862.893333;13.306667;8.766;5.49;76.408333;12;3.545455;46.65;null;
1976-07-31;36;59.4;null;null;126.6;5.634409;null;122.8;866.03871;13.687097;9.197419;6.193548;81.701613;9;3.430108;51.435484;null;
1976-08-31;36;85.8;null;null;153.9;4.505376;null;141.7;864.066667;15.035484;9.6;5.503226;70.548387;9;3.677419;49.451613;null;
1976-09-30;27;90.9;null;null;109.2;4.977778;null;69.9;863.002222;16.443333;10.682;6.58;74.05;9;2.966667;39.733333;null;
1976-10-31;36;95;null;null;164.9;4.903226;null;132.6;862.803226;17.970968;11.956129;7.870968;75.540323;9;3.505376;54.370968;null;
1976-11-30;36;78;null;null;175;5.577778;null;185.1;861.23;20.236667;14.505333;10.433333;77.658333;9;3.433333;53.333333;null;
1976-12-31;27;77.9;null;null;207.9;5.301075;null;216.8;860.112903;22.26129;16.30129;12.145161;76.387097;7;3.311828;54.193548;null;
1977-01-31;36;68.7;null;null;95.5;7.086022;17;157.9;861.139785;22.929032;17.636774;14.254839;81.572581;9;3.365591;52.741935;null;
1977-02-28;36;72.5;null;null;147.4;5.952381;20;239.1;865.286905;25.596429;19.432143;15.721429;78.044643;7;2.642857;55.571429;null;
1977-03-31;36;54.9;null;null;145.8;7.11828;15;211.2;863.239785;22.303226;16.789677;13.516129;86.395161;9;2.989247;53.080645;null;
1977-04-30;36;52.5;null;null;143.7;5.288889;12;77.6;864.538889;18.203333;13.002;9.46;82.125;12;3.388889;54.5;null;
1977-05-31;36;53.8;null;null;151.6;5.075269;10;62.7;864.894624;16.916129;11.825806;8.590323;79.532258;9;3.16129;54.225806;null;
1977-06-30;36;58.8;null;null;129.2;5.366667;9;90.6;865.192222;15.816667;10.94;7.44;78.7;9;3.422222;53.9;null;
1977-07-31;32;114.5;null;null;139.1;5.129032;9;173.9;863.188172;18.141935;13.145806;9.7;70.201613;12;4.521739;50.854839;null;
1977-08-31;36;64.7;null;null;80.7;5.602151;18;349.8;863.345161;15.880645;10.990968;7.377419;81.25;9;3.408602;38.709677;null;
1977-09-30;36;80.4;null;null;153;4.244444;12;34.4;865.114444;19.57;13.871333;9.806667;72.641667;9;3.5;44.183333;null;
1977-10-31;36;58.8;null;null;145.8;5.537634;12;150;864.827957;20.135484;14.445806;10.164516;81.798387;9;3.688172;49.677419;null;
1977-11-30;36;60.9;null;null;122.3;6.833333;14;166.2;862.082222;20.846667;14.899333;10.903333;81.816667;9;3.077778;51.766667;null;
1977-12-31;9;61.3;null;null;125.1;6.569892;13;75.6;863.054839;22.003226;15.934194;11.896774;82.040323;9;3.526882;52.741935;null;
1978-01-31;14;79.3;null;null;122.6;6.419355;16;246.8;863.83871;23.580645;17.382759;13.206897;79.370968;12;3.032258;52.66129;null;
1978-02-28;9;68.5;null;null;105.3;6.02381;11;92.7;863.127381;23.207143;16.772857;12.728571;80.098214;12;3.345238;53.157895;null;
1978-03-31;36;75.7;null;null;132.9;5.376344;9;123.4;864.356989;22.903226;17.049677;13.380645;78.677419;9;2.989247;55.806452;null;
1978-04-30;36;88.7;null;null;150.3;2.966667;2;10.3;863.9;18.97;12.222759;7.713793;70.225;9;2.411111;51.6;null;
1978-05-31;27;93.9;null;null;158.8;3.107527;6;54.8;862.124731;15.553333;10.027333;5.990323;63.620968;12;2.946237;55.163934;null;
1978-06-30;36;85.9;null;null;100.7;4.966292;8;69.5;865.338889;15.606897;10.33931;6.9;72.875;9;3.388889;54.847458;null;
1978-07-31;36;74.3;null;null;35.7;5.408602;12;115.5;863.837634;16.816129;12.057419;9.019355;76.282258;9;3.107527;49.209677;null;
1978-08-31;36;78.2;null;null;61.8;5.217391;11;54.2;866.426882;15.254839;9.510968;5.625806;74.991935;7;2.655914;34.564516;null;
1978-09-30;36;67.4;null;null;121.1;5.211111;9;147.2;865.387778;17.446667;11.870667;8.123333;79.308333;12;3.322222;46.147541;null;
1978-10-31;36;89.9;null;null;131.5;4.55914;12;122.7;862.397849;20.796774;14.765806;10.351613;76.274194;9;2.537634;46.677419;null;
1978-11-30;36;73.2;null;null;105.3;6.244444;null;112.1;861.771111;20.61;14.688;10.35;78.608333;9;3.244444;57.966102;null;
1978-12-31;36;75.3;null;null;156;5.591398;null;142.3;862.358065;22.474194;16.303226;11.909677;81.653226;9;2.44086;51.540984;null;
1979-01-31;9;85.1;null;null;159;4.511111;null;103.9;858.68;22.43;15.377333;10.54;74.558333;9;2.811111;58.833333;null;
1979-02-28;9;76.3;null;null;105.8;5.214286;null;67.1;857.727381;24.039286;17.622857;13.478571;78.526786;7;2.190476;55.446429;null;
1979-03-31;36;44.8;null;null;120;5.714286;null;145.7;860.894048;20.225;14.474286;10.910714;84.910714;9;2.166667;51.732143;null;
1979-04-30;36;44.4;null;null;69.9;6.178571;null;91.4;861.017857;17.164286;12.214286;9.139286;84.339286;9;2.535714;48.8125;null;
1979-05-31;27;null;null;null;null;4.984375;null;81.9;859.003125;15.7;10.654286;7.161905;76.380952;9;2.78125;52.96875;null;
1979-06-30;null;null;null;null;null;null;null;30.4;862.783333;null;null;null;null;7;null;null;null;
