Nome: URUSSANGA
Codigo Estacao: 83923
Latitude: -28.532537
Longitude: -49.31521
Altitude: 40.5
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2017-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;102.1;null;null;null;6.075269;14;98;null;31.274194;24.087097;18.796774;81.814516;6;1.107527;35.16129;null;
1970-02-28;0;90.9;null;null;null;5.369048;null;136.8;null;32.414286;24.753571;19.032143;79.830357;3;1.047619;40.178571;null;
1970-03-31;0;84.6;null;null;null;6.752688;16;264;null;30.3;23.340645;18.516129;83.669355;3;.580645;31.129032;null;
1970-04-30;0;69.1;null;null;null;4.544444;8;72.3;null;29.173333;21.388;15.683333;80.083333;4;.877778;41.166667;null;
1970-05-31;0;46.2;null;null;null;5.784946;16;106.4;null;25.896774;18.880645;14.264516;87.201613;3;.569892;36.451613;null;
1970-06-30;0;48.3;null;null;null;5.311111;10;93.5;null;23.3;16.297333;11.526667;86.975;6;1;39.333333;null;
1970-07-31;0;52;null;null;null;4.956989;10;105.1;null;22.654839;15.436774;10.345161;84.282258;5;1.129032;38.064516;null;
1970-08-31;0;87.1;null;null;null;3.967742;12;99.4;null;23.074194;15.516774;9.903226;80.596774;6;1.44086;40.645161;null;
1970-09-30;0;78.9;null;null;null;5.288889;9;73.7;null;24.75;17.052667;11.32;81.275;8;1.355556;38.166667;null;
1970-10-31;0;72.2;null;null;null;7.16129;18;119.9;null;24.874194;18.831613;13.932258;80.620968;6;1.419355;30.806452;null;
1970-11-30;0;105;null;null;null;5.4;7;38.3;null;27.27;19.403333;12.656667;73.3;8;1.8;40.166667;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;0;89.3;null;null;null;6.543478;21;254.4;null;32.135484;24.357419;19.829032;82.58871;3;1.01087;35.806452;null;
1971-02-28;0;62.9;null;null;null;7.392857;22;388;null;31.139286;24.445714;20.239286;84.232143;4;.916667;33.928571;null;
1971-03-31;0;46.3;null;null;null;7.548387;21;203.7;null;28.064516;22.482581;18.43871;87.919355;4;.55914;30.645161;null;
1971-04-30;0;65.9;null;null;null;4.877778;11;97.7;null;25.9;18.360667;12.68;81.766667;4;1.155556;42.833333;null;
1971-05-31;0;54.7;null;null;null;4.806452;null;99.6;null;23.009677;15.007097;10;84.08871;3;.806452;40.725806;null;
1971-06-30;0;45;null;null;null;5.911111;15;99.6;null;19.826667;12.984;8.45;86.2;5;.655556;34.916667;null;
1971-07-31;0;61.3;null;null;null;4.258065;null;74.2;null;22.787097;14.506452;9.26129;83.870968;6;.709677;41.612903;null;
1971-08-31;0;72.7;null;null;null;4.946237;null;157.8;null;22.616129;15.726452;11.006452;84.217742;6;1.193548;40.16129;null;
1971-09-30;0;80.5;null;null;null;5.522222;null;61.9;null;26.616667;18.928667;13.923333;81.408333;6;1.077778;30.5;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;0;150.5;null;null;null;4.325843;null;17.6;null;30.266667;21.131333;14.17;67.408333;5;1.674157;45.166667;null;
1971-12-31;0;160.2;null;null;null;3.666667;null;34.3;null;33.158065;23.523226;16.409677;69.274194;5;1.612903;45.967742;null;
1972-01-31;0;100;null;null;null;6.086022;16;265.4;null;31.293548;23.702581;18.406452;80.185484;6;1.053763;36.774194;null;
1972-02-29;0;70.3;null;null;null;6.390805;19;365.9;null;29.303448;22.530345;17.631034;84.362069;4;1;31.896552;null;
1972-03-31;0;62.1;null;null;null;6.419355;18;213.8;null;28.983871;22.459355;17.935484;86.733871;4;.72043;33.548387;null;
1972-04-30;0;66;null;null;null;4.722222;null;122.2;null;26.88;18.913333;13.37;83.766667;3;1.044444;42.666667;null;
1972-05-31;0;56.3;null;null;null;5.107527;null;26.7;null;26.909677;19.092258;14.16129;86.225806;3;.526882;38.064516;null;
1972-06-30;0;42.3;null;null;null;6.922222;15;143.7;null;24.07;17.534;13.233333;88.941667;4;.566667;29.916667;null;
1972-07-31;0;60.2;null;null;null;5.311828;null;105.4;null;22.358065;14.604516;9.583871;85.403226;6;.913978;36.290323;null;
1972-08-31;0;78.3;null;null;null;6.344086;null;146.2;null;22.441935;15.554839;10.674194;81.5;10;1.526882;47.5;null;
1972-09-30;0;86.6;null;null;null;6.188889;null;150.4;null;23.72;17.094;12.18;82.366667;8;1.122222;28.833333;null;
1972-10-31;0;85.5;null;null;null;7.053763;null;140.3;null;24.864516;18.302581;13.048387;81.806452;6;1.408602;29.193548;null;
1972-11-30;0;77.9;null;null;null;7.822222;null;89.4;null;26.1;20.494667;15.96;82.425;6;1.233333;47;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;0;78.6;null;null;null;7.119565;19;256.9;null;27.808065;24.690968;20.832787;83.862903;6;.902174;33.548387;null;
1973-02-28;0;67.1;null;null;null;7.261905;15;290.4;null;28.281818;25.512857;22.032143;85.625;3;.571429;34.464286;null;
1973-03-31;0;73.1;null;null;null;5.086022;null;107.8;null;29.070968;22.411613;17.5625;83.830645;3;.913978;41.451613;null;
1973-04-30;0;63.3;null;null;null;6.7;null;80.2;null;25.891667;23;19.091379;86.05;3;.633333;34.833333;null;
1973-05-31;0;54.4;null;null;null;5.537634;null;97.3;null;24.583871;17.124516;12.33125;86.709677;4;.806452;36.887097;null;
