Nome: URUGUAIANA
Codigo Estacao: 83927
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.41
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;71.7;null;null;300.6;4.365591;10;244.4;1003.12043;31.425806;25.557419;19.8;62.75;5;1.623656;57.258065;null;
1970-02-28;5;51.5;null;null;252.2;4.107143;null;200.1;1003.986905;31.414286;25.665714;20.396429;65.098214;5;1.345238;57.678571;null;
1970-03-31;5;73.4;null;null;209;5.086022;10;216.5;1005.890323;29.670968;23.845161;19.435484;68.879032;9;1.784946;57;null;
1970-04-30;14;84.3;null;null;238.2;2.977778;5;97.4;1007.075556;28.316667;21.382667;16.483333;70.191667;9;1.788889;59.5;null;
1970-05-31;5;50.3;null;null;155.4;5.344086;9;97.2;1007.634409;23.083871;16.99871;12.929032;77.790323;7;2.064516;52.854839;null;
1970-06-30;5;41.1;null;null;121.6;5.677778;10;92.7;1009.644444;19.123333;13.750667;9.866667;74.608333;12;2.211111;52.433333;null;
1970-07-31;5;51.6;null;null;159.5;4.83871;10;91;1011.895699;19.332258;13.514194;9.235484;76.064516;7;2.096774;52.145161;null;
1970-08-31;5;50.3;null;null;199.5;4.096774;6;66.5;1010.535484;20.816129;14.593548;9.641935;71.225806;12;3.043011;52.306452;null;
1970-09-30;9;60.1;null;null;198.7;4.866667;6;57.8;1008.075556;24.553333;17.683333;11.643333;68.15;14;2.011111;53.5;null;
1970-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-11-30;14;69.8;null;null;269.5;2.77381;3;15.7;1005.434524;27.762069;21.05;14.017857;58.6875;9;3.011905;58.214286;null;
1970-12-31;9;83.3;null;null;242.2;4.89011;10;237.6;1000.489011;30.996667;24.467333;18.376667;67.816667;9;2.472527;56.166667;null;
1971-01-31;5;77.3;null;null;185.1;6.75641;14;193.6;1000.752564;30.611538;25.2;20.477778;71.846154;10;1.576923;55.09434;null;
1971-02-28;null;null;null;null;null;null;null;255.6;1001.60678;31.105263;25.623158;20.68;75.460526;7;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;0;1010.818182;21.746667;14.205333;9.193333;74.6;5;null;null;null;
1971-06-30;5;50;null;null;153.9;6.2;null;49.6;1010.088889;16.16;10.508667;6.463333;73.033333;9;2.955556;57.85;null;
1971-07-31;5;63.3;null;null;175.9;5.215054;null;199.9;1008.446237;20.577419;14.85871;10.935484;74.741935;5;2.817204;57.112903;null;
1971-08-31;5;73.5;null;null;215;4.537634;null;260.1;1010.06129;20.912903;14.765161;10.303226;71.653226;12;3.258065;57.983871;null;
1971-09-30;5;70;null;null;211.5;5.277778;null;215.7;1006.802222;24.696667;18.855333;14.31;73.583333;12;3.444444;56.7;null;
1971-10-31;14;112.5;null;null;232.8;4.645161;null;63.9;1008.109677;25.977419;19.470968;13.619355;59.467742;9;3.16129;59.193548;null;
1971-11-30;5;165.1;null;null;305.2;4.211111;null;83.4;1003.874444;30.78;23.804;17.13;48.741667;12;3.311111;60;null;
1971-12-31;5;207.3;null;null;295.7;4.580645;null;113.5;999.598925;33.616129;26.405161;19.045161;46.580645;9;3.326087;59.677419;null;
1972-01-31;9;127.1;null;null;276.8;5.602151;null;220.4;1000.868817;31.712903;25.616774;20.006452;63.024194;9;3.16129;58.870968;null;
1972-02-29;9;125.7;null;null;293.5;4.494253;null;258.7;1002.690805;31.196552;24.955172;19.041379;59.922414;9;3.206897;59.655172;null;
1972-03-31;9;94.2;null;null;207.1;6.053763;null;322.2;1003.398925;28.86129;22.7;17.854839;69.137097;9;2.913978;57.258065;null;
1972-04-30;9;63.9;null;null;224.4;4.377778;null;341.5;1007.134444;25.15;18.581333;13.766667;73.466667;7;2.122222;58;null;
1972-05-31;5;33.3;null;null;180;5.806452;null;279.4;1005.612903;24.235484;18.760645;15.012903;81.935484;7;2.548387;54.677419;null;
1972-06-30;5;30.5;null;null;95.4;7.766667;null;114.8;1004.808889;21.763333;17.805333;15.046667;88.075;7;2.811111;52.383333;null;
1972-07-31;9;43.8;null;null;183.8;5.763441;null;203.1;1006.703226;18.506452;13.11871;9.087097;79.645161;12;2.967742;50.419355;null;
1972-08-31;5;42.4;null;null;137.8;7.505376;16;167.8;1005.683871;18.935484;14.289677;10.76129;80.056452;12;3.225806;57.096774;null;
1972-09-30;5;83.6;null;null;197.5;4.722222;null;162.7;1005.813333;23.71;17.915333;13.033333;72.091667;9;3.222222;58;null;
1972-10-31;9;98.2;null;null;212;6.043011;null;155.2;1005.81828;23.777419;17.957419;12.954839;67.854839;12;3.655914;59.032258;null;
1972-11-30;9;93.3;null;null;242.6;5.622222;null;125.9;1002.987778;26.42;20.903333;15.703333;67.866667;7;3.511111;59;null;
1972-12-31;5;121.5;null;null;293.2;5.935484;null;147.9;1003.08172;30.512903;24.428387;18.535484;61.185484;12;3.139785;59.193548;null;
1973-01-31;5;80.6;null;null;218.4;7.086022;null;153;1001.21828;31.445161;25.832903;21.354839;74.241935;7;3.204301;58.709677;null;
1973-02-28;9;62.5;null;null;224.6;7.095238;null;403.1;1002.55;30.632143;24.847143;20.071429;76.267857;10;3.22619;58.392857;null;
1973-03-31;5;73;null;null;258.3;5.236559;null;76.6;1004.15914;29.512903;23.643871;19.090323;73.209677;7;2.655914;59.354839;null;
1973-04-30;5;42.9;null;null;166.8;5.722222;15;360.9;1005.656667;26.58;20.656667;16.133333;80.775;7;2.8;57.833333;null;
1973-05-31;5;49;null;null;210.1;5.483871;null;134.3;1008.94086;22.180645;16.076129;11.835484;80.991935;7;2.462366;58.725806;null;
1973-06-30;5;34.1;null;null;125.2;7.1;null;120.2;1005.588889;19.336667;14.676667;11.55;84.341667;12;2.988889;58.333333;null;
1973-07-31;5;37.4;null;null;119;7.354839;15;164.6;1009.076344;17.325806;13.174839;10.170968;85.185484;9;3.430108;54.387097;null;
1973-08-31;5;65.6;null;null;193.9;5.376344;null;30.6;1011.58172;19.329032;12.968387;8.058065;69.798387;9;2.698925;59.193548;null;
1973-09-30;14;72.1;null;null;172.1;5.433333;null;159.2;1009.132222;21.31;15.555333;10.786667;72.033333;7;3.511111;57.183333;null;
1973-10-31;5;102.8;null;null;274.7;5.172043;null;159.5;1004.044086;25.774194;19.288387;13.512903;66.596774;7;3.408602;59.516129;null;
1973-11-30;14;139.4;null;null;302.4;3.988889;null;51.1;1005.025556;28.07;21.155333;14.103333;52.3;9;3.2;59.5;null;
1973-12-31;14;135.5;null;null;286.7;5.795699;null;47.3;1002.022581;30.903226;24.598065;17.825806;59.830645;9;3.129032;58.403226;null;
1974-01-31;5;109;null;null;272.3;5.774194;null;258.4;1000.335484;31.883871;26.234194;21.225806;68.846774;9;3.150538;59.032258;null;
1974-02-28;14;51;null;null;189.1;6.571429;null;171.2;1002.833333;29.246429;24.009286;19.603571;77.232143;7;3.02381;57.357143;null;
1974-03-31;9;85.8;null;null;227.5;5.27957;null;44.6;1004.586022;29.187097;22.995484;18.190323;73.854839;7;3.129032;58.790323;null;
1974-04-30;14;95.4;null;null;244;3.866667;null;26.1;1007.944444;27.686667;20.091333;14.183333;65.275;5;2.777778;59.666667;null;
1974-05-31;5;58.7;null;null;175.2;6.16129;null;93.5;1007.03871;24.087097;17.919355;13.516129;77.346774;9;2.88172;55.258065;null;
1974-06-30;5;44.9;null;null;187.5;4.311111;null;83.5;1008.486667;18.183333;12.012;7.593333;77.225;7;2.522222;57.333333;null;
1974-07-31;5;66.1;null;null;206.9;4.526882;null;52.9;1010.846237;22.33871;15.889677;11.541935;73.645161;7;2.849462;59.193548;null;
1974-08-31;9;73.3;null;null;209.8;5.27957;null;172.6;1007.923656;21.525806;14.050968;8.974194;70.233871;7;3.086022;55;null;
1974-09-30;14;72.8;null;null;196.1;5.088889;null;130.1;1009.873333;22.126667;16.034;11.106667;70.65;7;3;56.533333;null;
1974-10-31;9;129.1;null;null;302.6;4.086022;null;70.1;1006.676344;26.36129;18.830323;12.258065;54.653226;10;3.505376;60;null;
1974-11-30;5;136;null;null;297.8;4.544444;null;95.9;1002.587778;28.886667;21.701333;15.06;58.191667;9;3.055556;57.866667;null;
1974-12-31;9;131;null;null;310.7;5.139785;null;107;1001.951613;29.467742;23.544516;17.787097;60.08871;7;3.129032;57.451613;null;
