Nome: ITAQUI
Codigo Estacao: 83929
Latitude: -29.12
Longitude: -56.53
Altitude: 76
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1983-12-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;92.2;null;null;null;3.096774;6;153.7;null;32.219355;25.82129;19.425806;69.153226;3;2.483871;null;null;
1970-02-28;5;55.7;null;null;null;2.714286;null;357.7;null;32.246429;26.497143;20.453571;68.6875;3;2;null;null;
1970-03-31;9;72.4;null;null;null;4.215054;5;90.5;null;30.46129;24.966667;19.987097;74.291667;3;2.086022;null;null;
1970-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-05-31;5;73.6;null;null;null;4.369565;9;171.8;null;23.916129;17.622581;13.23871;80.5;3;1.967391;null;null;
1970-06-30;18;43.1;null;null;null;4.033333;9;49.9;null;19.403333;14.396667;10.56;80.35;3;1.944444;null;null;
1970-07-31;5;45.7;null;null;null;4.311828;7;43.6;null;19.835484;13.963226;9.73871;80.862903;4;2.16129;null;null;
1970-08-31;14;58.2;null;null;null;3.602151;5;38.7;null;21.248387;15.052258;10.016129;74.677419;5;2.247312;null;null;
1970-09-30;9;49.8;null;null;null;3.788889;7;78.1;null;24.86;18.154;12.526667;70.6;4;1.968889;null;null;
1970-10-31;18;88.9;null;null;null;3.473118;7;91;null;25.658065;19.715484;14.580645;71.169355;5;2.27957;null;null;
