Nome: BENTO GONCALVES
Codigo Estacao: 83941
Latitude: -29.164588
Longitude: -51.534104
Altitude: 624.1
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2013-12-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;null;null;null;null;3.516129;12;73.1;null;28.83871;22.075484;17.116129;71.395161;3;1.225806;null;null;
1970-02-28;14;null;null;null;null;2.97619;null;127.7;null;28.957143;22.352143;17.892857;72.5;3;1.071429;null;null;
1970-03-31;14;null;null;null;null;4.623656;10;118.5;null;26.554839;21.166452;17.23871;76.459677;3;.946237;null;null;
1970-04-30;14;null;null;null;null;2.277778;4;36.4;null;25.496667;18.984;14.206667;71.133333;3;1.144444;null;null;
1970-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-06-30;5;null;null;null;null;4.955056;11;225.5;null;18.786667;13.318667;9.236667;82.058333;5;1.269663;null;null;
1970-07-31;5;null;null;null;null;3.365591;11;225.7;null;18.903226;13.270968;9.090323;75.193548;5;1.83871;null;null;
1970-08-31;5;null;null;null;null;3.752688;13;163;null;18.929032;13.161935;8.777419;73.717742;5;1.731183;null;null;
1970-09-30;5;null;null;null;null;3.166667;6;50.7;null;22.206667;15.954;11.036667;71.483333;3;1.4;null;null;
1970-10-31;14;null;null;null;null;4.666667;10;166.7;null;22.045161;16.432903;11.864516;76.733871;3;1.278495;null;null;
