Nome: CANELA
Codigo Estacao: 83944
Latitude: -29.37
Longitude: -50.8
Altitude: 830
Situacao: Desativada
Data Inicial: 1971-12-31
Data Final: 1990-09-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;18;75.3;null;null;null;6.163043;20;224.5;null;24.706452;19.392903;16.077419;83.08871;7;1.358696;44.096774;null;
1972-02-29;9;73.8;null;null;null;6.471264;19;247;null;23.186207;18.66;15.713793;84.103448;8;1.581395;36.551724;null;
1972-03-31;0;59.5;null;null;null;6.634409;18;332.2;null;22.745161;18.512258;15.887097;86.177419;5;1.344086;34.419355;null;
1972-04-30;0;52.5;null;null;null;4.533333;null;185.5;null;19.29;15.082667;12.786667;82.475;12;1.277778;39.916667;null;
1972-05-31;36;60.7;null;null;null;5.322581;null;66.9;null;20.406452;15.965806;13.083871;84.612903;6;1.301075;31.129032;null;
1972-06-30;36;72.5;null;null;null;7.866667;18;249.8;null;17.926667;14.64;11.72;83.158333;9;1.944444;30.5;null;
1972-07-31;36;75;null;null;null;6.354839;null;204.3;null;16.603226;11.982581;7.770968;80.604839;7;2.301075;27.870968;null;
1972-08-31;36;70.1;null;null;null;7.505376;17;315;null;16.429032;11.868387;8.419355;83.701613;7;2.032222;31;null;
1972-09-30;36;79.9;null;null;null;5.955556;null;229.7;null;18.99;13.924667;9.206667;77.316667;12;2.556818;38.25;null;
1972-10-31;18;74;null;null;null;7.258065;null;203.9;null;18.703226;14.103226;9.854839;79.903226;12;1.76087;35.080645;null;
