Nome: TRIUNFO
Codigo Estacao: 83954
Latitude: -29.869757
Longitude: -51.379201
Altitude: 23.6
Situacao: Desativada
Data Inicial: 1978-12-18
Data Final: 2013-06-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1978-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1979-06-30;0;59.4;null;null;null;5;5;63.4;null;19.069231;null;null;80.916667;7;1.617978;22.898876;null;
1979-07-31;0;62.4;null;null;null;5.913978;11;141.2;null;19.7;13.486429;9.35;82.33871;9;2.397849;37.182796;null;
1979-08-31;14;63.1;null;null;null;8.075269;12;131.3;null;20.842424;16.184516;13.05625;85.274194;12;2.666667;35.763441;null;
1979-09-30;27;86.2;null;null;null;6.233333;7;107.3;null;21.978125;15.544667;10.313333;73.683333;12;2.898876;38.711111;null;
1979-10-31;14;75.9;null;null;null;7.569892;14;83.4;null;24.614706;19.343871;15.194444;80.580645;12;3.129032;46.677419;null;
1979-11-30;14;102;null;null;null;6.277778;12;178.7;null;26.556667;20.326;15.733333;75.7;9.6;3.156667;18.777778;null;
1979-12-31;18;106.6;null;null;null;6.623656;13;128.7;null;29.241935;23.153548;19.209375;77.379032;8.8;3.123656;41.451613;null;
1980-01-31;14;140.1;null;null;null;4.688172;8;122.9;null;30.00625;23.651613;18.72;71.322581;8.5;3.02043;42.580645;null;
1980-02-29;18;101.2;null;null;null;5.632184;11;145;null;30.975862;24.42069;20.351429;77.456897;7.5;2.606897;34.482759;null;
1980-03-31;18;80.8;null;null;null;6.182796;12;69.2;null;30.951613;25.069032;21.367647;79.854839;7;2.377419;36.88172;null;
1980-04-30;9;101.2;null;null;null;5.333333;6;96.5;null;28.506667;21.680667;17.26129;78.158333;7.1;2.33;40.611111;null;
1980-05-31;36;61.7;null;null;null;6.247312;9;126.9;null;23.958065;18.506452;14.832258;82.733871;9;2.104301;35.182796;null;
1980-06-30;32;66.6;null;null;null;6.255556;8;58.2;null;20.07;13.714667;9.274194;79.866667;14;2.847778;42.988889;null;
1980-07-31;36;75.1;null;null;null;5.182796;10;196.1;null;19.248387;13.022581;9.212903;78.016129;9.3;2.484946;35.741935;null;
1980-08-31;18;63.9;null;null;null;6.075269;8;67.3;null;20.66129;14.951613;10.832258;79.620968;6.8;2.38172;35.301075;null;
1980-09-30;14;53.8;null;null;null;5.277778;11;72.3;null;20.977419;14.667333;10.243333;76.008333;9.1;3.06;35.466667;null;
1980-10-31;18;53.4;null;null;null;7.612903;12;104.6;null;24.4;18.872903;15.145455;77.08871;8.3;3.109677;34.408602;null;
1980-11-30;14;40;null;null;null;5.5;10;129;null;26.406452;20.703333;16.535484;76.183333;7;2.85;39.055556;null;
1980-12-31;18;null;null;null;null;7.096774;12;169.1;null;28.805263;23.79125;19.576471;74.970588;9.5;3.436957;43.978495;null;
1981-01-31;18;null;null;null;null;6.129032;null;140.2;null;null;null;null;null;8.3;2.841935;50.645161;null;
1981-02-28;14;null;null;null;null;6.416667;12;163.6;null;31.56087;25.936;21.308;80.855263;13;3.109524;47.738095;null;
1981-03-31;18;101.8;null;null;null;4.731183;5;33.5;null;28.570968;22.411613;18.711429;82.379032;8;2.487097;48.817204;null;
1981-04-30;18;81.4;null;null;null;5.666667;10;102.5;null;25.68;19.996;16.109375;85.133333;6.8;2.725556;35.122222;null;
1981-05-31;36;122.8;null;null;null;4.741935;6;52.3;null;25.948387;19.870968;15.534375;84.766129;9;2.558065;31.505376;null;
1981-06-30;36;96.8;null;null;null;6.077778;11;144.9;null;18.66;13.099333;9.339394;86.725;11.6;2.876667;26.188889;null;
1981-07-31;5;65.5;null;null;null;5.83871;11;72.8;null;19.545161;13.927742;10.00625;87.75;8.6;2.43871;24.473118;null;
1981-08-31;18;84.6;null;null;null;5;8;45.4;null;22.674194;16.205333;11.40303;83.959677;8.1;2.591398;30.849462;null;
1981-09-30;18;79.8;null;null;null;7.655556;17;193.2;null;20.66875;15.909333;11.061765;89.683333;10;3.242222;31.088889;null;
1981-10-31;18;92.1;null;null;null;5.290323;6;59.6;null;24.358065;18.331613;13.703125;80.919355;8;2.935484;39.892473;null;
1981-11-30;18;102.2;null;null;null;5.877778;10;100.6;null;27.726667;21.860667;17.508824;79.6;10.8;3.02;38.777778;null;
1981-12-31;14;46.3;null;null;null;5.215054;10;95.5;null;28.54375;22.45871;18.175758;81.016129;8.1;2.9;44.204301;null;
1982-01-31;18;92.2;null;null;null;4.053763;4;26.4;null;30.392857;23.577857;18.214286;77.41129;7.3;3.264516;51.55914;null;
1982-02-28;14;97.6;null;null;null;6.619048;13;254.1;null;null;null;null;83.705357;8.3;2.69881;32.166667;null;
1982-03-31;14;79.5;null;null;null;4.612903;6;76.1;null;null;null;null;81.975806;7;2.586022;40.344086;null;
1982-04-30;18;92.9;null;null;null;3.9;2;20.1;null;27.077778;20.317778;16.022222;89.983333;5.8;2.193333;42.244444;null;
1982-05-31;9;67.5;null;null;null;4.763441;7;43.6;null;23.309524;16.62381;12.02381;88.169355;5;1.95914;41.397849;null;
1982-06-30;36;57.7;null;null;null;6.733333;13;313.5;null;20.633333;14.709333;9.513333;88.875;9;2.073333;26.877778;null;
1982-07-31;32;53.4;null;null;null;7.032258;11;139.9;null;null;null;null;90.064516;6.8;1.946237;21.391304;null;
1982-08-31;14;84.5;null;null;null;6.752688;14;190.1;null;23.288235;16.570588;10.288235;90.903226;8;2.588172;23.72043;null;
1982-09-30;18;69.5;null;null;null;5.711111;7;199.9;null;24.109524;18.06381;13.280952;92.583333;9.1;2.778889;26.866667;null;
1982-10-31;18;69.6;null;null;null;5.408602;13;236.7;null;24.188;18.0512;12.648;90.822581;9;3.105376;35.108696;null;
1982-11-30;18;66.2;null;null;null;6.577778;15;228.2;null;25.845833;20.406667;15.729167;91.466667;10.3;2.614444;42.355556;null;
1982-12-31;14;107.3;null;null;null;4.612903;11;143.3;null;29.222222;22.800741;17.2;88.790323;5.8;2.504301;51.11828;null;
