Nome: SAO GABRIEL
Codigo Estacao: 83957
Latitude: -30.33
Longitude: -54.32
Altitude: 124
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1976-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;null;null;null;null;5.731183;7;82.1;null;31.835484;24.48129;17.748387;75.693548;5;1.763441;null;null;
1970-02-28;9;null;null;null;null;5.630952;null;161.7;null;31.503571;24.422857;18.396429;77.107143;5;1.738095;null;null;
1970-03-31;9;null;null;null;null;6.365591;8;106.8;null;29.409677;22.922581;17.619355;78.104839;5;1.806452;null;null;
1970-04-30;9;null;null;null;null;5.855556;4;31.8;null;28.216667;20.250667;14.02;74.75;5;1.488889;null;null;
1970-05-31;9;null;null;null;null;6.860215;12;140.7;null;22.36129;15.807097;10.725806;81.314516;5;1.612903;null;null;
1970-06-30;9;null;null;null;null;7.011111;11;180.8;null;18.353333;12.944;8.833333;82.175;9;2.388889;null;null;
1970-07-31;9;null;null;null;null;6.473118;8;101.5;null;18.645161;12.844516;8.225806;76.75;7;2.44086;null;null;
1970-08-31;9;null;null;null;null;6.387097;9;95.3;null;20.093548;13.534194;8.277419;73.669355;9;2.935484;null;null;
1970-09-30;9;null;null;null;null;6.466667;4;30;null;23.693333;16.162667;9.906667;72.233333;9;3.188889;null;null;
1970-10-31;9;null;null;null;null;6.516129;9;129.4;null;24.109677;17.5;11.622581;74.967742;9;3.473118;null;null;
1970-11-30;9;null;null;null;null;4.888889;2;59;null;25.886667;18.447333;11.64;69.208333;9;3.377778;null;null;
1970-12-31;5;null;null;null;null;5.989247;10;189.6;null;30.251613;22.616129;16.13871;72.887097;9;2.709677;null;null;
1971-01-31;9;null;null;null;null;6.107527;12;135;null;30.66129;23.948387;18.403226;78.048387;9;2.204301;null;null;
1971-02-28;9;null;null;null;null;6.309524;null;147.8;null;29.592857;23.315714;18.085714;78.151786;7;2.297619;null;null;
1971-03-31;9;null;null;null;null;5.827957;7;25.1;null;28.277419;21.672258;16.058065;76.266129;9;2.408602;null;null;
1971-04-30;5;null;null;null;null;5.377778;3;15.2;null;23.83;16.175333;9.663333;69.433333;9;2.588889;null;null;
1971-05-31;5;null;null;null;null;6.408602;null;59.4;null;20.467742;13.076129;7.470968;75.129032;5;1.903226;null;null;
1971-06-30;27;null;null;null;null;6.933333;null;216.2;null;15.743333;9.574667;4.456667;77.925;9;3.111111;null;null;
1971-07-31;9;null;null;null;null;7.494624;null;103.5;null;19.512903;12.875484;7.9;80.645161;9;2.225806;null;null;
1971-08-31;9;null;null;null;null;6.784946;null;156;null;20.474194;13.605161;7.948387;74.475806;9;3.043011;null;null;
1971-09-30;9;null;null;null;null;6.766667;null;79.7;null;24.326667;17.840667;12.433333;76.25;9;2.677778;null;null;
1971-10-31;9;null;null;null;null;5.505376;null;61.9;null;25.322581;17.593548;11.43871;71.040323;5;2.44086;null;null;
1971-11-30;9;null;null;null;null;5.577778;null;22.4;null;29.373333;21.207333;14.073333;68.366667;9;3.044444;null;null;
1971-12-31;5;null;null;null;null;5.784946;null;84.9;null;32.76129;24.189677;16.248387;65.854839;9;2.619565;null;null;
1972-01-31;5;null;null;null;null;6.043011;null;191.7;null;30.887097;23.706452;17.732258;74.370968;7;2.108696;null;null;
1972-02-29;9;null;null;null;null;5.804598;null;67.4;null;30.806897;23.366207;17.006897;69.646552;9;2.632184;null;null;
1972-03-31;9;null;null;null;null;6.741935;null;80.4;null;27.893548;21.425161;15.951613;74.604839;12;2.989247;null;null;
1972-04-30;5;null;null;null;null;5.644444;null;77.3;null;24.863333;17.600667;11.886667;73.466667;9;1.944444;null;null;
1972-05-31;5;null;null;null;null;7.096774;null;159.6;null;23.719355;17.20129;12.016129;78.403226;7;1.784946;null;null;
1972-06-30;5;null;null;null;null;8.133333;16;306.6;null;20.59;16.359333;12.846667;86.966667;7;2.288889;null;null;
