Nome: ENCRUZILHADA DO SUL
Codigo Estacao: 83964
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;96.6;null;null;272.1;5.354839;9;96.2;963.9;28.890323;22.152258;17.267742;69.822581;5;1.990323;67.258065;null;
1970-02-28;14;78.2;null;null;240.3;4.535714;null;149.8;964.685714;29.339286;23.152857;18.639286;71.089286;7;2.275;67.142857;null;
1970-03-31;14;75.1;null;null;190.5;5.516129;9;87.6;966.407527;27.154839;21.350968;17.645161;74.854839;7;2.569892;60.483871;null;
1970-04-30;14;87.1;null;null;250.8;3.877778;4;42.9;967.401111;25.923333;19.964;15.76;66.175;6;1.522222;64.166667;null;
1970-05-31;14;52.8;null;null;153.1;5.827957;13;202.3;967.560215;19.806452;15.371613;12.209677;79.669355;7;2.025806;55.16129;null;
1970-06-30;18;35;null;null;145.6;5.266667;12;262.9;968.121111;17.263333;12.407333;9.346667;81.891667;9;2.677778;50.383333;null;
1970-07-31;5;51.9;null;null;182.5;4.290323;10;164.8;970.901075;17.125806;12.19871;8.619355;77.870968;9;3.27957;51.580645;null;
1970-08-31;5;71.5;null;null;177.8;4.408602;11;85.5;968.463441;18.012903;12.833548;9.177419;72.895161;9;2.239785;53.870968;null;
1970-09-30;14;60.1;null;null;178.9;5.211111;4;34.9;966.99;21.123333;15.227333;11.09;73.433333;7;1.877778;42.25;null;
1970-10-31;14;59.2;null;null;169.5;6.55914;13;159;964.633333;21.096774;15.607742;11.845161;77.008065;9;2.311828;33.870968;null;
1970-11-30;14;89.9;null;null;235.6;3.933333;8;25.3;962.75;23.343333;16.746667;11.766667;66.858333;12;3.526667;49.666667;null;
1970-12-31;14;90.9;null;null;247.3;5.064516;11;118;959.51828;27.86129;20.905806;15.758065;70.217742;7;2;52.580645;null;
