Nome: BAGE
Codigo Estacao: 83980
Latitude: -31.30555555
Longitude: -54.11944443
Altitude: 245.66
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;149.1;null;null;281.1;3.655914;9;74.8;null;989.460215;31.067742;24.350323;18.329032;53.854839;9;2.688172;58.709677;
1970-02-28;9;147.8;null;null;208.6;3.892857;null;121.5;null;990.163095;31.596429;24.677857;19.467857;56.8125;9;4.011905;57.053571;
1970-03-31;9;138.2;null;null;200.7;4.419355;11;141.1;null;992.366667;28.887097;22.346452;17.380645;61.137097;7;2.27957;53.064516;
1970-04-30;0;122.6;null;null;237;3.177778;6;27.1;null;993.574444;27.7;19.873333;14.583333;61.741667;7;2.066667;54.833333;
1970-05-31;14;78.1;null;null;140.8;5.096774;10;83.6;null;993.847312;21.277419;15.283871;11.216129;74.951613;7;2.387097;49.274194;
1970-06-30;5;53.7;null;null;83.2;5.822222;11;231.6;null;995.284444;17.4;12.237333;8.81;79.866667;7;2.466667;52.4;
1970-07-31;5;79.5;null;null;138.7;4.408602;15;103.4;null;998.456989;17.983871;12.367097;8.622581;74.967742;12;3.021505;49.951613;
1970-08-31;5;110.3;null;null;138.1;4.752688;11;151.5;null;996.789247;19.73871;13.63871;9.587097;71.201613;12;3.56044;50.645161;
1970-09-30;9;104.2;null;null;190.1;4.366667;5;56;null;994.612222;22.453333;15.729333;11.076667;71.5;12;2.634444;54.3;
1970-10-31;9;115.2;null;null;161.1;5.688172;10;133.3;null;992.558065;22.667742;16.643871;11.870968;69.516129;9;3.741935;55.112903;
1970-11-30;5;146.1;null;null;214.3;3.888889;7;61.5;null;989.112222;24.22;17.960667;11.946667;62.525;14;4.533333;57.083333;
1970-12-31;5;154.5;null;null;215.5;4.344086;9;176.3;null;983.556989;28.651613;21.914839;15.896774;62.16129;12;4.354839;57.258065;
1971-01-31;5;132.6;null;null;185.9;5.946237;15;223.9;null;984.603226;29.067742;23.590968;18.680645;70.467742;14;4.107527;57.419355;
1971-02-28;14;95.7;null;null;131.5;6.702381;null;204.2;null;987.495238;28.292857;22.371429;17.635714;73.705357;12;4.440476;56.642857;
1971-03-31;5;104;null;null;187.8;4.967742;8;40.9;null;988.139785;27.209677;20.78;16.193548;73.096774;12;3.270968;54.629032;
1971-04-30;9;107.5;null;null;212.7;3.533333;3;10.8;null;989.892222;23.096667;15.493333;10.11;65.958333;14;2.870787;55.416667;
1971-05-31;36;79.1;null;null;190.9;4.483871;null;100;null;992.858065;19.306452;12.503871;8.129032;73.814516;12;2.16129;53.370968;
1971-06-30;32;70.5;null;null;142.9;4.755556;null;88.5;null;991.302222;15.306667;9.134;5.243333;71.75;14;4.08;50.316667;
1971-07-31;36;100.5;null;null;167.3;5.129032;null;95.1;null;990.982796;19.429032;13.318065;9.793548;72.935484;12;4.075269;56.322581;
1971-08-31;5;101.3;null;null;195.3;3.83871;null;97.6;null;993.187097;19.935484;13.076129;8.403226;71.330645;12;3.916129;54.112903;
1971-09-30;5;91.5;null;null;145.2;6.177778;null;76;null;990.434444;22.776667;17.075333;12.956667;74.975;12;3.235955;52.5;
