Nome: PELOTAS
Codigo Estacao: 83985
Latitude: -31.78333333
Longitude: -52.41666666
Altitude: 13
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;52.3;null;null;null;4.268817;5;51.8;1013.425806;28.774194;23.368387;17.487097;67.645161;6;2.752688;62.096774;null;
1970-02-28;0;47.4;null;null;null;4.321429;null;148;1013.07619;30.239286;24.567143;18.364286;70.919643;6;2.309524;60.535714;null;
1970-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-04-30;0;63.5;null;null;null;3.629213;4;44.8;1013.817978;27.583333;21.034667;13.433333;71.933333;8;2.449438;61.333333;null;
1970-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-06-30;0;31.5;null;null;null;5.707865;12;252.6;1015.079775;18.386667;13.754667;9.266667;85.625;6;1.955056;58.833333;null;
1970-07-31;0;31.2;null;null;null;5.55914;12;179.2;1016.07957;17.219355;12.440645;8.264516;85.459677;8;2.27957;56.612903;null;
1970-08-31;0;37.6;null;null;null;5.301075;6;103.6;1016.131183;19.458065;14.043226;9.154839;83.419355;10;3.247312;54.112903;null;
1970-09-30;0;25.9;null;null;null;5.877778;1;9.4;1016.261111;20.753333;16.109333;11.876667;81.55;8;2.3;59.333333;null;
1970-10-31;0;35.5;null;null;null;6.193548;7;59;1016.843011;21.812903;16.995172;11.696552;80.040323;8;2.473118;59.677419;null;
1970-11-30;0;39;null;null;null;5.777778;6;42.6;1015.783333;23.406667;null;null;79.033333;10;3.155556;60.833333;null;
1970-12-31;null;null;null;null;null;null;4;38.4;1015.583607;26.475;20.603;13.32;75.35;14;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;11.063333;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
