Nome: SANTA VITORIA DO PALMAR
Codigo Estacao: 83997
Latitude: -33.53166666
Longitude: -53.35027777
Altitude: 24.01
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;70.6;null;null;286.3;4.634409;10;159.9;null;1009.768817;27.606452;21.891613;17.822581;76.983871;8;3.172043;53.306452;
1970-02-28;5;84.5;null;null;247.1;4.654762;null;40.5;null;1009.740476;29.628571;23.48;19.285714;77.044643;9;4.316667;54.857143;
1970-03-31;5;67.9;null;null;214.6;5.505376;10;99.1;null;1012.248387;26.777419;21.156129;17.145161;78.895161;12;3.641935;55.822581;
1970-04-30;32;55.8;null;null;192.1;4.988889;8;47.5;null;1012.572222;24.953333;18.576;14.406667;79;9;3.05;55.833333;
1970-05-31;32;47.3;null;null;155.2;5.236559;11;198.7;null;1012.775269;20.009677;14.539355;10.880645;82.185484;8;2.956989;51.048387;
1970-06-30;23;34.1;null;null;117.4;6.2;13;110.7;null;1014.596667;16.263333;12.034;9.136667;83.483333;9;3.725556;50.266667;
1970-07-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1970-08-31;23;48.1;null;null;179.8;5.451613;12;140.9;null;1016.049462;17.432258;12.463871;9.077419;82.314516;12;4.175824;49.483871;
1970-09-30;5;48.6;null;null;190.4;5.122222;5;41.2;null;1014.402222;19.703333;14.238;10.72;83.108333;12;4.233333;52.283333;
1970-10-31;5;59.7;null;null;226.9;5.774194;10;95.6;null;1012.619355;19.932258;15.168387;11.332258;80.209677;12;4.791398;53;
1970-11-30;5;93.4;null;null;233.1;5.433333;9;79.1;null;1010.061111;22.153333;16.973333;12.94;73.666667;12;5.266667;56.666667;
1970-12-31;5;97.9;null;null;261;4.892473;11;95.5;null;1005.94086;26.451613;19.787742;15.03871;72.83871;10;4.44086;56.048387;
1971-01-31;5;65.9;null;null;225.2;5.688172;14;179.9;null;1006.906452;26.883871;21.701935;17.783871;78.306452;12;4.408602;51.645161;
1971-02-28;14;69.2;null;null;169.2;6.428571;null;115.9;null;1010.241667;26.164286;21.4;17.85;79.526786;9;3.738095;58.214286;
1971-03-31;9;69.2;null;null;219.3;4.741935;12;67.1;null;1010.890323;25.416129;19.786452;16.090323;82.104839;12;3.569892;52.951613;
1971-04-30;23;55.1;null;null;224;4.2;6;27.9;null;1011.94;21.816667;15.038;10.666667;77.95;9;3.422222;57;
1971-05-31;32;45;null;null;201.3;4.27957;null;108.3;null;1014.760215;18.525806;12.043871;8.26129;80.629032;9;3.387097;51.096774;
1971-06-30;27;36.2;null;null;165.5;5.411111;null;121.2;null;1013.317778;14.193333;9.272667;6.116667;80.283333;12;3.811111;51.183333;
1971-07-31;32;40;null;null;175.6;5.602151;null;43.1;null;1013.334409;17.677419;12.005161;8.409677;84.282258;9;3.387097;41.16129;
1971-08-31;5;28.2;null;null;220.2;4.322581;null;86.1;null;1016.333333;18.590323;12.297419;8.335484;79.153226;9;3.849462;41.612903;
1971-09-30;9;42.1;null;null;164.8;6.477778;null;288.3;null;1014.02;19.563333;15.524667;12.71;86.025;14;4.211111;51.583333;
1971-10-31;5;52.6;null;null;243.8;5.215054;null;30;null;1014.744086;21.46129;16.052258;12.309677;82.701613;9;4.107527;52.451613;
1971-11-30;5;97.8;null;null;271.3;4.144444;null;37.8;null;1009.971111;24.99;18.469333;13.2;70.291667;9;4.022222;57;
1971-12-31;5;65.8;null;null;298;3.655914;null;211.5;null;1005.655914;28.051613;21.187097;16.029032;71.701613;9;4.290323;55.16129;
1972-01-31;9;64.7;null;null;281.4;5.086022;null;174.6;null;1007.829032;26.932258;22.32;18.632258;77.459677;9;3.505376;57.177419;
1972-02-29;14;68.8;null;null;254.9;4.333333;null;78.5;null;1009.808046;26.565517;21.198621;16.589655;77.172414;9;3.655172;58.448276;
1972-03-31;14;58.4;null;null;229.6;4.623656;null;82.8;null;1010.186022;25.232258;19.483226;15.506452;79.112903;10;3.645161;54.790323;
1972-04-30;5;51;null;null;206.5;4.277778;null;65.8;null;1012.765556;23.243333;16.776;12.49;79.941667;9;3.144444;53.566667;
1972-05-31;5;41;null;null;178.6;6.096774;null;60.8;null;1011.753763;21.129032;15.814839;12.167742;83.741935;9;2.913978;54.451613;
1972-06-30;14;37.4;null;null;84.9;7.633333;null;97.2;null;1010.555556;18.143333;14.472667;12.003333;86.441667;9;3.8;45.616667;
1972-07-31;5;30;null;null;179.5;5.408602;null;217.1;null;1012.437634;15.9;11.089677;7.658065;85.548387;14;3.860215;46.774194;
1972-08-31;23;37.5;null;null;131.3;7.032258;null;186.9;null;1011.129032;15.587097;11.603226;8.787097;86.185484;14;3.924731;46.112903;
1972-09-30;5;36.9;null;null;174.9;5.511111;null;100.7;null;1012.791111;18.836667;13.946667;10.263333;80.425;12;4.755556;56.066667;
1972-10-31;5;42;null;null;192.1;5.591398;null;92.8;null;1012.963441;18.987097;13.984516;10.06129;81.435484;12;3.576087;55.548387;
1972-11-30;14;53.7;null;null;262.2;5.3;null;48.5;null;1010.03;22.096667;17.134667;13.206667;76.891667;12;4.1;55.583333;
1972-12-31;5;88.4;null;null;281.2;5.698925;null;103.8;null;1008.805376;25.619355;20.445806;16.406452;78.201613;14;4.623656;55.967742;
1973-01-31;9;90.3;null;null;261.3;5.634409;null;133.6;null;1008.317204;26.143902;22.51871;19.329508;77.741935;9;3.935484;54.193548;
1973-02-28;5;68;null;null;191.6;6.369048;null;62.7;null;1008.930952;26.842857;22.9;20.089286;79.723214;12;3.27381;56.964286;
