Periodo;PrecipitacaoTotal
1970-1;197.46153846
1970-2;298.82666667
1970-3;321.98000000
1970-4;369.18666667
1970-5;277.52142857
1970-6;233.40000000
1970-7;167.35000000
1970-8;174.00714286
1970-9;186.63076923
1970-10;120.00000000
1970-11;211.92307692
1970-12;190.72857143
1971-1;367.25000000
1971-2;303.30000000
1971-3;427.57142857
1971-4;319.44666667
1971-5;353.29285714
1971-6;266.58571429
1971-7;186.36000000
1971-8;165.67333333
1971-9;129.45000000
1971-10;202.74666667
1971-11;247.07333333
1971-12;158.62857143
1972-1;324.00000000
1972-2;288.40000000
1972-3;293.17333333
1972-4;308.30000000
1972-5;286.56875000
1972-6;248.42000000
1972-7;179.87500000
1972-8;153.34000000
1972-9;138.99411765
1972-10;170.71250000
1972-11;207.38125000
1972-12;245.59375000
1973-1;233.10000000
1973-2;246.30555556
1973-3;272.15000000
1973-4;328.46666667
1973-5;379.35555556
1973-6;225.30000000
1973-7;225.17500000
1973-8;209.04117647
1973-9;165.00000000
1973-10;201.44705882
1973-11;207.85000000
1973-12;259.28235294
1974-1;269.60000000
1974-2;289.20555556
1974-3;233.53333333
1974-4;283.38888889
1974-5;249.81250000
1974-6;270.52352941
1974-7;193.18235294
1974-8;178.52352941
1974-9;208.26666667
1974-10;205.01176471
1974-11;198.97058824
1974-12;298.91875000
1975-1;315.21764706
1975-2;297.00000000
1975-3;353.49375000
1975-4;352.92941176
1975-5;381.32000000
1975-6;277.42500000
1975-7;180.58421053
1975-8;179.67777778
1975-9;152.04210526
1975-10;157.13684211
1975-11;175.90000000
1975-12;207.85000000
1976-1;332.18947368
1976-2;235.73157895
1976-3;363.04117647
1976-4;328.14444444
1976-5;311.01111111
1976-6;182.56315789
1976-7;119.10000000
1976-8;113.92941176
1976-9;107.58947368
1976-10;209.58823529
1976-11;196.22222222
1976-12;245.54375000
1977-1;183.95294118
1977-2;243.50000000
1977-3;330.99444444
1977-4;316.42500000
1977-5;322.05294118
1977-6;245.37647059
1977-7;149.51176471
1977-8;125.91666667
1977-9;175.48947368
1977-10;238.47368421
1977-11;176.22631579
1977-12;292.13157895
1978-1;260.33157895
1978-2;261.50000000
1978-3;331.62631579
1978-4;326.42105263
1978-5;301.26315789
1978-6;176.70000000
1978-7;206.56842105
1978-8;120.84736842
1978-9;202.13684211
1978-10;193.31578947
1978-11;181.89473684
1978-12;278.68888889
1979-1;199.34000000
1979-2;160.41250000
1979-3;341.60000000
1979-4;324.55555556
1979-5;297.36363636
1979-6;199.70000000
1979-7;115.97142857
1979-8;142.45000000
1979-9;119.79090909
1979-10;223.60000000
1979-11;164.51818182
1979-12;212.99166667
1980-1;204.36363636
1980-2;130.71666667
1980-3;309.06666667
1980-4;227.32500000
1980-5;238.54166667
1980-6;212.21111111
1980-7;148.72000000
1980-8;135.30000000
1980-9;143.99000000
1980-10;186.50000000
1980-11;206.60000000
1980-12;163.75454545
1981-1;294.90909091
1981-2;261.54444444
1981-3;221.59000000
1981-4;235.37000000
1981-5;190.15454545
1981-6;170.62000000
1981-7;110.75555556
1981-8;140.91111111
1981-9;128.63000000
1981-10;112.54545455
1981-11;223.69000000
1981-12;205.98000000
1982-1;284.54000000
1982-2;234.26000000
1982-3;313.46000000
1982-4;291.73000000
1982-5;253.05833333
1982-6;132.17142857
1982-7;144.28333333
1982-8;97.92307692
1982-9;126.87500000
1982-10;115.36363636
1982-11;165.20000000
1982-12;270.80000000
1983-1;138.80714286
1983-2;178.25714286
1983-3;301.81333333
1983-4;292.40000000
1983-5;173.46428571
1983-6;100.29285714
1983-7;92.30000000
1983-8;167.95714286
1983-9;97.77857143
1983-10;179.59285714
1983-11;150.31333333
1983-12;238.10000000
1984-1;288.62142857
1984-2;367.28000000
1984-3;309.53846154
1984-4;323.13571429
1984-5;227.89285714
1984-6;167.83333333
1984-7;158.00769231
1984-8;101.70000000
1984-9;166.25714286
1984-10;169.97142857
1984-11;145.60714286
1984-12;284.85714286
1985-1;278.32000000
1985-2;234.38666667
1985-3;288.22666667
1985-4;188.04666667
1985-5;264.78000000
1985-6;150.89333333
1985-7;139.75333333
1985-8;139.72857143
1985-9;115.23571429
1985-10;171.29333333
1985-11;185.95833333
1985-12;286.96666667
1986-1;297.02666667
1986-2;260.73571429
1986-3;317.60000000
1986-4;244.33333333
1986-5;249.34000000
1986-6;147.77142857
1986-7;186.71333333
1986-8;77.12666667
1986-9;171.20714286
1986-10;228.06428571
1986-11;247.60769231
1986-12;217.45000000
1987-1;243.56000000
1987-2;257.24666667
1987-3;235.15000000
1987-4;356.45714286
1987-5;201.46000000
1987-6;161.95714286
1987-7;126.84666667
1987-8;94.22000000
1987-9;142.82666667
1987-10;158.86000000
1987-11;172.58571429
1987-12;211.46666667
1988-1;321.61666667
1988-2;303.01666667
1988-3;205.21538462
1988-4;326.46923077
1988-5;329.18461538
1988-6;205.63076923
1988-7;149.19230769
1988-8;90.24166667
1988-9;131.81818182
1988-10;186.55833333
1988-11;286.31538462
1988-12;269.93846154
1989-1;340.20000000
1989-2;364.60833333
1989-3;340.20833333
1989-4;322.75833333
1989-5;325.60833333
1989-6;248.10833333
1989-7;138.12727273
1989-8;114.24545455
1989-9;147.11818182
1989-10;208.16666667
1989-11;209.66666667
1989-12;215.98181818
1990-1;300.86666667
1990-2;235.67857143
1990-3;312.14285714
1990-4;277.87142857
1990-5;241.93636364
1990-6;230.38750000
1990-7;210.37500000
1990-8;134.68888889
1990-9;110.11428571
1990-10;105.12500000
1990-11;198.41250000
1990-12;202.08571429
1991-1;265.17500000
1991-2;185.53333333
1991-3;324.57500000
1991-4;333.90000000
1991-5;314.06000000
1991-6;292.81428571
1991-7;179.10000000
1991-8;82.76666667
1991-9;107.82857143
1991-10;164.77777778
1991-11;92.39000000
1991-12;281.52500000
1992-1;188.56666667
1992-2;211.75555556
1992-3;312.06363636
1992-4;236.10000000
1992-5;152.69000000
1992-6;125.36666667
1992-7;178.75000000
1992-8;146.87777778
