Periodo;PrecipitacaoTotal
1970-1;112.62000000
1970-2;60.10000000
1970-3;196.17000000
1970-4;170.10000000
1970-5;26.53636364
1970-6;26.48181818
1970-7;14.18181818
1970-8;12.52000000
1970-9;3.10000000
1970-10;11.42000000
1970-11;35.16000000
1970-12;10.72222222
1971-1;130.70000000
1971-2;112.36666667
1971-3;148.80000000
1971-4;163.93333333
1971-5;200.20000000
1971-6;77.00000000
1971-7;51.40000000
1971-8;9.06666667
1971-9;13.90000000
1971-10;29.70000000
1971-11;2.00000000
1971-12;2.73333333
1972-1;None
1972-2;None
1972-3;None
1972-4;None
1972-5;None
1972-6;None
1972-7;None
1972-8;None
1972-9;None
1972-10;None
1972-11;0E-8
1972-12;93.00000000
1973-1;123.26000000
1973-2;132.63000000
1973-3;217.19000000
1973-4;314.27000000
1973-5;142.38000000
1973-6;81.78000000
1973-7;81.53000000
1973-8;20.62000000
1973-9;24.91000000
1973-10;16.98000000
1973-11;7.46363636
1973-12;30.96363636
1974-1;210.56363636
1974-2;187.42727273
1974-3;281.03000000
1974-4;282.09000000
1974-5;264.35555556
1974-6;70.78888889
1974-7;17.92222222
1974-8;5.95000000
1974-9;23.70000000
1974-10;17.02000000
1974-11;7.93000000
1974-12;56.59000000
1975-1;93.61000000
1975-2;122.86000000
1975-3;313.99000000
1975-4;162.52000000
1975-5;189.67000000
1975-6;109.48000000
1975-7;75.23000000
1975-8;8.29000000
1975-9;12.12000000
1975-10;7.90000000
1975-11;8.73000000
1975-12;61.03000000
1976-1;46.68000000
1976-2;217.99000000
1976-3;189.91818182
1976-4;160.57272727
1976-5;48.79090909
1976-6;21.56363636
1976-7;13.20000000
1976-8;11.27272727
1976-9;12.88000000
1976-10;27.98181818
1976-11;32.83333333
1976-12;22.93333333
1977-1;142.94545455
1977-2;147.64166667
1977-3;222.81818182
1977-4;224.62500000
1977-5;155.15833333
1977-6;147.24166667
1977-7;81.17500000
1977-8;5.82500000
1977-9;3.66666667
1977-10;10.01666667
1977-11;4.58333333
1977-12;58.55000000
1978-1;82.68333333
1978-2;164.30000000
1978-3;148.60000000
1978-4;212.45000000
1978-5;182.66666667
1978-6;46.85833333
1978-7;72.49166667
1978-8;6.01818182
1978-9;15.68333333
1978-10;11.73333333
1978-11;21.12500000
1978-12;23.67500000
1979-1;74.18181818
1979-2;87.38181818
1979-3;125.17272727
1979-4;97.92727273
1979-5;90.09166667
1979-6;32.59166667
1979-7;7.77500000
1979-8;9.61666667
1979-9;16.10833333
1979-10;6.28333333
1979-11;36.88333333
1979-12;10.36666667
1980-1;96.36363636
1980-2;219.91818182
1980-3;128.48181818
1980-4;47.50000000
1980-5;21.39090909
1980-6;24.20909091
1980-7;11.15454545
1980-8;4.30909091
1980-9;10.26363636
1980-10;16.05454545
1980-11;15.55454545
1980-12;19.20909091
1981-1;41.91111111
1981-2;34.40000000
1981-3;216.87777778
1981-4;73.48888889
1981-5;48.74444444
1981-6;23.32500000
1981-7;0.56250000
1981-8;6.01250000
1981-9;0.18750000
1981-10;0.92222222
1981-11;3.28750000
1981-12;44.70000000
1982-1;70.23000000
1982-2;117.35000000
1982-3;178.14545455
1982-4;176.20833333
1982-5;79.00000000
1982-6;38.09090909
1982-7;18.30833333
1982-8;13.53333333
1982-9;6.20000000
1982-10;11.90833333
1982-11;11.45833333
1982-12;17.61666667
1983-1;22.65833333
1983-2;145.55833333
1983-3;134.61666667
1983-4;69.68333333
1983-5;32.74166667
1983-6;17.81666667
1983-7;8.14545455
1983-8;4.17500000
1983-9;1.15833333
1983-10;6.93333333
1983-11;0.76666667
1983-12;19.40833333
1984-1;57.56666667
1984-2;100.42500000
1984-3;282.45000000
1984-4;356.90000000
1984-5;162.35833333
1984-6;74.58333333
1984-7;37.00833333
1984-8;12.10000000
1984-9;10.25000000
1984-10;23.82500000
1984-11;7.66666667
1984-12;22.95000000
1985-1;283.90000000
1985-2;304.63750000
1985-3;349.96250000
1985-4;457.08750000
1985-5;179.53750000
1985-6;98.80000000
1985-7;57.90000000
1985-8;18.78750000
1985-9;8.05000000
1985-10;1.01250000
1985-11;16.43750000
1985-12;168.18750000
1986-1;97.70000000
1986-2;284.65000000
1986-3;530.90000000
1986-4;260.50000000
1986-5;180.95000000
1986-6;128.35000000
1986-7;11.60000000
1986-8;9.60000000
1986-9;2.15000000
1986-10;2.45000000
1986-11;3.30000000
1986-12;10.85000000
1987-1;23.80000000
1987-2;133.55000000
1987-3;329.55000000
1987-4;129.10000000
1987-5;43.10000000
1987-6;78.05000000
1987-7;8.05000000
1987-8;0.15000000
1987-9;0.20000000
1987-10;0.25000000
1987-11;1.90000000
1987-12;0.70000000
1988-1;117.35000000
1988-2;155.85000000
1988-3;280.05000000
1988-4;372.20000000
1988-5;251.35000000
1988-6;64.60000000
1988-7;19.55000000
1988-8;4.25000000
1988-9;17.55000000
1988-10;0.10000000
1988-11;2.00000000
1988-12;62.60000000
