Periodo;PrecipitacaoTotal
1970-1;470.10000000
1970-2;190.10000000
1970-3;175.10000000
1970-4;113.30000000
1970-5;0E-8
1970-6;0E-8
1970-7;0E-8
1970-8;0E-8
1970-9;80.20000000
1970-10;213.20000000
1970-11;232.40000000
1970-12;170.55000000
1971-1;201.10000000
1971-2;130.70000000
1971-3;190.70000000
1971-4;125.90000000
1971-5;33.00000000
1971-6;33.80000000
1971-7;61.80000000
1971-8;1.30000000
1971-9;124.00000000
1971-10;277.50000000
1971-11;367.50000000
1971-12;286.60000000
1972-1;42.00000000
1972-2;94.70000000
1972-3;122.55000000
1972-4;136.55000000
1972-5;34.25000000
1972-6;0E-8
1972-7;7.50000000
1972-8;0.95000000
1972-9;26.50000000
1972-10;181.15000000
1972-11;277.40000000
1972-12;426.65000000
1973-1;142.30000000
1973-2;184.60000000
1973-3;219.10000000
1973-4;85.20000000
1973-5;17.70000000
1973-6;25.20000000
1973-7;0E-8
1973-8;0E-8
1973-9;71.70000000
1973-10;311.00000000
1973-11;190.60000000
1973-12;160.40000000
1974-1;90.60000000
1974-2;206.50000000
1974-3;260.90000000
1974-4;90.50000000
1974-5;43.80000000
1974-6;0E-8
1974-7;0E-8
1974-8;45.00000000
1974-9;0E-8
1974-10;175.80000000
1974-11;186.10000000
1974-12;191.80000000
1975-1;243.30000000
1975-2;229.70000000
1975-3;52.70000000
1975-4;189.70000000
1975-5;59.30000000
1975-6;0E-8
1975-7;22.80000000
1975-8;0E-8
1975-9;30.40000000
1975-10;141.20000000
1975-11;155.00000000
1975-12;229.80000000
1976-1;137.50000000
1976-2;350.90000000
1976-3;169.80000000
1976-4;76.00000000
1976-5;77.40000000
1976-6;0E-8
1976-7;13.40000000
1976-8;0E-8
1976-9;75.70000000
1976-10;96.30000000
1976-11;244.30000000
1976-12;261.80000000
1977-1;254.30000000
1977-2;78.70000000
1977-3;117.80000000
1977-4;127.50000000
1977-5;13.50000000
1977-6;38.00000000
1977-7;0E-8
1977-8;14.20000000
1977-9;33.80000000
1977-10;149.50000000
1977-11;163.20000000
1977-12;230.60000000
1978-1;308.60000000
1978-2;319.10000000
1978-3;197.90000000
1978-4;114.80000000
1978-5;58.60000000
1978-6;0E-8
1978-7;1.90000000
1978-8;0E-8
1978-9;33.30000000
1978-10;101.10000000
1978-11;196.90000000
1978-12;248.50000000
1979-1;602.40000000
1979-2;None
