Periodo;PrecipitacaoTotal
1970-1;232.78750000
1970-2;305.55000000
1970-3;323.12500000
1970-4;329.51250000
1970-5;183.36666667
1970-6;140.75555556
1970-7;112.95000000
1970-8;103.04444444
1970-9;92.82222222
1970-10;69.40000000
1970-11;199.14444444
1970-12;80.33000000
1971-1;221.54000000
1971-2;264.42727273
1971-3;342.52727273
1971-4;366.12500000
1971-5;261.75000000
1971-6;168.16363636
1971-7;118.90909091
1971-8;71.99090909
1971-9;58.79166667
1971-10;124.09166667
1971-11;128.19090909
1971-12;80.60769231
1972-1;244.75000000
1972-2;304.15833333
1972-3;358.23846154
1972-4;326.35384615
1972-5;188.62727273
1972-6;125.06153846
1972-7;113.42307692
1972-8;94.00000000
1972-9;88.20714286
1972-10;64.21875000
1972-11;90.68750000
1972-12;219.26250000
1973-1;221.05294118
1973-2;339.70588235
1973-3;371.18823529
1973-4;333.26250000
1973-5;287.34375000
1973-6;143.11176471
1973-7;148.20588235
1973-8;76.97058824
1973-9;105.46470588
1973-10;119.45882353
1973-11;113.91176471
1973-12;235.48235294
1974-1;280.38823529
1974-2;385.77058824
1974-3;498.62352941
1974-4;375.53529412
1974-5;316.20588235
1974-6;175.99411765
1974-7;99.87647059
1974-8;50.69375000
1974-9;87.97222222
1974-10;69.57222222
1974-11;85.80000000
1974-12;220.93750000
1975-1;299.18235294
1975-2;347.92222222
1975-3;461.74444444
1975-4;433.05555556
1975-5;284.53333333
1975-6;178.14705882
1975-7;131.51764706
1975-8;81.32352941
1975-9;51.80588235
1975-10;69.45555556
1975-11;94.03333333
1975-12;155.58823529
1976-1;240.16666667
1976-2;354.48888889
1976-3;345.94444444
1976-4;280.89444444
1976-5;177.65555556
1976-6;129.13333333
1976-7;57.88125000
1976-8;38.72352941
1976-9;32.90000000
1976-10;67.14444444
1976-11;78.33125000
1976-12;124.93333333
1977-1;290.29411765
1977-2;369.06470588
1977-3;350.87647059
1977-4;381.31764706
1977-5;241.44705882
1977-6;156.06470588
1977-7;103.83750000
1977-8;50.93529412
1977-9;62.76250000
1977-10;69.72666667
1977-11;44.77500000
1977-12;180.11428571
1978-1;309.75333333
1978-2;272.86666667
1978-3;372.39285714
1978-4;323.61428571
1978-5;241.12666667
1978-6;122.03571429
1978-7;105.06250000
1978-8;94.88750000
1978-9;48.78823529
1978-10;72.46666667
1978-11;48.73125000
1978-12;140.21176471
1979-1;220.15294118
1979-2;308.43529412
1979-3;320.74375000
1979-4;260.94705882
1979-5;196.03529412
1979-6;118.50588235
1979-7;66.78823529
1979-8;93.61428571
1979-9;78.71176471
1979-10;69.55625000
1979-11;96.65625000
1979-12;148.00666667
1980-1;255.39411765
1980-2;450.29411765
1980-3;317.47058824
1980-4;283.81250000
1980-5;162.95294118
1980-6;131.40000000
1980-7;78.21764706
1980-8;56.19411765
1980-9;30.07647059
1980-10;35.00000000
1980-11;103.91764706
1980-12;111.38823529
1981-1;251.93529412
1981-2;196.52941176
1981-3;197.71176471
1981-4;142.78235294
1981-5;211.89411765
1981-6;71.92352941
1981-7;120.14705882
1981-8;36.18235294
1981-9;37.40588235
1981-10;57.26000000
1981-11;94.04375000
1981-12;120.26875000
1982-1;380.25625000
1982-2;358.73750000
1982-3;331.14375000
1982-4;314.29375000
1982-5;201.18125000
1982-6;78.93125000
1982-7;99.52500000
1982-8;64.01250000
1982-9;57.57500000
1982-10;33.58750000
1982-11;44.72500000
1982-12;68.71875000
1983-1;118.21875000
1983-2;263.90000000
1983-3;273.35000000
1983-4;218.75625000
1983-5;132.75625000
1983-6;75.65625000
1983-7;52.89375000
1983-8;66.80625000
1983-9;27.12500000
1983-10;88.88125000
1983-11;62.30625000
1983-12;169.65333333
1984-1;221.92666667
1984-2;328.62500000
1984-3;462.88666667
1984-4;499.54000000
1984-5;315.08666667
1984-6;138.50000000
1984-7;121.77500000
1984-8;95.56250000
1984-9;87.26250000
1984-10;92.59375000
1984-11;83.40000000
1984-12;119.43750000
1985-1;477.96000000
1985-2;454.41875000
1985-3;464.65000000
1985-4;368.14375000
1985-5;341.73750000
1985-6;127.64375000
1985-7;83.51875000
1985-8;73.26875000
1985-9;50.58750000
1985-10;77.76000000
1985-11;125.28125000
1985-12;383.94375000
1986-1;257.47500000
1986-2;360.47500000
1986-3;458.78750000
1986-4;462.80625000
1986-5;191.30000000
1986-6;194.88125000
1986-7;87.68750000
1986-8;31.93750000
1986-9;57.86666667
1986-10;103.93333333
1986-11;106.78750000
1986-12;143.40000000
1987-1;233.80000000
1987-2;245.50625000
1987-3;413.62500000
1987-4;298.68000000
1987-5;169.95625000
1987-6;111.62500000
1987-7;66.73125000
1987-8;66.98125000
1987-9;70.03750000
1987-10;49.11875000
1987-11;49.30625000
1987-12;120.48125000
1988-1;327.39375000
1988-2;367.28125000
1988-3;439.28666667
1988-4;391.48125000
1988-5;306.25000000
1988-6;189.55000000
1988-7;111.13333333
1988-8;68.73125000
1988-9;66.75000000
1988-10;75.46250000
1988-11;140.33750000
1988-12;255.62000000
1989-1;267.15000000
1989-2;321.04666667
1989-3;381.31428571
1989-4;379.51428571
1989-5;290.18666667
1989-6;167.11333333
1989-7;139.16666667
1989-8;55.63333333
1989-9;53.97333333
1989-10;123.57333333
1989-11;108.93000000
1989-12;292.08666667
1990-1;178.78666667
1990-2;344.43333333
1990-3;278.01333333
1990-4;255.11333333
1990-5;181.43333333
1990-6;111.31428571
1990-7;146.47857143
