Periodo;PrecipitacaoTotal
1970-1;83.67500000
1970-2;97.55000000
1970-3;194.26000000
1970-4;216.12000000
1970-5;65.08000000
1970-6;133.14000000
1970-7;162.04000000
1970-8;181.32000000
1970-9;18.65000000
1970-10;11.36000000
1970-11;8.34000000
1970-12;13.10000000
1971-1;None
1971-2;None
1971-3;None
1971-4;None
1971-5;70.10000000
1971-6;71.70000000
1971-7;102.60000000
1971-8;3.50000000
1971-9;17.90000000
1971-10;10.70000000
1971-11;0E-8
1971-12;1.30000000
1972-1;None
1972-2;None
1972-3;None
1972-4;None
1972-5;None
1972-6;None
1972-7;None
1972-8;None
1972-9;None
1972-10;None
1972-11;None
1972-12;None
1973-1;56.50000000
1973-2;98.00000000
1973-3;121.37500000
1973-4;374.46666667
1973-5;138.95000000
1973-6;213.17500000
1973-7;123.00000000
1973-8;44.47500000
1973-9;64.05000000
1973-10;41.07500000
1973-11;9.12000000
1973-12;23.74000000
1974-1;213.02500000
1974-2;156.95000000
1974-3;214.35000000
1974-4;283.85000000
1974-5;201.02500000
1974-6;93.97500000
1974-7;142.05000000
1974-8;57.05000000
1974-9;63.77500000
1974-10;10.20000000
1974-11;26.37500000
1974-12;17.90000000
1975-1;59.42500000
1975-2;71.02500000
1975-3;172.67500000
1975-4;103.30000000
1975-5;92.03333333
1975-6;60.36666667
1975-7;170.70000000
1975-8;22.03333333
1975-9;41.36666667
1975-10;1.47500000
1975-11;3.68000000
1975-12;26.55000000
1976-1;15.95000000
1976-2;197.94000000
1976-3;168.98000000
1976-4;128.72000000
1976-5;84.68000000
1976-6;39.12000000
1976-7;88.24000000
1976-8;17.96000000
1976-9;7.84000000
1976-10;59.00000000
1976-11;27.76000000
1976-12;68.60000000
1977-1;102.34000000
1977-2;109.10000000
1977-3;154.42000000
1977-4;239.90000000
1977-5;142.34000000
1977-6;167.17500000
1977-7;124.58000000
1977-8;29.30000000
1977-9;36.30000000
1977-10;13.40000000
1977-11;4.90000000
1977-12;94.68000000
1978-1;40.96000000
1978-2;176.98000000
1978-3;157.80000000
1978-4;200.55000000
1978-5;194.46666667
1978-6;111.07500000
1978-7;164.30000000
1978-8;46.66000000
1978-9;45.54000000
1978-10;16.56000000
1978-11;26.98000000
1978-12;20.98000000
1979-1;48.36000000
1979-2;90.92000000
1979-3;108.42000000
1979-4;75.40000000
1979-5;123.52000000
1979-6;67.66000000
1979-7;71.67500000
1979-8;6.87500000
1979-9;30.52500000
1979-10;8.62000000
1979-11;14.27500000
1979-12;0.80000000
1980-1;51.30000000
1980-2;141.07500000
1980-3;84.07500000
1980-4;50.15000000
1980-5;36.95000000
1980-6;26.20000000
1980-7;17.65000000
1980-8;5.35000000
1980-9;2.15000000
1980-10;22.45000000
1980-11;8.60000000
1980-12;7.65000000
1981-1;31.62000000
1981-2;43.82000000
1981-3;189.40000000
1981-4;25.15000000
1981-5;37.08000000
1981-6;32.36000000
1981-7;28.98000000
1981-8;14.90000000
1981-9;16.50000000
1981-10;2.92000000
1981-11;8.84000000
1981-12;29.54000000
1982-1;31.50000000
1982-2;128.70000000
1982-3;69.30000000
1982-4;132.96666667
1982-5;123.92000000
1982-6;103.40000000
1982-7;91.16666667
1982-8;99.86666667
1982-9;12.36666667
1982-10;8.16666667
1982-11;15.82500000
1982-12;18.00000000
1983-1;44.20000000
1983-2;157.46000000
1983-3;125.52000000
1983-4;52.48000000
1983-5;54.22000000
1983-6;51.40000000
1983-7;41.36000000
1983-8;39.74000000
1983-9;10.46000000
1983-10;17.62000000
1983-11;4.58000000
1983-12;6.64000000
1984-1;61.58000000
1984-2;31.74000000
1984-3;175.10000000
1984-4;313.84000000
1984-5;225.20000000
1984-6;53.42000000
1984-7;111.78000000
1984-8;87.06000000
1984-9;16.20000000
1984-10;33.48000000
1984-11;17.88000000
1984-12;20.26000000
1985-1;119.90000000
1985-2;248.00000000
1985-3;439.50000000
1985-4;427.55000000
1985-5;290.75000000
1985-6;260.35000000
1985-7;366.40000000
1985-8;71.40000000
1985-9;52.55000000
1985-10;0.85000000
1985-11;10.70000000
1985-12;92.55000000
1986-1;43.70000000
1986-2;148.30000000
1986-3;386.70000000
1986-4;378.00000000
1986-5;338.40000000
1986-6;361.40000000
1986-7;236.80000000
1986-8;None
1986-9;209.70000000
1986-10;41.60000000
1986-11;96.60000000
1986-12;36.20000000
1987-1;41.00000000
1987-2;110.60000000
1987-3;305.10000000
1987-4;398.20000000
1987-5;129.20000000
1987-6;386.80000000
1987-7;438.90000000
1987-8;62.30000000
1987-9;56.30000000
1987-10;28.60000000
1987-11;7.00000000
1987-12;1.50000000
1988-1;36.40000000
1988-2;19.10000000
1988-3;271.90000000
1988-4;281.30000000
1988-5;229.10000000
1988-6;319.80000000
1988-7;380.70000000
1988-8;174.20000000
1988-9;41.30000000
1988-10;11.90000000
1988-11;30.40000000
1988-12;None
1989-1;None
1989-2;11.30000000
1989-3;None
1989-4;680.80000000
1989-5;311.90000000
1989-6;380.20000000
1989-7;312.60000000
1989-8;168.30000000
1989-9;51.70000000
1989-10;15.40000000
1989-11;59.80000000
1989-12;98.50000000
1990-1;46.80000000
1990-2;75.30000000
1990-3;18.90000000
