Periodo;PrecipitacaoTotal
1970-1;197.60000000
1970-2;55.90000000
1970-3;97.20000000
1970-4;53.00000000
1970-5;0E-8
1970-6;8.80000000
1970-7;0E-8
1970-8;0E-8
1970-9;0.50000000
1970-10;49.15000000
1970-11;144.05000000
1970-12;114.80000000
1971-1;177.70000000
1971-2;190.60000000
1971-3;257.05000000
1971-4;243.86666667
1971-5;107.66666667
1971-6;54.06666667
1971-7;25.33333333
1971-8;8.80000000
1971-9;3.06666667
1971-10;50.90000000
1971-11;53.07500000
1971-12;80.65000000
1972-1;None
1972-2;None
1972-3;None
1972-4;None
1972-5;None
1972-6;None
1972-7;None
1972-8;None
1972-9;None
1972-10;None
1972-11;None
1972-12;None
1973-1;109.22000000
1973-2;152.80000000
1973-3;264.84000000
1973-4;149.86000000
1973-5;62.66000000
1973-6;33.12000000
1973-7;31.04000000
1973-8;3.76000000
1973-9;3.22000000
1973-10;105.28000000
1973-11;111.82000000
1973-12;123.08000000
1974-1;264.30000000
1974-2;181.06000000
1974-3;361.42000000
1974-4;402.30000000
1974-5;159.32000000
1974-6;35.96000000
1974-7;6.86000000
1974-8;0.02000000
1974-9;4.42000000
1974-10;69.92000000
1974-11;61.02000000
1974-12;116.58000000
1975-1;155.34000000
1975-2;164.94000000
1975-3;258.10000000
1975-4;123.46000000
1975-5;72.68000000
1975-6;13.16000000
1975-7;39.44000000
1975-8;0.28000000
1975-9;4.50000000
1975-10;66.16250000
1975-11;51.01250000
1975-12;96.67500000
1976-1;66.06250000
1976-2;200.51250000
1976-3;118.41111111
1976-4;108.12000000
1976-5;29.53333333
1976-6;4.54444444
1976-7;0.01250000
1976-8;1.42500000
1976-9;21.47500000
1976-10;90.41250000
1976-11;87.92500000
1976-12;68.71250000
1977-1;238.33000000
1977-2;155.97000000
1977-3;142.42222222
1977-4;247.53333333
1977-5;61.04444444
1977-6;30.26666667
1977-7;1.56666667
1977-8;0.37777778
1977-9;11.45000000
1977-10;20.51000000
1977-11;63.30909091
1977-12;219.18181818
1978-1;114.31818182
1978-2;152.64545455
1978-3;217.40909091
1978-4;137.60909091
1978-5;118.24000000
1978-6;13.47272727
1978-7;26.67272727
1978-8;0.94166667
1978-9;1.84166667
1978-10;40.09166667
1978-11;116.80000000
1978-12;103.53636364
1979-1;162.58125000
1979-2;190.36250000
1979-3;101.54375000
1979-4;84.56000000
1979-5;66.68125000
1979-6;9.98571429
1979-7;1.21875000
1979-8;5.53333333
1979-9;8.48000000
1979-10;36.42666667
1979-11;47.69333333
1979-12;51.19375000
1980-1;117.42500000
1980-2;270.17500000
1980-3;73.16250000
1980-4;52.07647059
1980-5;23.07058824
1980-6;10.56250000
1980-7;2.01250000
1980-8;1.40000000
1980-9;18.13125000
1980-10;10.75000000
1980-11;59.03750000
1980-12;63.56875000
1981-1;139.77500000
1981-2;29.47777778
1981-3;227.67000000
1981-4;66.42000000
1981-5;63.84545455
1981-6;2.52000000
1981-7;0.14545455
1981-8;1.00909091
1981-9;0.31000000
1981-10;26.57272727
1981-11;30.09090909
1981-12;34.52727273
1982-1;146.17857143
1982-2;154.13571429
1982-3;163.46000000
1982-4;151.85000000
1982-5;22.20000000
1982-6;4.62500000
1982-7;3.29375000
1982-8;2.48666667
1982-9;14.57647059
1982-10;24.77058824
1982-11;19.52352941
1982-12;58.96875000
1983-1;89.43529412
1983-2;190.07500000
1983-3;161.57647059
1983-4;52.77647059
1983-5;23.82941176
1983-6;2.92352941
1983-7;0.26470588
1983-8;3.26470588
1983-9;2.51176471
1983-10;10.17058824
1983-11;52.62941176
1983-12;85.32941176
1984-1;153.77333333
1984-2;130.48571429
1984-3;294.49285714
1984-4;278.95000000
1984-5;105.22142857
1984-6;21.97857143
1984-7;6.32857143
1984-8;12.84285714
1984-9;25.57142857
1984-10;37.67857143
1984-11;45.14285714
1984-12;56.70000000
1985-1;310.31000000
1985-2;226.89000000
1985-3;291.03000000
1985-4;343.52000000
1985-5;137.00000000
1985-6;88.11000000
1985-7;43.72000000
1985-8;2.10000000
1985-9;9.70000000
1985-10;40.23000000
1985-11;77.28000000
1985-12;226.84000000
1986-1;120.00000000
1986-2;106.20000000
1986-3;215.60000000
1986-4;166.10000000
1986-5;0E-8
1986-6;0E-8
1986-7;None
1986-8;12.00000000
1986-9;0E-8
1986-10;69.90000000
1986-11;59.80000000
1986-12;236.90000000
1987-1;93.10000000
1987-2;76.40000000
1987-3;129.20000000
1987-4;128.60000000
1987-5;13.00000000
1987-6;11.20000000
1987-7;0E-8
1987-8;8.80000000
1987-9;9.40000000
1987-10;82.20000000
1987-11;236.80000000
1987-12;154.30000000
1988-1;152.10000000
1988-2;217.60000000
1988-3;177.50000000
1988-4;291.80000000
1988-5;3.50000000
1988-6;0E-8
1988-7;0E-8
1988-8;0E-8
1988-9;12.00000000
1988-10;104.40000000
1988-11;70.20000000
1988-12;328.20000000
1989-1;89.60000000
1989-2;109.60000000
1989-3;213.60000000
1989-4;191.80000000
1989-5;163.00000000
1989-6;6.40000000
1989-7;0E-8
1989-8;0E-8
1989-9;35.00000000
1989-10;43.40000000
1989-11;356.10000000
1989-12;None
1990-1;45.68000000
1990-2;37.24000000
1990-3;135.00000000
1990-4;77.70000000
1990-5;10.20000000
1990-6;0E-8
1990-7;0E-8
1990-8;0E-8
1990-9;38.80000000
1990-10;188.80000000
1990-11;None
1990-12;None
1991-1;233.40000000
1991-2;93.20000000
1991-3;140.00000000
1991-4;76.00000000
1991-5;39.00000000
1991-6;0E-8
1991-7;0E-8
1991-8;0E-8
1991-9;5.00000000
1991-10;9.20000000
1991-11;202.30000000
1991-12;126.40000000
1992-1;295.80000000
1992-2;450.60000000
1992-3;8.00000000
1992-4;52.50000000
1992-5;22.00000000
1992-6;0E-8
1992-7;0E-8
1992-8;0E-8
1992-9;12.00000000
1992-10;59.00000000
1992-11;221.60000000
1992-12;112.50000000
1993-1;72.23333333
1993-2;53.75000000
1993-3;14.10000000
1993-4;113.00000000
1993-5;6.50000000
1993-6;0.50000000
1993-7;1.90000000
1993-8;2.40000000
1993-9;36.15000000
1993-10;30.50000000
1993-11;60.00909091
1993-12;47.96666667
1994-1;195.11666667
1994-2;189.65714286
1994-3;237.29285714
